YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.1195772	0.9986622	0.0709865	0.2675290	0.9159737	0.2341597	0.6254071	0.7147584	0.8162013	1.0000000
0.2380728	0.4950264	0.0304742	0.1589722	0.9009883	0.2191813	0.8462258	0.5193387	0.8179086	1.0000000
0.2392495	0.9987938	0.0378065	0.2783680	0.9171081	0.2354714	0.6111124	0.7266480	0.8160402	1.0000000
0.2392494	0.9987938	0.0755766	0.1392296	0.9171080	0.2354714	0.6111125	0.7266480	0.8160402	1.0000000
0.2392494	0.9987938	0.0755766	0.2783679	0.4586465	0.2354714	0.6111125	0.7266480	0.8160402	1.0000000
0.2347995	0.9987967	0.0756919	0.2786371	0.6270141	0.1177528	0.6107717	0.7269291	0.8231509	1.0000000
0.2453155	0.9987898	0.3932624	0.7036392	0.9513318	0.2901355	0.3057912	0.7262500	0.8064970	1.0000000
0.2377076	0.7759361	0.0204010	0.1271129	0.8943144	0.2134363	0.9765677	0.3039453	0.8184804	1.0000000
0.7464106	0.9982255	0.0603018	0.2413796	0.9129747	0.2309061	0.6633068	0.6834407	0.4083007	1.0000000
0.6071079	0.9987599	0.0743451	0.2754600	0.9168242	0.2351212	0.6149732	0.7234079	0.6969561	0.5000056
