YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0000002	0.0187217	0.0245157	1.0000000	0.6548988	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.6101405	0.0000000	0.4875950	0.7244622	0.6548988	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.9999945	0.0186838	0.0000000	0.5215097	0.6548988	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.3120649	0.7429763	1.0000000	0.0000000	0.6548996	0.9996509	0.0398507	0.8452249	1.0000000	1.0000000
0.6007517	0.2694746	0.4980183	0.6929162	0.0000000	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.6007704	0.2694572	0.4980482	0.6928687	0.0256371	0.0000000	0.5034657	0.8452249	1.0000000	1.0000000
0.6101438	0.2576330	0.4875932	0.7244811	0.6550238	1.0000000	0.0000000	0.8452249	1.0000000	1.0000000
0.6101434	0.2576329	0.4875957	0.7244624	0.6549171	0.9997017	0.0373417	0.0000006	1.0000000	1.0000000
0.6101433	0.2576329	0.4875959	0.7244597	0.6548994	0.9996503	0.0397692	0.0770081	0.0000000	1.0000000
0.6308920	0.2326361	0.4647750	1.0000000	0.0256371	0.9996485	0.0398507	0.8452249	1.0000000	0.0000001
