"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W

0	0.2548542	0.4909687	0.7734827	1.0188541	0.7132983	0.9284073	0.0540674	0.1359881	0.0636152	1.0739927
50	0.3047232	0.3804570	0.7424208	1.0337531	0.6531179	0.8728441	0.0617477	0.1142182	0.0496298	0.6918716
100	0.3479882	0.2745157	0.7589776	1.0068174	0.6821426	0.7333271	0.0608175	0.1069360	0.1571103	0.3582818
150	0.5780088	0.2793932	0.6825870	1.0100003	0.7290860	0.6346096	0.0697106	0.1688667	0.4192588	0.1980343
200	0.5647785	0.3039313	0.6788712	0.9911282	0.6070965	0.6411860	0.0747624	0.3483362	0.7748871	0.1519232
250	0.6159629	0.2606423	0.6998245	1.0880554	0.5735188	0.6161088	0.2240560	0.4648474	0.8676083	0.1369336
300	0.6099320	0.3032428	0.6683209	0.9228962	0.5691820	0.4538812	0.3902424	0.6432486	1.0026238	0.1567485
350	0.6033752	0.2998746	0.7100596	1.0088176	0.5118655	0.2353099	0.5210709	0.6076125	1.0180126	0.1405681
400	0.6077364	0.2807342	0.6833629	1.0680597	0.4035779	0.0980473	0.5188627	0.7298578	1.0701378	0.1240992
450	0.5843334	0.2488392	0.6870441	0.9676979	0.3177236	0.0502724	0.5592718	0.7407444	1.0430219	0.1225983
500	0.6196554	0.3146674	0.6475960	0.9337676	0.2965401	0.0206946	0.6751528	0.6740176	0.9618005	0.1366678
550	0.5004367	0.3554639	0.6370663	0.9142748	0.2304927	0.0444586	0.6365944	0.6584326	0.9733888	0.4644026
600	0.3475039	0.4430667	0.6743674	0.9553347	0.1195754	0.0254113	0.5922996	0.7430256	0.6951180	0.8235621
650	0.2722655	0.4929070	0.6468452	0.9775151	0.0762508	0.0329239	0.7047996	0.6756729	0.3607201	0.8694741
700	0.2060758	0.5601138	0.6851330	1.0701970	0.0710309	0.0134906	0.6198287	0.5192108	0.1796623	1.0315846
750	0.1648527	0.5283146	0.7580741	1.0215748	0.0381045	0.0324607	0.5247098	0.3183871	0.0949285	1.0527400
800	0.1547792	0.4933270	0.7804850	1.0306157	0.0242581	0.0738830	0.3450271	0.2029906	0.0562544	1.1304947
850	0.1959281	0.4521269	0.7342823	1.0822782	0.0236576	0.1438762	0.1978270	0.1273053	0.0678188	0.9779570
900	0.2112332	0.4754937	0.7179357	0.9314492	0.0392565	0.3627549	0.1113939	0.1517372	0.0545182	0.9768671
950	0.2349373	0.4801950	0.6883180	1.0151136	0.1126956	0.7093414	0.0867811	0.1503782	0.0372398	1.0204670
1000	0.1969600	0.5049237	0.6321403	1.0877495	0.2675863	0.8229732	0.0697301	0.1348664	0.0398495	0.9707378

0	0.2548542	0.4909687	0.7734827	1.0188541	0.7132983	0.9284073	0.0540674	0.1359881	0.0636152	1.0739927
50	0.1703271	0.4330150	0.7354668	1.1325304	0.7300704	0.9713301	0.0725786	0.1002788	0.0343491	0.9614614
100	0.1609714	0.4603515	0.7378247	1.0074166	0.7766755	1.0097329	0.0401468	0.1593544	0.0576481	0.8736113
150	0.1750546	0.4970134	0.6554537	0.9905186	0.9005706	0.9691105	0.0706123	0.1320945	0.0525015	0.8739859
200	0.0979644	0.4744448	0.6259287	0.9624249	0.8043139	0.9442827	0.0447881	0.1223492	0.0692860	0.8934090
250	0.1631843	0.4463590	0.6226705	1.0358696	0.7388207	0.9746045	0.0519042	0.1145282	0.0542358	0.9296351
300	0.1422069	0.4969491	0.6908904	1.0164626	0.7694851	0.9634711	0.0585845	0.1161903	0.0264662	0.9189233
350	0.0956677	0.4833047	0.6437124	0.9503066	0.7550195	0.9652396	0.0786377	0.1262741	0.0411070	0.8940700
400	0.0944901	0.4857477	0.7256580	0.9755039	0.7016878	0.9449827	0.0668807	0.1248628	0.0380964	0.9889895
450	0.1422682	0.4551474	0.7207392	0.9427417	0.7130837	0.8923309	0.0739567	0.1490226	0.0405649	0.8730403
500	0.0943178	0.5366469	0.6937589	1.0408410	0.8319537	0.9301018	0.0486720	0.0960921	0.0382831	0.8445983
550	0.1742806	0.4993960	0.6971986	0.9634168	0.7386104	1.0161088	0.0501873	0.0661106	0.0217201	0.8634145
600	0.1991337	0.5062321	0.6782298	0.9810503	0.7128398	1.0505198	0.0430746	0.0569252	0.0538164	1.0451365
650	0.2369791	0.5313146	0.6800434	0.9667727	0.6888406	0.9944830	0.0270268	0.1544736	0.0469561	0.9878521
700	0.1489318	0.5810349	0.6693567	1.0210008	0.6568396	1.0477022	0.0371822	0.1008153	0.0529466	0.9255256
750	0.1708408	0.5213644	0.6806678	0.9096952	0.6781769	1.1287265	0.0448899	0.1099541	0.0383806	1.0197298
800	0.1517041	0.5027108	0.7006442	1.0197590	0.6662548	1.0652047	0.0524047	0.1205510	0.0523793	0.9513178
850	0.2137283	0.4169450	0.7152934	1.0548169	0.7337995	0.9235706	0.0640237	0.1308000	0.0693246	1.0125578
