YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0000000	0.9896212	0.0511376	0.2334574	0.8832460	0.2392758	0.8616479	0.5205446	0.8335889	1.0052783
0.1975798	0.0000000	0.0185837	0.1461721	0.9045090	0.2004074	0.8772398	0.4986891	0.8648327	1.0620050
0.2335339	1.0796083	0.0000000	0.2686897	0.9674812	0.2037077	0.6246477	0.7975109	0.8890586	0.9854921
0.2282393	0.9955470	0.0342370	0.0000000	0.9977692	0.2564306	0.7156666	0.7268835	0.8556489	1.0383826
0.2478100	1.0375694	0.0616746	0.3076765	0.0000000	0.2542117	0.5443228	0.7504358	0.8556192	1.0317902
0.2361771	0.9818258	0.0910284	0.2801498	0.0247340	0.0000000	0.6076991	0.7321159	0.9211556	0.9999699
0.8934108	1.0049538	1.0156793	0.9473347	1.0001636	0.9960446	0.0000000	0.6794078	0.3885973	1.0322056
0.2577192	0.0336993	0.0105864	0.1077861	0.9235983	0.2075687	1.0461261	0.0000000	0.7640304	1.0008947
1.0192194	0.0151517	0.0175433	0.1061445	1.0193867	0.1972674	1.0075997	0.0353014	0.0000000	1.0235777
0.9950515	1.0136300	0.0515041	0.2591854	0.9045451	0.2545753	0.6400091	0.7248277	0.5092473	0.0000000
