YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.1030549	0.0700074	0.0496946	0.1427984	0.3003855	0.6454518	0.0606260	0.0175925	1.0799926	0.9752364
0.1523594	0.0393204	0.1088372	0.2319162	0.2408992	0.6611917	0.0739193	0.0085585	1.0431465	0.9596306
0.2153603	0.0955133	0.0289196	0.1989207	0.2325042	0.5984112	0.0494519	0.0125643	1.0349468	1.0037135
0.0891210	0.0856905	0.0373823	0.1013206	0.2556248	0.6870955	0.0975479	0.0091843	0.9552972	1.0068906
0.2380365	0.1310167	0.3527906	0.2339646	0.1092667	0.6146570	0.0870250	0.0210550	0.8951275	1.0985874
0.4822099	0.5523766	0.8199770	0.4458904	0.0791435	0.3376183	0.1103158	0.3651576	0.7028991	0.9707925
0.2769704	0.1779471	0.6815223	0.4202686	0.0570326	0.4388804	0.0511255	0.0261164	0.8119267	1.0137625
0.2101357	0.0504418	0.0562401	0.2023001	0.1970624	0.5540734	0.0578996	0.0053827	0.9213789	0.9284599
0.1604102	0.0978762	0.0940897	0.1689158	0.3611691	0.7041449	0.0684214	0.3092500	0.5006761	0.9650359
0.1724177	0.0612942	0.1309856	0.2282173	0.1895934	0.6229582	0.0540615	0.0128728	0.9576667	0.5537586
