"Time"	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C

0	0.1350601	0.0416410	0.4427643	0.7048492	0.9714275	0.0159040	0.9611172	1.0037433	0.6746947	0.7298868
50	0.1348233	0.0736364	0.4673467	0.8080634	1.0399141	0.0001534	0.9817241	0.9089043	0.7893425	0.5748881
100	0.1672854	0.0633585	0.4572143	0.7665515	1.0209422	0.0008055	0.9936387	0.9490598	0.7319400	0.5628382
150	0.1909627	0.0653975	0.4343881	0.6995703	1.0415536	0.0010767	1.0279184	1.0360738	0.7316387	0.5789539
200	0.1653826	0.0714561	0.4149649	0.6883852	1.0195723	0.0003666	0.9591337	0.9694736	0.6160059	0.6589651
250	0.1596761	0.0505545	0.4419780	0.7398240	0.9966686	0.0015880	0.8648157	0.8760466	0.7297441	0.7167593
300	0.1190097	0.0418278	0.4909284	0.7646691	0.9742561	0.0062265	0.8983560	0.8698072	0.6515675	0.7782870
350	0.1858360	0.0565735	0.4168370	0.7433132	1.0229023	0.0004382	0.8582604	0.9333100	0.7999270	0.7499964
400	0.1527905	0.0527725	0.4088696	0.7748019	1.0891811	0.0010163	0.8786647	0.8958211	0.7816455	0.6081701
450	0.1644705	0.0559912	0.4068094	0.7430588	0.9827443	0.0014935	0.9351065	0.9832279	0.7561494	0.6759545
500	0.1367194	0.0241019	0.4584047	0.7625863	0.9670253	0.0011225	0.9438416	0.9603816	0.6946104	0.6647702
550	0.1726887	0.0461664	0.4070881	0.7300322	0.9920671	0.0097520	0.9370096	0.9492153	0.7116767	0.6213114
600	0.1637136	0.0768434	0.3824454	0.7685716	1.0650031	0.0058094	0.9367425	0.9405290	0.7305480	0.6682329
650	0.1403987	0.0488431	0.4480487	0.6659474	0.9731960	0.0129960	0.9530234	1.0145386	0.7670777	0.5927442
700	0.1208272	0.0533066	0.4757246	0.7080923	1.0131048	0.0137989	0.9483256	0.9723278	0.7084728	0.6111305
750	0.0910042	0.0441513	0.4350733	0.6981916	1.0316427	0.0179699	0.9467568	0.9596100	0.7131150	0.6409190
800	0.1211153	0.0519763	0.4418476	0.6899377	0.9501622	0.0143965	0.9182204	0.9814334	0.7446837	0.6165104
850	0.1207869	0.0632314	0.4184040	0.7163953	1.0656568	0.0076943	0.9169832	0.9089682	0.7285694	0.6555074
900	0.0949571	0.0430648	0.4024194	0.6970076	1.0385833	0.0043123	1.0189236	0.9308719	0.6920667	0.6924493
950	0.1201074	0.0658939	0.4432657	0.7718493	0.9445301	0.0093964	0.9633359	0.8956437	0.7108265	0.6200229
1000	0.1346093	0.0542075	0.4002683	0.7239963	0.9430448	0.0055192	0.9023578	0.8962623	0.6730565	0.6358505

0	0.1350601	0.0416410	0.4427643	0.7048492	0.9714275	0.0159040	0.9611172	1.0037433	0.6746947	0.7298868
50	0.3468258	0.0766406	0.1484128	0.7150060	0.7807666	0.0074612	0.8267622	0.9867289	0.8289582	0.6435898
100	0.4284968	0.0683467	0.0785955	0.8716634	0.6461240	0.0037937	0.8678723	0.9010598	0.8232424	0.6200752
150	0.4201550	0.0430921	0.0688041	0.8313482	0.6668207	0.0158943	0.8834506	1.0047242	0.7462938	0.5912356
200	0.4243659	0.0368365	0.0580010	0.8873546	0.6396084	0.0169987	0.8866904	1.0392557	0.7448070	0.6415882
250	0.3835475	0.0671987	0.0562308	0.9329463	0.6179287	0.0106516	0.8801277	0.9362873	0.5934152	0.6277425
300	0.3944989	0.0623314	0.0655123	0.9163249	0.6196373	0.0088556	0.9313295	0.9215540	0.6900726	0.7099184
350	0.3635117	0.0447754	0.0700953	0.8649562	0.6464621	0.0098568	0.8523572	0.9078408	0.6936827	0.6894762
400	0.4028422	0.0503989	0.0357377	0.9026912	0.6817298	0.0190111	0.9352662	1.0200964	0.6749818	0.6583290
