YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0000020	0.9963323	0.3504026	0.0644590	0.9968345	0.8440791	0.6038658	0.6378080	0.6081356	0.0692921
0.0252228	0.0000036	0.3504026	0.0644590	0.9968345	0.8440783	0.6038661	0.6378083	0.6081353	0.0692922
0.9325582	0.9963528	0.0000013	0.0644582	0.9984241	0.9970522	0.3765523	0.3690655	0.9999595	0.0692773
0.9325583	0.9963529	0.0279792	0.0000004	0.9984197	0.9962584	0.3870620	0.3800608	0.9787059	0.0692773
0.0260135	0.0130818	0.9970939	0.9999996	0.0000000	0.6230133	0.6970673	0.7810586	0.4447410	1.0000000
0.0301822	0.0295844	0.9147351	0.2321648	0.0693859	0.0000000	0.6992572	0.7842667	0.4414352	0.9873055
0.9325584	0.9963536	0.3503967	0.0644582	0.9984494	0.9999979	0.0000052	0.6378287	0.6081118	0.0692768
0.9325581	0.9963521	0.3503974	0.0644583	0.9983610	0.9874677	0.4453133	0.0000024	0.6081113	0.0692778
0.9324069	0.9951877	0.3506834	0.0644990	0.9221294	0.3869650	0.8003145	0.9999998	0.0000003	0.0701327
0.9325555	0.9963323	0.3504027	0.0644590	0.9968344	0.8440771	0.6038660	0.6378082	0.6081355	0.0000014
