YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.1682765	0.0375202	0.1441727	0.2875160	0.7493084	0.1995604	0.7147148	0.7915992	0.7691668	0.0274682
0.3297672	0.0294980	0.1489544	0.2819850	0.8354133	0.2670851	0.5949715	0.7502715	0.7131449	0.0337087
0.3291222	0.0257022	0.0783838	0.2173043	0.6087807	0.2498380	0.8471441	0.7661638	0.9453212	0.0424567
0.3968152	0.0495653	0.3182258	0.1785372	0.6567017	0.2679751	0.5625001	0.7935030	0.6975813	0.0352178
0.4274308	0.0333656	0.1218397	0.7069422	0.0997309	0.8363941	0.7754291	0.7130096	0.7162831	0.1045984
0.3071653	0.0460636	0.1651604	0.2520679	0.7957964	0.1022548	0.7956077	0.7189354	0.7988611	0.0464308
0.3093089	0.0729796	0.1987365	0.2494285	0.8137913	0.1768004	0.3174732	0.5914741	0.7634950	0.0114132
0.3457431	0.0301458	0.1401144	0.2770955	0.6980110	0.1740466	0.3295951	0.4031731	0.7092713	0.0271485
0.3930970	0.0350875	0.2154926	0.3865797	0.7537177	0.2602457	0.6770091	0.5118130	0.3783745	0.0222822
0.3849539	0.0423519	0.1386020	0.2623383	0.8930885	0.3299782	0.7612317	0.7687832	0.7543054	0.0208504
