"Time"	YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W

0	0.8083374	0.6898529	0.6095768	0.1166465	0.0456958	0.7203088	0.5441911	0.3519204	0.3549894	0.4169842
50	0.6296887	0.5908042	0.6711540	0.1494913	0.0399197	0.7209278	0.3807679	0.3460782	0.2177869	0.4833796
100	0.6611193	0.6738221	0.6962840	0.1400556	0.0736810	0.6468390	0.2580295	0.4449103	0.2029920	0.4413048
150	0.6923433	0.7195877	0.6726037	0.1082725	0.0910069	0.6397358	0.1261101	0.3652772	0.1795039	0.5531075
200	0.8707620	0.7479495	0.8571734	0.1883869	0.1280184	0.5217171	0.1577960	0.3781043	0.2209464	0.4063926
250	0.7397655	0.5738590	0.6184147	0.2073146	0.0875092	0.5981775	0.1064113	0.3922574	0.1520622	0.3791435
300	0.5559390	0.6636050	0.6368545	0.2291008	0.0970893	0.7194000	0.1014512	0.3876056	0.2498911	0.3112210
350	0.6436096	0.6779417	0.7669027	0.2219702	0.1356678	0.8772381	0.1169513	0.4920429	0.2476538	0.3516818
400	0.6568002	0.6545077	0.5720746	0.1828524	0.1124019	0.6652758	0.0664275	0.4012042	0.1649059	0.4505413
450	0.6696098	0.6216325	0.6695036	0.1783011	0.1022782	0.6966463	0.0661897	0.4406106	0.2203496	0.3118756
500	0.6739642	0.6860075	0.6610592	0.1459492	0.1305957	0.6686388	0.0895804	0.4411494	0.2800051	0.3658405
550	0.6410750	0.5452396	0.7048067	0.2395243	0.0670530	0.5899843	0.2482225	0.3976184	0.4466797	0.4478215
600	0.7094164	0.5806412	0.7359744	0.1632877	0.0304001	0.6095123	0.3593871	0.4211177	0.3734707	0.4224660
650	0.6012955	0.6967103	0.6636005	0.1307587	0.0325640	0.7532866	0.4163811	0.3514982	0.3827884	0.4419670
700	0.5981402	0.6208443	0.7930734	0.1563910	0.0325072	0.6049490	0.4390406	0.4084012	0.4473426	0.4418471
750	0.4969212	0.5641824	0.6451221	0.1485286	0.0245182	0.6965456	0.4750432	0.3220755	0.3599821	0.4765040
800	0.5575761	0.5796994	0.5626116	0.1543700	0.0466092	0.7831588	0.4988242	0.3579878	0.4270566	0.4401106
850	0.6705728	0.7335194	0.6751476	0.1659495	0.0357102	0.7132434	0.4199149	0.3418562	0.3309378	0.4855920
900	0.6957502	0.5950695	0.6324060	0.1763997	0.0385574	0.6965200	0.4777750	0.3120560	0.2850802	0.4419144
950	0.7070155	0.6504733	0.6326138	0.1902575	0.0789364	0.6628466	0.5061592	0.2816695	0.3896948	0.4824985
1000	0.7097569	0.6706089	0.6133301	0.1494579	0.0666037	0.6880669	0.5397791	0.4093767	0.3103314	0.5097604

0	0.6322685	0.7642872	0.7701892	0.1131785	0.0466414	0.6528221	0.5148020	0.3554358	0.3096240	0.3737805
50	0.5807651	0.6663251	0.7103331	0.1784897	0.0541836	0.6762259	0.4839195	0.3597045	0.2886014	0.4868195
100	0.7425455	0.6003190	0.7381085	0.1208690	0.1002403	0.7325471	0.4361612	0.2917883	0.2116198	0.3740294
150	0.6504983	0.5767479	0.8955055	0.1759964	0.1187454	0.6343517	0.4313852	0.3765080	0.3043046	0.4430614
200	0.6369879	0.5881483	0.6613728	0.1715364	0.0719051	0.6373021	0.4165074	0.3250355	0.1600206	0.5364984
250	0.7087163	0.6713985	0.6999012	0.1975227	0.1310396	0.6998121	0.3794712	0.3881437	0.2244393	0.5073148
300	0.6870134	0.6148371	0.6210019	0.1191759	0.1092801	0.6600293	0.3789786	0.3811315	0.1970475	0.5457249
350	0.6215165	0.6841999	0.8814684	0.1261720	0.2080425	0.7575658	0.3648109	0.4451264	0.1840310	0.4226931
400	0.6484026	0.6367056	0.6028392	0.1150909	0.2289785	0.5695100	0.3690246	0.5405703	0.2335249	0.5174132
450	0.5212859	0.7171843	0.6443588	0.1534957	0.1461180	0.7226258	0.2914416	0.4390111	0.1865148	0.3835344
500	0.7803849	0.7195107	0.6551592	0.1251427	0.1438285	0.6161112	0.3573699	0.4256279	0.2706675	0.4221307
550	0.7774423	0.7105885	0.6276276	0.1494527	0.1406758	0.5685275	0.3868464	0.3429769	0.3142969	0.4521036
600	0.6243962	0.6379852	0.7951606	0.1810185	0.0988991	0.5618655	0.4617594	0.3646365	0.2859627	0.3542575
650	0.7284625	0.6377585	0.5555677	0.2465689	0.0854764	0.6105810	0.4455837	0.3070897	0.3657674	0.3842762
700	0.7801418	0.5862179	0.5646086	0.1554995	0.0617042	0.6973711	0.4953302	0.3844493	0.3859551	0.5173186
750	0.6069738	0.7686509	0.7609351	0.1648253	0.0418968	0.5751942	0.4954644	0.3121760	0.3475813	0.3854116
800	0.5834147	0.7023822	0.6739007	0.1439666	0.0479367	0.5872316	0.4548671	0.4059749	0.4485980	0.4225009
850	0.5238616	0.7385538	0.6247310	0.1556625	0.0349296	0.6062032	0.5194885	0.3001880	0.3106916	0.3311549
900	0.7578059	0.7282081	0.5706072	0.1783703	0.0481404	0.5761439	0.4548132	0.3577687	0.3469468	0.3736838
950	0.7148151	0.7612516	0.6057348	0.1673642	0.0407140	0.6055613	0.4420503	0.3019128	0.4023485	0.4028324
1000	0.7807172	0.7112016	0.6507757	0.1930913	0.0520176	0.7401916	0.4482258	0.3511508	0.4367619	0.4606398

0	0.7045702	0.6698963	0.6448251	0.1464177	0.0500030	0.7005720	0.4967024	0.2633506	0.3012050	0.3717152
50	0.8097187	0.6025308	0.6373356	0.1160625	0.0336915	0.7720784	0.4391848	0.2564452	0.4535545	0.3930660
100	0.6357445	0.5861033	0.5992139	0.0510131	0.0260988	0.6569610	0.5090574	0.3155131	0.4050760	0.4005688
150	0.5851619	0.7423344	0.6230743	0.0691790	0.0393961	0.7386780	0.6520465	0.2524916	0.5611219	0.2879893
200	0.6530558	0.7021688	0.5870323	0.0710088	0.0353234	0.6956345	0.7029001	0.2073982	0.5062958	0.4036410
250	0.6481727	0.8564649	0.7004768	0.0657947	0.0065354	0.6089200	0.6203241	0.1912765	0.4525443	0.2961109
300	0.6642213	0.7222230	0.5010176	0.0922759	0.0346324	0.7079554	0.6098208	0.1942952	0.5027267	0.3264222
350	0.7546319	0.6059138	0.5744238	0.0894245	0.0192295	0.7359833	0.7102274	0.1920771	0.6024310	0.3584252
400	0.6938342	0.6989990	0.6281929	0.0765089	0.0135862	0.6858516	0.6553958	0.2648438	0.6053488	0.3527243
450	0.7244159	0.6424167	0.6447674	0.1622947	0.0394414	0.6656002	0.7156709	0.1483359	0.4516998	0.4691680
500	0.8144260	0.7798811	0.6889506	0.0304356	0.0123823	0.6786540	0.5976051	0.2839118	0.5107603	0.3472368
550	0.6813963	0.5878393	0.6952331	0.1228614	0.0430761	0.5951124	0.6597568	0.2152160	0.4982397	0.2832686
600	0.7106438	0.7204417	0.6907865	0.2038402	0.0176657	0.6419916	0.6288026	0.2372518	0.4937412	0.3743005
650	0.5021057	0.5999644	0.7266339	0.1705097	0.0254328	0.7183441	0.6849790	0.2366358	0.5051582	0.4281888
700	0.6340566	0.5892842	0.7754844	0.2288269	0.0160792	0.7282586	0.5483980	0.2902661	0.3680521	0.5115220
750	0.5814748	0.5900699	0.6200394	0.1747961	0.0322830	0.6668630	0.5473011	0.2892544	0.2966329	0.5136224
800	0.6892001	0.7161916	0.5965689	0.1432402	0.0505319	0.5358508	0.5213628	0.3099990	0.2876123	0.4703049
850	0.7274546	0.6385609	0.7205700	0.1273153	0.0924906	0.7088125	0.5281656	0.3077108	0.3094974	0.4683763
900	0.7771186	0.7511763	0.7244330	0.1500200	0.0614532	0.6205802	0.4739463	0.3863248	0.2720716	0.4743812
950	0.6020484	0.6741321	0.6759838	0.1746551	0.0414830	0.5858734	0.4770270	0.3320855	0.3763388	0.3538080
1000	0.6520305	0.6553004	0.6335131	0.1692666	0.0203277	0.6721147	0.4208984	0.4009705	0.4643600	0.4282668

0	0.7130768	0.7181634	0.8013160	0.1150470	0.0434914	0.7872430	0.5468594	0.3779386	0.3794943	0.4957226
50	0.7974022	0.7089661	0.6161807	0.1362859	0.0096025	0.6607434	0.2677619	0.3457247	0.3185603	0.4518558
