YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.3123102	0.5329916	0.2875584	0.1777310	0.0907765	0.0430896	0.7425360	0.6747643	0.3529092	0.7102438
0.3276233	0.3044634	0.2596462	0.0990428	0.1187769	0.0589416	0.6498147	0.1789911	0.4673973	0.7443427
0.6965001	0.5336878	0.1574158	0.1442569	0.0793714	0.0777626	0.4735026	0.6041113	0.4013531	0.9331955
0.6118770	0.6899990	0.1391089	0.0445615	0.1148338	0.0522046	0.6900649	0.6250104	0.2848312	0.7427510
0.6930813	0.5505969	0.2244589	0.0413233	0.0285059	0.0487556	0.7174825	0.5008256	0.4542012	0.5897118
0.5100799	0.3639328	0.1008172	0.0450445	0.0232081	0.0334959	0.6231548	0.5180848	0.2957540	0.7231505
0.6477244	0.8688376	0.5236422	0.6148129	0.4960636	0.2004747	0.1924476	0.5932371	0.3069371	0.7385853
0.7734409	0.6037296	0.3218455	0.1966114	0.1025661	0.0682342	0.5526229	0.2733596	0.3930913	0.6735037
0.6359112	0.6715664	0.3055015	0.1205492	0.1174768	0.0718374	0.5843566	0.7361236	0.2053947	0.6922703
0.7391628	0.5636260	0.2990230	0.1351249	0.0591947	0.0652825	0.6517594	0.1745426	0.5464697	0.3139376
