YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0971334	0.0005914	0.6859685	0.1806479	0.6475521	0.3207787	0.0032871	0.2909855	0.4637879	0.2134877
0.1605693	0.0134015	0.6084364	0.1537496	0.4964826	0.6460744	0.0044102	0.2495453	0.4726366	0.2509077
0.5698784	0.0968298	0.2214086	0.4583930	0.3148407	0.5706965	0.0452486	0.2870310	0.6155761	0.3795318
0.1302931	0.0196733	0.4114482	0.3892728	0.4432274	0.9200155	0.0572190	0.2591334	0.6116659	0.4456468
0.2356656	0.0079119	0.6762484	0.2953866	0.5737592	0.4341429	0.0671497	0.2227581	0.3947280	0.1970750
0.4378028	0.0132350	0.4831563	0.3268531	0.5110601	0.7668842	0.0496754	0.2697208	0.4343457	0.3154274
0.5312583	0.0033636	0.6487660	0.3619151	0.5972818	0.8178670	0.0372843	0.2384712	0.5300543	0.2801339
0.0265430	0.0089051	0.4923918	0.3993250	0.4309353	0.7065419	0.0455602	0.2113862	0.6219592	0.3812205
0.0122900	0.0239630	0.5725913	0.3117904	0.5403343	0.8373788	0.0014693	0.2169272	0.4718085	0.3413114
0.0012681	0.0008315	0.6920412	0.2252985	0.5714383	0.5799092	0.0084577	0.3863267	0.4102314	0.1934243
