"Time"	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W

0	0.4395099	0.8084299	0.0433792	0.9355724	0.0741747	0.3053853	1.0002575	0.8787211	0.7829924	0.2408577
50	0.4490415	0.5961568	0.0103762	0.8962551	0.0791860	0.1112756	1.0138638	0.9505528	0.8096061	0.2618307
100	0.3646224	0.5472881	0.0066865	0.9926419	0.0879407	0.0614497	0.9447815	0.9736582	0.7184429	0.2372339
150	0.2967850	0.5994536	0.0023096	0.9981615	0.0737182	0.0575514	0.9631334	0.7891473	0.7930455	0.3101299
200	0.3263556	0.5732350	0.0023277	0.9353581	0.0776988	0.0370115	0.9386304	0.8704863	0.7739162	0.2286680
250	0.3688446	0.5200757	0.0023582	0.9293362	0.0742839	0.0230908	0.9187168	0.9858371	0.7951811	0.2616741
300	0.4214187	0.5452757	0.0000701	1.0743862	0.0839882	0.0350061	0.9488597	1.0196501	0.7881109	0.2998572
350	0.3478761	0.4456555	0.0022520	1.0420129	0.0852874	0.0434441	1.0245768	1.0497443	0.8547269	0.1836698
400	0.3003504	0.5521977	0.0020003	0.9540301	0.0676304	0.0307586	1.0153340	0.9865931	0.8662791	0.1959950
450	0.2752306	0.5327923	0.0039817	1.0414129	0.0969891	0.0351130	0.9561945	0.9663925	0.8839578	0.1656888
500	0.3033052	0.4688954	0.0039856	0.9914107	0.0682433	0.0390941	0.9942447	0.9887635	0.8369607	0.1850935
550	0.2820064	0.6312463	0.0200740	0.9927885	0.0579858	0.2281025	0.9973650	0.9171640	0.8772060	0.1716732
600	0.3927298	0.6000133	0.0416878	0.9005992	0.0445368	0.2967026	0.9589410	0.8837712	0.8663143	0.2122157
650	0.3948202	0.6877169	0.0369945	1.0860562	0.0717029	0.2666975	1.0687626	0.8382084	0.7343082	0.2821469
700	0.4308861	0.7349090	0.0340537	0.9197838	0.0748772	0.2617080	0.9710675	0.8649535	0.6951961	0.3178455
750	0.4228722	0.7252339	0.0427261	0.8889630	0.1125175	0.2492182	0.9902099	0.9320211	0.7440060	0.3190368
