YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0230842	0.6126413	0.4691989	1.0612138	1.0951949	0.7132760	0.5177369	0.9737014	0.6519834	0.4204033
0.1378322	0.4175396	0.5373967	1.1053498	1.0991929	0.8376366	0.4834132	0.8916726	0.5940948	0.4160441
0.0345288	0.5085208	0.2558229	1.0431445	1.0682224	0.7195567	0.5725540	0.8926203	0.6455788	0.4154000
0.0873277	0.4806651	0.1842061	0.5116493	0.9687194	0.8099790	0.6501120	0.9622378	0.8073139	0.4179685
0.0087482	0.8065680	0.6165738	0.9781738	0.6081298	0.5892233	0.6208433	0.8416491	0.6224389	0.3803631
0.0220126	0.7044323	0.4441032	1.0130726	1.0682250	0.3540645	0.3698379	0.9141457	0.5655917	0.4681755
0.0303389	0.7155804	0.4721044	1.0588327	1.0554090	0.7124323	0.3025263	0.9011214	0.5593217	0.4001597
0.0098402	0.6927320	0.4341619	0.9838489	1.0685602	0.5077897	0.8735586	0.4616139	0.5157596	0.6990358
0.0128699	0.8058977	0.4820325	0.9918968	1.0805539	0.6566592	0.5272168	0.7684963	0.3163531	0.4286548
0.0452853	0.7449683	0.5446311	1.0781191	1.0671467	0.6458113	0.5432205	0.9301764	0.7904442	0.1991131
