"Time"	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W

0	0.4076364	0.5420666	0.8628402	0.8000877	0.8722806	0.5567684	0.9692547	0.6702015	0.4672017	0.7274431
50	0.4160068	0.6102417	0.8933838	0.8000466	0.6346393	0.5567936	0.9916087	0.6710657	0.4733215	0.7269111
100	0.4353859	0.6280074	0.9004731	0.8000201	0.5539229	0.5568118	0.9975859	0.6838819	0.4908437	0.7180804
150	0.4510363	0.6362838	0.9027620	0.8000023	0.5265045	0.5568233	0.9991917	0.7086082	0.5040443	0.6980233
200	0.4608614	0.6412250	0.9036055	0.7999906	0.5171892	0.5568303	0.9996327	0.7286625	0.5055032	0.6782089
250	0.4665566	0.6429306	0.9039194	0.7999832	0.5140234	0.5568346	0.9997594	0.7348989	0.5000074	0.6692885
300	0.4694182	0.6423397	0.9040334	0.7999786	0.5129469	0.5568372	0.9997962	0.7307896	0.4951762	0.6709687
350	0.4703993	0.6411760	0.9040736	0.7999758	0.5125806	0.5568388	0.9998050	0.7247981	0.4943033	0.6761179
400	0.4704266	0.6406335	0.9040871	0.7999740	0.5124557	0.5568397	0.9998051	0.7224315	0.4959916	0.6789647
450	0.4702445	0.6408077	0.9040914	0.7999730	0.5124129	0.5568404	0.9998042	0.7236216	0.4976387	0.6785412
500	0.4702006	0.6411957	0.9040926	0.7999723	0.5123982	0.5568407	0.9998043	0.7256225	0.4980371	0.6768554
550	0.4625800	0.5727060	0.8750740	0.7999720	0.7499854	0.5568395	0.9796445	0.7236371	0.4828814	0.6779828
600	0.4436957	0.5529673	0.8678598	0.7999728	0.8306763	0.5568365	0.9740602	0.7003001	0.4597817	0.6959806
650	0.4271500	0.5430843	0.8652169	0.7999745	0.8580820	0.5568341	0.9717169	0.6679824	0.4546550	0.7222595
700	0.4161194	0.5390616	0.8640058	0.7999763	0.8673905	0.5568325	0.9699440	0.6535632	0.4614895	0.7368591
750	0.4100371	0.5395819	0.8633269	0.7999777	0.8705526	0.5568313	0.9688675	0.6585150	0.4685909	0.7366298
800	0.4076773	0.5415258	0.8629430	0.7999788	0.8716270	0.5568305	0.9686990	0.6685704	0.4708060	0.7301570
850	0.4073960	0.5426896	0.8627938	0.7999795	0.8719922	0.5568301	0.9690108	0.6738005	0.4692802	0.7255379
900	0.4077337	0.5426946	0.8627921	0.7999800	0.8721165	0.5568299	0.9693013	0.6732505	0.4671310	0.7250573
950	0.4079206	0.5421754	0.8628353	0.7999802	0.8721588	0.5568298	0.9693790	0.6704806	0.4662210	0.7267989
1000	0.4078401	0.5417874	0.8628611	0.7999804	0.8721732	0.5568298	0.9693075	0.6686650	0.4665185	0.7283146

0	0.4076364	0.5420666	0.8628402	0.8000877	0.8722806	0.5567684	0.9692547	0.6702015	0.4672017	0.7274431
50	0.4076750	0.5419924	0.8628444	0.7918617	0.8671991	0.5971726	0.9692386	0.6698067	0.4671218	0.7276889
100	0.4076693	0.5419729	0.8628361	0.7761604	0.8560617	0.6047799	0.9690091	0.6697395	0.4676080	0.7277812
150	0.4076679	0.5421164	0.8627874	0.7660924	0.8476617	0.6078162	0.9685742	0.6705038	0.4684372	0.7272892
200	0.4077241	0.5423775	0.8626975	0.7609227	0.8427455	0.6099220	0.9681447	0.6718035	0.4690139	0.7263217
250	0.4078416	0.5426064	0.8625963	0.7581374	0.8399257	0.6113813	0.9678368	0.6728724	0.4691440	0.7254159
300	0.4079730	0.5427152	0.8625107	0.7564864	0.8382410	0.6123238	0.9676415	0.6733205	0.4690265	0.7249379
350	0.4080691	0.5427251	0.8624483	0.7554609	0.8372036	0.6129128	0.9675125	0.6733039	0.4689118	0.7248526
400	0.4081155	0.5427032	0.8624051	0.7548182	0.8365577	0.6132784	0.9674198	0.6731692	0.4689004	0.7249217
450	0.4081283	0.5426952	0.8623748	0.7544165	0.8361551	0.6135056	0.9673538	0.6731274	0.4689568	0.7249596
500	0.4081308	0.5427073	0.8623536	0.7541661	0.8359041	0.6136470	0.9673114	0.6731893	0.4690119	0.7249239
550	0.4081355	0.5427241	0.8623397	0.7621748	0.8410639	0.5742326	0.9673141	0.6732678	0.4689755	0.7248637
600	0.4081412	0.5426945	0.8623435	0.7775521	0.8521927	0.5665927	0.9675540	0.6730978	0.4684725	0.7249617
650	0.4081248	0.5425319	0.8623929	0.7874433	0.8603867	0.5632797	0.9680057	0.6722541	0.4676870	0.7255466
700	0.4080537	0.5422774	0.8624852	0.7926331	0.8651687	0.5609743	0.9684289	0.6709993	0.4671814	0.7265038
750	0.4079320	0.5420679	0.8625858	0.7954956	0.8679226	0.5594151	0.9687172	0.6700305	0.4670969	0.7273375
800	0.4078056	0.5419762	0.8626680	0.7972051	0.8695651	0.5584258	0.9688934	0.6696641	0.4672205	0.7277450
850	0.4077178	0.5419737	0.8627258	0.7982616	0.8705682	0.5578140	0.9690078	0.6697114	0.4673226	0.7277967
900	0.4076778	0.5419955	0.8627650	0.7989176	0.8711858	0.5574373	0.9690895	0.6698407	0.4673251	0.7277255
950	0.4076678	0.5420015	0.8627920	0.7993239	0.8715668	0.5572049	0.9691469	0.6698712	0.4672699	0.7276946
1000	0.4076660	0.5419891	0.8628106	0.7995750	0.8718017	0.5570615	0.9691830	0.6698080	0.4672211	0.7277318

0	0.4076364	0.5420666	0.8628402	0.8000877	0.8722806	0.5567684	0.9692547	0.6702015	0.4672017	0.7274431
50	0.4085031	0.5578006	0.8628356	0.7558141	0.3071104	0.1808814	0.9691762	0.7544126	0.6460384	0.4872821
100	0.4149311	0.5788204	0.8629202	0.8175519	0.1159384	0.1208787	0.9717483	0.8520831	0.6635362	0.3466017
150	0.4244728	0.5887950	0.8634153	0.8436486	0.0511281	0.1062409	0.9754325	0.8910476	0.6921145	0.2778348
200	0.4324270	0.5942769	0.8641596	0.8514627	0.0291341	0.0999284	0.9780235	0.9107916	0.7105518	0.2395023
250	0.4378495	0.5972373	0.8648282	0.8537182	0.0216685	0.0968258	0.9794897	0.9207885	0.7132113	0.2179905
300	0.4411597	0.5983817	0.8652937	0.8544020	0.0191345	0.0953591	0.9802375	0.9242710	0.7113071	0.2086024
350	0.4429388	0.5986108	0.8655725	0.8546283	0.0182745	0.0946978	0.9805832	0.9247609	0.7095470	0.2058539
400	0.4437543	0.5985423	0.8657223	0.8547104	0.0179827	0.0944090	0.9807255	0.9244085	0.7086494	0.2056774
450	0.4440584	0.5984432	0.8657955	0.8547424	0.0178837	0.0942853	0.9807764	0.9240473	0.7083302	0.2060878
500	0.4441390	0.5983822	0.8658282	0.8547555	0.0178501	0.0942328	0.9807917	0.9238492	0.7082706	0.2064253
550	0.4438214	0.5896460	0.8658541	0.9517682	0.6600721	0.4696292	0.9812861	0.8846260	0.4196964	0.3695017
600	0.4381734	0.5384311	0.8659340	0.9099695	0.8465031	0.5253680	0.9808742	0.6313809	0.2829416	0.6460198
650	0.4160747	0.4746617	0.8656258	0.8572326	0.8843645	0.5359560	0.9714817	0.3828251	0.3688254	0.8286646
700	0.3884162	0.4890010	0.8634484	0.8295803	0.8871914	0.5421632	0.9507782	0.4511500	0.4682560	0.8484864
750	0.3805219	0.5257509	0.8599827	0.8168372	0.8839369	0.5472336	0.9504985	0.6143415	0.5058329	0.7782615
800	0.3893859	0.5460831	0.8589910	0.8102472	0.8804175	0.5508274	0.9613659	0.7009946	0.4968435	0.7127733
850	0.4008866	0.5502237	0.8602606	0.8063602	0.8776545	0.5531306	0.9682451	0.7120394	0.4718947	0.6945686
900	0.4076361	0.5457703	0.8617897	0.8039438	0.8757055	0.5545528	0.9706174	0.6858648	0.4567010	0.7103961
950	0.4090974	0.5406074	0.8626939	0.8024343	0.8744083	0.5554257	0.9704103	0.6606220	0.4572678	0.7302457
1000	0.4079397	0.5390637	0.8629670	0.8014968	0.8735738	0.5559629	0.9693973	0.6549549	0.4645633	0.7376735

0	0.4076364	0.5420666	0.8628402	0.8000877	0.8722806	0.5567684	0.9692547	0.6702015	0.4672017	0.7274431
50	0.4968776	0.5418943	0.8722033	0.8041533	0.8747310	0.5363168	0.9702306	0.7370488	0.4670498	0.7276939
100	0.5251749	0.5416593	0.8739698	0.8118865	0.8799891	0.5324357	0.9720072	0.7483964	0.4668842	0.7279688
150	0.5340939	0.5414920	0.8745500	0.8168087	0.8838515	0.5308676	0.9731598	0.7501225	0.4666426	0.7282682
200	0.5368668	0.5413638	0.8748726	0.8193269	0.8860736	0.5298089	0.9737469	0.7501469	0.4664706	0.7286126
250	0.5377001	0.5412739	0.8750644	0.8206686	0.8873239	0.5290995	0.9740272	0.7499549	0.4664242	0.7289031
300	0.5379312	0.5412297	0.8751712	0.8214465	0.8880519	0.5286545	0.9741627	0.7498528	0.4664501	0.7290598
350	0.5379860	0.5412194	0.8752277	0.8219168	0.8884872	0.5283836	0.9742329	0.7498465	0.4664791	0.7290988
400	0.5379964	0.5412218	0.8752573	0.8222036	0.8887504	0.5282197	0.9742729	0.7498694	0.4664819	0.7290883
450	0.5379983	0.5412224	0.8752732	0.8223782	0.8889098	0.5281205	0.9742971	0.7498762	0.4664667	0.7290815
500	0.5379984	0.5412185	0.8752821	0.8224841	0.8890064	0.5280604	0.9743115	0.7498628	0.4664515	0.7290924
550	0.4487131	0.5413065	0.8660233	0.8185249	0.8866919	0.5484936	0.9735494	0.6822772	0.4664671	0.7291089
600	0.4203920	0.5414791	0.8642932	0.8108647	0.8815468	0.5523300	0.9718241	0.6706655	0.4666644	0.7290667
650	0.4114619	0.5416349	0.8637042	0.8059468	0.8776846	0.5538565	0.9705421	0.6689868	0.4669897	0.7288329
700	0.4086944	0.5417813	0.8633441	0.8034228	0.8754345	0.5549054	0.9698661	0.6691627	0.4672162	0.7284376
750	0.4078803	0.5418916	0.8631167	0.8020683	0.8741520	0.5556249	0.9695535	0.6695290	0.4672688	0.7280767
800	0.4076717	0.5419449	0.8629879	0.8012713	0.8733922	0.5560854	0.9694116	0.6696992	0.4672246	0.7278859
850	0.4076336	0.5419542	0.8629204	0.8007805	0.8729286	0.5563708	0.9693402	0.6696941	0.4671806	0.7278494
900	0.4076311	0.5419483	0.8628857	0.8004754	0.8726428	0.5565465	0.9692975	0.6696427	0.4671761	0.7278743
950	0.4076313	0.5419463	0.8628670	0.8002864	0.8724661	0.5566548	0.9692698	0.6696265	0.4671976	0.7278884
1000	0.4076315	0.5419514	0.8628562	0.8001695	0.8723570	0.5567216	0.9692527	0.6696503	0.4672187	0.7278748

0	0.4076364	0.5420666	0.8628402	0.8000877	0.8722806	0.5567684	0.9692547	0.6702015	0.4672017	0.7274431
50	0.6964558	0.3164225	0.8628453	0.8192461	0.8836455	0.4594083	0.9693115	0.6697885	0.4669627	0.7276999
100	0.7715841	0.2642427	0.8628709	0.8541472	0.9063370	0.4410335	0.9697661	0.6691106	0.4660808	0.7281861
150	0.7862998	0.2520583	0.8629683	0.8753252	0.9219766	0.4340666	0.9705492	0.6675264	0.4648194	0.7293263
200	0.7874951	0.2490792	0.8631298	0.8855626	0.9304524	0.4297718	0.9712312	0.6654441	0.4640824	0.7309255
250	0.7866971	0.2482850	0.8632947	0.8906056	0.9348892	0.4271029	0.9716592	0.6639612	0.4640310	0.7322106
300	0.7860619	0.2480783	0.8634213	0.8932782	0.9372643	0.4255393	0.9718982	0.6635026	0.4642800	0.7327631
350	0.7857409	0.2480508	0.8635047	0.8947611	0.9385671	0.4246512	0.9720429	0.6636857	0.4644618	0.7327583
400	0.7856050	0.2480638	0.8635575	0.8955964	0.9392916	0.4241515	0.9721428	0.6639514	0.4644700	0.7325918
450	0.7855537	0.2480683	0.8635919	0.8960677	0.9396968	0.4238707	0.9722109	0.6640244	0.4643858	0.7325166
500	0.7855353	0.2480596	0.8636146	0.8963333	0.9399239	0.4237127	0.9722504	0.6639355	0.4643145	0.7325613
550	0.4133186	0.4730992	0.8636282	0.8801325	0.9314225	0.5208967	0.9722393	0.6638304	0.4643631	0.7326385
600	0.3582780	0.5251305	0.8636218	0.8470891	0.9110459	0.5384858	0.9719443	0.6640546	0.4650282	0.7325130
650	0.3735064	0.5373694	0.8635588	0.8253357	0.8950112	0.5447259	0.9713255	0.6652364	0.4662043	0.7317181
700	0.3905307	0.5405315	0.8634322	0.8143343	0.8855972	0.5489156	0.9706691	0.6671553	0.4671035	0.7302970
750	0.4001099	0.5415270	0.8632818	0.8086111	0.8802832	0.5518466	0.9701744	0.6688170	0.4673769	0.7289194
800	0.4045619	0.5418619	0.8631489	0.8053090	0.8771614	0.5537474	0.9698534	0.6696068	0.4672512	0.7281256
850	0.4064489	0.5419306	0.8630497	0.8032852	0.8752605	0.5549302	0.9696435	0.6696736	0.4670852	0.7279217
900	0.4071928	0.5419131	0.8629804	0.8020266	0.8740862	0.5556581	0.9694959	0.6695012	0.4670517	0.7279893
950	0.4074629	0.5419014	0.8629320	0.8012453	0.8733590	0.5561064	0.9693914	0.6694262	0.4671226	0.7280465
1000	0.4075560	0.5419166	0.8628984	0.8007619	0.8729090	0.5563829	0.9693234	0.6695006	0.4672034	0.7280057

0	0.4076364	0.5420666	0.8628402	0.8000877	0.8722806	0.5567684	0.9692547	0.6702015	0.4672017	0.7274431
50	0.4076750	0.5419913	0.8629112	0.8000467	0.8722425	0.5567919	0.9716991	0.8628501	0.4670737	0.7276922
100	0.4076670	0.5419319	0.8634077	0.8000213	0.8722188	0.5568070	0.9753318	0.8961076	0.4671190	0.7279072
150	0.4076422	0.5419105	0.8641126	0.8000053	0.8722039	0.5568169	0.9771845	0.9018690	0.4672109	0.7279529
200	0.4076227	0.5419102	0.8646502	0.7999950	0.8721945	0.5568232	0.9779044	0.9028982	0.4672591	0.7278887
250	0.4076132	0.5419104	0.8649542	0.7999885	0.8721885	0.5568271	0.9781521	0.9030961	0.4672536	0.7278196
300	0.4076088	0.5419028	0.8650988	0.7999844	0.8721847	0.5568295	0.9782313	0.9031304	0.4672278	0.7277967
350	0.4076042	0.5418914	0.8651604	0.7999818	0.8721823	0.5568309	0.9782553	0.9031274	0.4672112	0.7278107
400	0.4075983	0.5418825	0.8651846	0.7999802	0.8721809	0.5568318	0.9782622	0.9031203	0.4672106	0.7278312
450	0.4075926	0.5418791	0.8651936	0.7999792	0.8721800	0.5568324	0.9782640	0.9031182	0.4672176	0.7278401
500	0.4075890	0.5418796	0.8651968	0.7999786	0.8721794	0.5568328	0.9782644	0.9031201	0.4672231	0.7278373
550	0.4075876	0.5418811	0.8651681	0.7999782	0.8721790	0.5568329	0.9769777	0.7100649	0.4672241	0.7278312
600	0.4075876	0.5418841	0.8648605	0.7999781	0.8721789	0.5568327	0.9737064	0.6766836	0.4672223	0.7278279
