"Time"	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C

0	0.1191749	0.4014307	0.9462332	0.5861684	0.7444800	0.6783669	0.4016657	0.9495441	0.1114993	1.0197318
50	0.0586315	0.1485168	0.9591273	0.6647738	0.7352299	0.8505032	0.3548609	0.8836659	0.0802880	0.7677957
100	0.0622569	0.1277627	1.0302493	0.6079794	0.7157506	0.7148452	0.3210236	0.8363858	0.0992225	0.6865332
150	0.0442944	0.0982169	0.9849106	0.6575631	0.7006084	0.7512998	0.3801545	0.8042660	0.1355871	0.6609056
200	0.0394217	0.1019515	0.9756023	0.5254647	0.7415188	0.7554226	0.3654162	0.7371552	0.1813155	0.5708931
250	0.0139393	0.0918753	0.9974980	0.5520445	0.6394304	0.7548565	0.3956442	0.6169323	0.2076314	0.5906187
300	0.0157543	0.0924227	0.8439033	0.5375403	0.6845378	0.7279664	0.4159315	0.5931307	0.3050315	0.5679763
350	0.0331017	0.0937564	0.8364622	0.5807898	0.6447388	0.7474897	0.4440707	0.6728965	0.3311635	0.5944413
400	0.0431510	0.1134084	0.7962137	0.6700547	0.7455262	0.7200265	0.4480303	0.5702065	0.3031230	0.6336699
450	0.0439380	0.1308360	0.8628291	0.5644431	0.7743926	0.7653007	0.4075685	0.6527880	0.3684256	0.6130378
500	0.0447235	0.1247567	0.7958481	0.5230626	0.7871151	0.7254559	0.4275365	0.6174921	0.3379876	0.5936302
550	0.0536369	0.3466432	0.7095831	0.5559293	0.7757694	0.7780041	0.3807786	0.6185312	0.3208192	0.8252548
600	0.0984366	0.4338019	0.7723711	0.6205825	0.7670018	0.7704760	0.3506118	0.7901361	0.2161913	0.9243617
650	0.0779175	0.4448554	0.8295839	0.5596547	0.7123461	0.7197946	0.3600245	0.8051416	0.1682633	0.8633425
700	0.1026354	0.4383411	0.9613393	0.5957742	0.8374958	0.7128758	0.4141440	0.8557619	0.1304303	0.9678790
750	0.0774421	0.3544210	0.9768299	0.6264257	0.7750728	0.7455248	0.3503023	0.8632711	0.1037005	1.0235682
800	0.0626486	0.3808929	1.0038571	0.5960469	0.7882096	0.6534614	0.3470646	0.8605960	0.0995787	1.0119695
850	0.0375311	0.3403593	0.9116511	0.6114102	0.7377561	0.7376564	0.3064576	0.8325462	0.1044377	0.9235950
900	0.0589625	0.3451827	0.9219730	0.5813653	0.7838027	0.7567543	0.3348999	0.8672236	0.0830557	0.9854922
950	0.0483917	0.3434184	0.9671533	0.6329980	0.7211226	0.7590266	0.3717662	0.8587265	0.0997216	0.9467470
1000	0.0550529	0.3558999	0.9761881	0.5778943	0.7595736	0.7363504	0.3446731	0.8122191	0.0954368	0.9923155

0	0.1191749	0.4014307	0.9462332	0.5861684	0.7444800	0.6783669	0.4016657	0.9495441	0.1114993	1.0197318
50	0.0677599	0.3803032	1.0085871	0.6270059	0.7601738	0.6651187	0.2021430	0.8173791	0.0879385	0.9851657
100	0.0818532	0.3486928	0.9733251	0.5715620	0.7141727	0.7574013	0.1598724	0.8311361	0.0795769	0.9735671
150	0.0541366	0.3206322	0.9865226	0.5500987	0.7424107	0.8105083	0.1110923	0.9248718	0.1152336	1.0596784
200	0.0665620	0.3597241	0.9394463	0.5675265	0.7413494	0.7168877	0.1462744	0.9436281	0.0952576	1.0074314
