YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.3330046	0.5034744	0.9238045	0.3404815	0.4240657	0.5597459	1.0547754	0.0000375	0.0762572	0.6045906
0.4099238	0.8747321	0.6608339	0.2439020	0.5967543	0.0954419	0.1705643	0.4456041	0.0000219	0.1317887
0.1508398	0.4806679	0.8759566	0.4182432	0.2981875	1.1106339	0.9835522	0.0241633	0.1770386	0.4654325
0.2771761	0.6339137	0.6973160	0.0708466	0.7171370	0.4387780	0.6760224	0.0014177	0.0912546	0.6704099
0.1508317	0.3849310	0.9765857	0.3144065	0.5207682	0.5825921	0.9980937	0.0706955	0.2204741	0.4564909
0.4038547	0.4794083	0.8956484	0.0890159	0.9720524	0.0190582	0.2098839	0.3301484	0.0083491	0.3470394
0.0787259	0.3898979	0.5167365	0.3529543	0.5251476	0.5890092	0.9366220	0.0738284	0.0322795	0.4211726
0.0221233	0.2787265	0.9217588	0.2834002	0.4925631	0.6649775	0.7724693	0.0022401	0.0416401	0.5617304
0.2135658	0.2707267	1.0878832	0.0903623	0.7029422	0.3021864	0.8257208	0.1080549	0.3213555	0.5738703
0.2620079	0.0742089	0.8833048	0.4801413	0.2790489	0.7342640	0.9469014	0.0021829	0.1066434	0.6175463
