YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.1053396	0.4392136	0.3811700	0.0330354	0.0597565	0.1990720	0.6523315	0.7512018	0.0007083	0.7085630
0.0340502	0.1563919	0.3616616	0.0404904	0.0703947	0.2313498	0.6341936	0.6291215	0.0008020	0.7526662
0.1514705	0.4429464	0.2279467	0.0395536	0.0579032	0.2608049	0.6384298	0.8381613	0.0063353	0.7803279
0.1948309	0.4706222	0.3545056	0.0241350	0.0338937	0.2542683	0.8077465	0.7723507	0.0018902	0.6811712
0.1494226	0.3813325	0.3993419	0.0374903	0.0232919	0.2785688	0.7260718	0.7126773	0.0000964	0.7089248
0.1867996	0.4095560	0.3699842	0.0322895	0.0873892	0.2025019	0.7378175	0.6492587	0.0007970	0.6887816
0.1570151	0.4832481	0.3792672	0.0198421	0.0384683	0.6785529	0.3768512	0.7333227	0.0001039	0.6780429
0.1101277	0.3102654	0.1040335	0.0573238	0.0561074	0.4061489	0.5967201	0.2827225	0.0038935	0.7858932
0.1262082	0.2676711	0.3829405	0.0274867	0.0631518	0.2266809	0.6948643	0.6125037	0.0001488	0.6249402
0.1628210	0.4885491	0.3175508	0.0281205	0.0995228	0.3272970	0.7788190	0.8122176	0.0077944	0.3358084
