"Time"	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W

0	0.0500284	0.5064950	0.3294181	0.3476251	0.3970835	0.0736327	0.2005775	0.6004374	0.4172752	0.0246614
50	0.1985614	0.5321379	0.4567895	0.2947688	0.1744588	0.1216762	0.3002464	0.3959925	0.3989162	0.0338384
100	0.0930694	0.6697264	0.3778979	0.3177866	0.0841973	0.1872445	0.3832640	0.3770613	0.3413936	0.0285771
150	0.0588116	0.5116113	0.3740310	0.1792445	0.0976577	0.1232714	0.2344979	0.3728043	0.3972817	0.0447266
200	0.1225749	0.7443466	0.1770728	0.1879962	0.0536196	0.1466440	0.2216635	0.4216690	0.4530170	0.0528187
250	0.1059274	0.5911476	0.2128704	0.2051454	0.0464793	0.0558564	0.2467410	0.4001268	0.3775325	0.0334047
300	0.0793042	0.6371304	0.1543259	0.1245357	0.0611661	0.0848194	0.1739261	0.5237575	0.3442229	0.0698356
350	0.1397085	0.7427746	0.1058035	0.1127340	0.0467764	0.0830030	0.2122199	0.4328908	0.3963260	0.0148605
400	0.0499838	0.7873119	0.1527477	0.1424183	0.0704840	0.0635780	0.1981836	0.3854460	0.5699255	0.0414291
450	0.0775886	0.7025902	0.1717383	0.2170224	0.0561928	0.1432005	0.1792569	0.4787842	0.5283255	0.0198358
500	0.0458047	0.7507307	0.2181931	0.2107488	0.0729168	0.0756915	0.1808205	0.6991263	0.5068338	0.0551636
550	0.0582586	0.7613661	0.3980301	0.2138744	0.4397541	0.1177627	0.1452294	0.7400833	0.4534910	0.0268046
600	0.0747882	0.7327430	0.2849507	0.2792287	0.5391732	0.1172383	0.2504788	0.5857198	0.6951999	0.0244952
650	0.1323889	0.7524870	0.4283975	0.3282518	0.4869231	0.0938017	0.2192319	0.6573460	0.6476399	0.0174317
700	0.1038785	0.7927149	0.4852014	0.5026756	0.3273502	0.0962685	0.2297230	0.6360161	0.7751415	0.0112277
750	0.1344576	0.6136124	0.5956379	0.4640490	0.3600210	0.1099124	0.2658976	0.6392714	0.6827158	0.0482672
800	0.1087124	0.7176265	0.3852107	0.3370963	0.3516491	0.1013188	0.2134500	0.5695092	0.5746384	0.0767014
850	0.0573911	0.5321751	0.4752633	0.3113447	0.3364928	0.0987993	0.3436089	0.5327431	0.5535543	0.0992653
900	0.0945406	0.4759421	0.4942845	0.3835244	0.2999453	0.1353602	0.2798057	0.5484503	0.5845468	0.0521607
950	0.0618086	0.5222319	0.5107631	0.3329533	0.3497499	0.1276906	0.1832210	0.5431346	0.5911464	0.0519061
1000	0.0894676	0.5516272	0.5345576	0.3421849	0.3386354	0.1328224	0.2503249	0.5917027	0.4663327	0.0366651

0	0.0788553	0.5552983	0.4463685	0.3315839	0.3747577	0.1044699	0.3187155	0.5422869	0.4234270	0.0408029
50	0.1376214	0.5519993	0.4712975	0.4753244	0.2531231	0.1941663	0.3118163	0.7847329	0.3730624	0.0399502
100	0.1058810	0.5393261	0.4065379	0.4132822	0.1244020	0.2114998	0.3155248	0.7138938	0.3764615	0.1887753
150	0.0875541	0.5614965	0.6379162	0.5332754	0.1170949	0.2187250	0.2599316	0.7288335	0.4054369	0.2061419
200	0.1277150	0.5930021	0.5536527	0.5098724	0.1763068	0.1147423	0.2298497	0.7514412	0.4042085	0.1513000
250	0.0942873	0.5042222	0.5272681	0.5771252	0.1497277	0.2551785	0.2083221	0.7828047	0.4746728	0.2033171
300	0.0948366	0.4631486	0.5293978	0.5445152	0.1102166	0.1551209	0.2048614	0.7277628	0.4096351	0.2291648
350	0.1020870	0.6092311	0.6883584	0.6753853	0.0447813	0.2075364	0.2674753	0.6351163	0.5010363	0.2951734
400	0.0995169	0.4712173	0.5300873	0.4898482	0.0694455	0.2528236	0.2273627	0.6907218	0.4467012	0.3349026
450	0.0604742	0.4503796	0.6171905	0.3063981	0.0611387	0.2417050	0.2705451	0.7200137	0.4952930	0.2880935
500	0.1281808	0.3717405	0.6036171	0.5229100	0.0470907	0.3148928	0.2984279	0.6894871	0.4125311	0.2576230
550	0.0799080	0.5046883	0.5924990	0.3854193	0.2168216	0.1674291	0.1995471	0.6714992	0.4019449	0.2381089
600	0.1093492	0.4764772	0.5138418	0.2637362	0.2836324	0.1184773	0.2560401	0.4653763	0.3299552	0.1146425
650	0.0931758	0.5477040	0.3959413	0.2828225	0.3864298	0.0466745	0.2985525	0.3684488	0.3629644	0.0920475
700	0.0938836	0.5393310	0.2570465	0.1553742	0.4175438	0.0701813	0.2650780	0.3396190	0.3011022	0.0349030
750	0.1570345	0.6091886	0.3352350	0.2769490	0.4649585	0.1454060	0.3270139	0.4486718	0.3818441	0.0682662
800	0.1221967	0.6568126	0.2642948	0.2753120	0.4498345	0.0986000	0.3340374	0.4134129	0.3933000	0.0436933
850	0.0810659	0.8136788	0.2815741	0.2988270	0.5981278	0.1440463	0.2266311	0.4223912	0.4772637	0.0272078
900	0.1033819	0.5829995	0.3573711	0.3723747	0.5332622	0.0915356	0.2752428	0.5150561	0.5560062	0.0376904
950	0.1029754	0.6967530	0.4987654	0.3434125	0.3831102	0.0634135	0.3739888	0.5463067	0.5074574	0.0670672
1000	0.1085079	0.6071115	0.4853401	0.4023498	0.3147605	0.1062491	0.2886841	0.5434265	0.5882448	0.0681506

0	0.0808955	0.5010721	0.3589923	0.3728864	0.4566163	0.0761189	0.2565822	0.5647321	0.5128073	0.0505357
50	0.1198582	0.3435894	0.3949812	0.3090064	0.4279709	0.1081170	0.5873985	0.4411210	0.3316646	0.0548840
100	0.1335984	0.3445478	0.3139211	0.2869933	0.2941194	0.2310397	0.7575562	0.5282621	0.3558778	0.0402998
150	0.1983094	0.2497817	0.3331889	0.3029843	0.3848977	0.4238044	0.5658518	0.2781497	0.2987124	0.2269550
