YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0748972	0.4420656	0.6795209	0.4811977	0.3884773	0.2510961	0.5530597	0.1041929	0.2403577	0.4324083
0.0727946	0.4998256	0.6596373	0.3568763	0.3040019	0.0725096	0.2680118	0.7182705	0.3958269	0.0028641
0.1157966	0.6409904	0.5644167	0.4491768	0.4409451	0.2017291	0.4082605	0.6846903	0.6266164	0.1967101
0.1233000	0.5895374	0.7517138	0.6946421	0.2287166	0.5163066	0.3430325	0.7817900	0.7416689	0.9292621
0.1043334	0.7447662	0.4155703	0.3322737	0.4414957	0.0296156	0.2926946	0.5619976	0.5259870	0.0000586
0.1209122	0.6046055	0.6726530	0.3520100	0.2397634	0.4436929	0.2511781	0.7918489	0.6480823	0.8771820
0.1123938	0.6685913	0.5127247	0.2857259	0.3774161	0.4041637	0.6719488	0.4645246	0.4630981	0.8289942
0.1163174	0.6382487	0.5691169	0.2868872	0.4462282	0.0692135	0.3700925	0.5155343	0.4351878	0.0023492
0.1228395	0.5929126	0.4803309	0.2383285	0.3887724	0.2179304	0.4538763	0.3437028	0.3926178	0.2555859
0.1159900	0.6397766	0.5657037	0.3650308	0.2640452	0.5285224	0.2679886	0.8723615	0.7061650	0.9349525
