YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.2980922	0.1929653	0.5143685	0.7436510	0.2614768	0.8652276	0.1446113	0.8825785	0.0011568	0.8418699
0.2091815	0.2904717	0.4262226	0.6807669	0.2225706	0.7510567	0.1787235	0.7817398	0.0003413	0.4619541
0.1769187	0.1960186	0.5889780	0.7314149	0.2285335	0.6347363	0.1825545	0.8498199	0.0809369	0.7992515
0.3386384	0.3067358	0.4045291	0.5155432	0.1947222	0.2819212	0.1251830	0.7408432	0.0830764	0.6977910
0.3869932	0.4161927	0.3705929	0.6760158	0.2043240	0.5764718	0.0693419	0.8969568	0.0365292	0.7339091
0.2727068	0.6555904	0.2945159	0.7300371	0.1913053	0.6445862	0.2404001	0.7115669	0.1017335	0.8526693
0.0803705	0.2516373	0.5350720	0.5748294	0.4475320	0.4968419	0.1258120	0.7995524	0.0688647	0.7183553
0.2262026	0.3977751	0.2004953	0.7251152	0.1908550	0.6850238	0.1538722	0.6580065	0.0727366	0.6792449
0.2973016	0.4423198	0.4869958	0.4628984	0.1798671	0.6051885	0.1970122	0.6179034	0.0015378	0.6314387
0.0869542	0.1346594	0.5895672	0.7611949	0.2058639	0.6258920	0.1655446	0.8405896	0.0000003	0.7738843
