YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0000000	0.0888130	0.0219384	0.0015852	0.7942868	0.4114769	0.9964296	0.3288147	0.5546375	1.0410462
0.9630191	0.0000000	0.3935301	0.6881095	0.6812018	0.4003798	1.1292528	0.2560380	0.0847471	0.9655533
0.9756435	0.0086245	0.0000000	0.5460135	0.7187125	0.3735239	0.9103040	0.3205764	0.1543223	0.9763208
0.9576390	0.0404430	0.0183510	0.0000000	0.8475599	0.4917458	1.1794806	0.2610198	0.1030520	0.9129962
0.0281419	0.9415433	0.5059527	0.7265097	0.0000000	0.4027585	0.9933253	0.4089819	0.6937815	1.0209307
0.0146494	0.9560478	0.4905931	0.7109628	0.0067692	0.0000000	0.9893468	0.4479733	0.7688085	1.0664970
0.0450961	0.9960099	0.3373641	0.5191358	0.9460614	1.1314514	0.0000000	0.6255180	0.9337052	0.9448664
0.0145713	0.9829325	0.3410853	0.3459651	0.6626027	0.4110862	0.9469476	0.0000000	0.5367761	1.0871057
0.0302233	0.9732092	0.4013677	0.5383151	0.6612805	0.3928322	0.8812533	0.2924087	0.0000000	0.9971555
0.0199902	0.9982018	0.2976412	0.3310030	0.6466099	0.4291237	0.9440576	0.2270554	0.5721201	0.0000000
