YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.8733562	0.5229651	0.1829083	0.8501160	0.9006884	0.7036974	0.8485805	0.6819618	0.5313709	0.9161745
0.8508611	0.7890337	0.4860645	0.5933351	0.8662760	0.5784239	1.0433179	1.0133993	1.0089382	0.9812203
0.8649742	0.5508312	0.2935868	1.0051566	0.6981590	0.5870216	0.9351006	1.0358654	1.0346714	0.8489647
0.8643951	0.5242875	0.1263624	0.9455057	0.9837191	0.6463248	1.0004656	0.3837775	0.9987648	1.0879898
0.8321494	0.5006700	0.3031820	0.6111859	1.0706624	0.6101225	0.7728996	0.9332651	1.0715210	0.7836640
0.8982985	0.5268709	0.2669857	1.1265151	0.9192316	0.8902613	1.0105149	0.9063609	1.0612582	0.6456967
0.8338431	0.4580515	0.3227346	0.9454776	0.9879841	0.5736721	1.0206942	0.9749124	0.9843427	0.5874784
0.9767000	0.5599424	0.3575439	0.8259459	0.8682506	0.5105270	0.9341802	1.0185063	0.8358346	0.6956810
0.9787089	0.7033323	0.2825057	1.0150258	0.9690207	0.5714163	1.1058088	0.9146823	0.7291653	1.0025104
0.8579874	0.5875307	0.2519218	1.0711925	0.9969663	0.4871998	0.8735745	1.0242916	0.9595498	1.0145220
