"Time"	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C

0	0.6392906	0.4917466	0.7589661	0.5834000	0.6978217	0.1574138	0.1035747	1.0000000	0.9503646	1.0000000
50	0.6394039	0.4917142	0.7590644	0.5833643	0.6985127	0.1388668	0.0428226	0.3166228	0.9505880	1.0000000
100	0.6394998	0.4917262	0.7591295	0.5828574	0.6998312	0.0994247	0.0342648	0.1887465	0.9506330	1.0000000
150	0.6395296	0.4917507	0.7591028	0.5818736	0.7011648	0.0802810	0.0525092	0.1648178	0.9504504	1.0000000
200	0.6395143	0.4917517	0.7589624	0.5808865	0.7013772	0.0843729	0.0686001	0.1603402	0.9500562	1.0000000
250	0.6395136	0.4917064	0.7587554	0.5805247	0.7006335	0.0979845	0.0769542	0.1595023	0.9496312	1.0000000
300	0.6395837	0.4916199	0.7585812	0.5808512	0.6997103	0.1103917	0.0806102	0.1593455	0.9493991	1.0000000
350	0.6397396	0.4915243	0.7585125	0.5814686	0.6991622	0.1184077	0.0820988	0.1593162	0.9494308	1.0000000
400	0.6399431	0.4914567	0.7585498	0.5819596	0.6990893	0.1227493	0.0826846	0.1593107	0.9496270	1.0000000
450	0.6401278	0.4914350	0.7586402	0.5821495	0.6992776	0.1248641	0.0829112	0.1593096	0.9498365	1.0000000
500	0.6402399	0.4914526	0.7587252	0.5821069	0.6994650	0.1258254	0.0829982	0.1593094	0.9499641	1.0000000
550	0.6402653	0.4914882	0.7587745	0.5820149	0.6991036	0.2062222	0.2279136	0.8426866	0.9500003	1.0000000
600	0.6402264	0.4915222	0.7588016	0.5826912	0.6948351	0.2758289	0.1605229	0.9705629	0.9500379	1.0000000
650	0.6401588	0.4915535	0.7589366	0.5858092	0.6887715	0.2580426	0.1268847	0.9944916	0.9504975	1.0000000
700	0.6400718	0.4916273	0.7593983	0.5896410	0.6889939	0.2187035	0.1127803	0.9989692	0.9517656	1.0000000
750	0.6398996	0.4918185	0.7601031	0.5901401	0.6948975	0.1890932	0.1071464	0.9998071	0.9531482	1.0000000
800	0.6395250	0.4921241	0.7605908	0.5869240	0.7003353	0.1723135	0.1049475	0.9999639	0.9535270	1.0000000
850	0.6389239	0.4924115	0.7605215	0.5830434	0.7018910	0.1640150	0.1040996	0.9999932	0.9526772	1.0000000
900	0.6382691	0.4925248	0.7600013	0.5810885	0.7003638	0.1602227	0.1037749	0.9999987	0.9513165	1.0000000
