YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.0000000	0.0415956	0.1159204	1.0553128	0.9909683	1.0519733	0.2518639	0.7842046	0.8964159	1.0639812
0.9839705	0.0000000	0.1036489	0.9713364	0.9563224	1.0881565	0.2511625	0.9341517	0.8948560	0.9812199
1.0054804	0.0620098	0.0000000	0.9726558	0.9587069	1.0182752	0.2490642	0.8172916	0.9022041	1.0899018
0.4110954	0.7630606	1.0977384	0.0000000	0.9478620	1.0225153	0.0392305	0.8941618	0.9348365	1.0221066
0.4763019	0.8571967	1.0582214	0.0477752	0.0000000	0.9720477	0.0294532	0.3833756	0.0914950	0.0502200
0.9833929	0.1752369	0.4072626	0.1869829	0.0228419	0.0000000	0.2928477	0.7428356	0.6213503	0.2876256
1.0590790	0.0751527	0.1131370	1.0597983	0.9352120	1.0554882	0.0000000	0.9304666	0.8820702	1.0706947
1.0581933	0.0391046	0.0868420	0.9344465	0.9383658	1.0246955	0.2118681	0.0000000	0.9017251	1.0604955
1.1423053	0.0464688	0.0999867	1.0022390	0.9526780	1.0730929	0.2263441	0.2959267	0.0000000	0.9665969
1.0248594	0.0460573	0.1119310	0.9780789	0.9784598	0.9093306	0.3204560	0.2388180	0.0136069	0.0000000
