YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.7619261	1.0000000	0.0077814	0.5802219	0.3780492	0.6770721	0.4328174	0.9051177	0.7165208	0.9973436
0.7498101	0.8249728	0.3563435	0.6165703	0.2983503	0.9900551	0.1707151	0.8829866	0.5378878	0.6087002
0.7619261	1.0000000	0.3861533	0.1834900	0.8735862	0.0949536	0.7337228	0.9724084	0.9982830	1.0000000
0.6942997	0.8752416	0.4122143	0.2979249	0.4890613	0.4129690	0.6026287	0.9372314	0.5922265	1.0000000
0.8660864	1.0000000	0.4234091	0.1404004	0.4323967	0.4743380	0.4231367	0.9475766	0.9279355	0.7667329
0.7619261	1.0000000	0.2583008	0.4660150	0.7019439	0.2137490	0.5976560	0.8112447	0.5398311	1.0000000
0.8675475	0.9877812	0.0098587	0.8043556	0.3013025	0.8201648	0.3312472	0.9176277	0.7600191	0.9756134
0.4207350	0.5729109	0.2873755	0.4433552	0.3412037	0.7972296	0.5258286	0.9364600	0.8501490	0.5957905
0.7770674	0.9280630	0.0540839	0.9735882	0.1893248	0.6474705	0.4420989	0.9336864	0.8345378	1.0000000
0.8311834	1.0000000	0.0767862	0.1406811	0.7295243	0.1925641	0.7329146	0.8675010	0.5665866	0.8245807
