YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0000000	0.5070513	0.7758634	0.6921871	0.6594509	0.1695136	0.1100983	1.0392950	0.7967613	1.0380604
0.9474193	0.0000000	0.7354093	0.6538782	0.5741954	0.1611368	0.1322308	1.0977084	0.8322374	1.1118093
1.0917047	0.0370961	0.0000000	0.6587220	0.6522004	0.1538309	0.1292858	1.0464973	0.9923290	0.9756698
0.9467500	0.0516049	0.0173412	0.0000000	0.4326549	0.2488934	0.1401777	1.0482898	0.0351286	1.0443274
0.3599623	0.5883838	0.8234601	1.0167461	0.0000000	0.1800263	0.1322265	1.0373543	0.9384933	1.1106503
0.8473252	0.5048730	0.7886203	0.5402002	0.8242551	0.0000000	0.1106516	1.0073921	0.9769126	0.9877620
0.8200422	0.4838322	0.7935466	0.5675347	0.7768650	0.0277016	0.0000000	1.0160204	0.9414455	1.0450284
0.7022568	0.3761408	0.7770801	0.7059303	0.5516555	0.8830975	0.9789023	0.0000000	0.9660175	1.1252032
0.6286460	0.4739331	0.8642378	0.5655563	0.9090497	0.1364271	0.1112502	0.9891711	0.0000000	1.0457136
0.5389204	0.4572750	0.7241834	0.5693389	0.7719426	0.2096420	0.1278241	0.9860896	0.9065275	0.0000000
