"Time"	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C

0	0.8961195	0.5974236	0.3762000	0.7493132	0.5008444	0.8987499	0.2629792	0.4823617	0.9254566	1.0000000
50	0.9613589	0.5984929	0.3579568	0.5134859	0.4452380	0.3693506	0.2631166	0.4823347	0.9254570	1.0000000
100	0.9764247	0.6074822	0.3073692	0.4484519	0.3059024	0.2365892	0.2633495	0.4823763	0.9254571	1.0000000
150	0.9803937	0.6241087	0.2680545	0.4531179	0.1992777	0.2032810	0.2634832	0.4824511	0.9254571	1.0000000
200	0.9821579	0.6380158	0.2540948	0.4728496	0.1470544	0.1949168	0.2635185	0.4825090	0.9254571	1.0000000
250	0.9833480	0.6444276	0.2534192	0.4876161	0.1261662	0.1928147	0.2635125	0.4825358	0.9254572	1.0000000
300	0.9841074	0.6456889	0.2561352	0.4956853	0.1186283	0.1922869	0.2635022	0.4825423	0.9254572	1.0000000
350	0.9844990	0.6450378	0.2585753	0.4995223	0.1160703	0.1921550	0.2634983	0.4825416	0.9254572	1.0000000
400	0.9846504	0.6441461	0.2600862	0.5012076	0.1152381	0.1921222	0.2634989	0.4825403	0.9254572	1.0000000
450	0.9846808	0.6435066	0.2608836	0.5019099	0.1149757	0.1921140	0.2635005	0.4825401	0.9254572	1.0000000
500	0.9846660	0.6431376	0.2612669	0.5021918	0.1148949	0.1921119	0.2635014	0.4825404	0.9254572	1.0000000
550	0.9325374	0.6412129	0.2861566	0.8009890	0.1881765	0.7213972	0.2634468	0.4825383	0.9254572	1.0000000
600	0.9197808	0.6298687	0.3289310	0.8721996	0.3400389	0.8541456	0.2633085	0.4825142	0.9254572	1.0000000
650	0.9141998	0.6155965	0.3579260	0.8467045	0.4346894	0.8874824	0.2632001	0.4824683	0.9254572	1.0000000
700	0.9090655	0.6051839	0.3733873	0.8059366	0.4764181	0.8958847	0.2631460	0.4824249	0.9254572	1.0000000
750	0.9042014	0.5994403	0.3788860	0.7775067	0.4924010	0.8980176	0.2631192	0.4823964	0.9254572	1.0000000
800	0.9003888	0.5971236	0.3793886	0.7620917	0.4980701	0.8985671	0.2630985	0.4823796	0.9254572	1.0000000
850	0.8979451	0.5966332	0.3784090	0.7547373	0.4999830	0.8987151	0.2630793	0.4823683	0.9254572	1.0000000
900	0.8966639	0.5968188	0.3774279	0.7514932	0.5006070	0.8987607	0.2630643	0.4823593	0.9254572	1.0000000
950	0.8961319	0.5971171	0.3767884	0.7501356	0.5008069	0.8987786	0.2630555	0.4823525	0.9254572	1.0000000
1000	0.8959842	0.5973441	0.3764404	0.7495879	0.5008710	0.8987871	0.2630521	0.4823480	0.9254572	1.0000000

0	0.8961195	0.5974236	0.3762000	0.7493132	0.5008444	0.8987499	0.2629792	0.4823617	0.9254566	1.0000000
50	0.8953628	0.5751645	0.3628938	0.5528026	0.4990080	0.8472642	0.6583732	0.5496853	0.9254570	1.0000000
100	0.8860425	0.5104699	0.3322176	0.4848803	0.4796368	0.7281403	0.7740597	0.6128954	0.9254571	1.0000000
150	0.8593075	0.4579017	0.3053617	0.4671417	0.4407415	0.6434694	0.8050483	0.6432929	0.9254571	1.0000000
200	0.8206865	0.4345757	0.2872842	0.4707079	0.4012058	0.6022524	0.8124481	0.6547610	0.9254571	1.0000000
250	0.7848604	0.4274721	0.2777233	0.4811759	0.3732950	0.5854787	0.8138749	0.6586420	0.9254572	1.0000000
300	0.7606230	0.4260221	0.2742209	0.4911555	0.3575886	0.5794044	0.8139846	0.6598474	0.9254572	1.0000000
350	0.7474398	0.4258117	0.2738295	0.4981593	0.3500085	0.5774107	0.8138869	0.6601859	0.9254572	1.0000000
400	0.7411565	0.4256391	0.2745101	0.5022999	0.3467385	0.5768230	0.8138022	0.6602665	0.9254572	1.0000000
450	0.7382780	0.4253900	0.2752901	0.5044794	0.3454487	0.5766758	0.8137532	0.6602789	0.9254572	1.0000000
500	0.7368752	0.4251509	0.2758624	0.5055319	0.3449789	0.5766511	0.8137283	0.6602769	0.9254572	1.0000000
550	0.7371208	0.4356753	0.2944346	0.7246271	0.3473025	0.6285285	0.3612818	0.6162937	0.9254572	1.0000000
600	0.7482595	0.4730563	0.3275232	0.7988702	0.3727041	0.7596961	0.2353644	0.5511170	0.9254572	1.0000000
650	0.7801446	0.5338041	0.3506697	0.8123347	0.4202107	0.8574274	0.2203104	0.4974368	0.9254572	1.0000000
700	0.8246396	0.5843845	0.3651622	0.7988318	0.4627001	0.8991283	0.2392246	0.4751739	0.9254572	1.0000000
750	0.8618850	0.6055601	0.3736283	0.7792199	0.4879803	0.9077185	0.2574612	0.4736226	0.9254572	1.0000000
800	0.8838579	0.6068304	0.3774265	0.7638912	0.4988210	0.9044082	0.2652022	0.4781918	0.9254572	1.0000000
850	0.8936248	0.6019637	0.3782132	0.7550201	0.5017150	0.9002844	0.2658316	0.4816690	0.9254572	1.0000000
900	0.8965530	0.5981589	0.3776889	0.7510155	0.5016446	0.8983998	0.2643691	0.4828916	0.9254572	1.0000000
950	0.8967047	0.5967788	0.3769626	0.7496457	0.5011025	0.8981672	0.2632507	0.4828682	0.9254572	1.0000000
1000	0.8962667	0.5968244	0.3764686	0.7493326	0.5008263	0.8984732	0.2628635	0.4825582	0.9254572	1.0000000

0	0.8961195	0.5974236	0.3762000	0.7493132	0.5008444	0.8987499	0.2629792	0.4823617	0.9254566	1.0000000
50	0.8841481	0.5646727	0.6573679	0.3037719	0.4876626	0.7631473	0.2630012	0.4823294	0.9254570	1.0000000
100	0.8709265	0.5241328	0.6874244	0.1469725	0.4580848	0.7291462	0.2629756	0.4823223	0.9254571	1.0000000
150	0.8526443	0.5133157	0.6598339	0.0924748	0.4365761	0.7206311	0.2628894	0.4823093	0.9254571	1.0000000
200	0.8385646	0.5159010	0.6352997	0.0738469	0.4258917	0.7185246	0.2627571	0.4822766	0.9254571	1.0000000
250	0.8322418	0.5205419	0.6218100	0.0675769	0.4214981	0.7180383	0.2626313	0.4822272	0.9254572	1.0000000
300	0.8312337	0.5238041	0.6155975	0.0654906	0.4198895	0.7179567	0.2625576	0.4821774	0.9254572	1.0000000
350	0.8323238	0.5255602	0.6129952	0.0648009	0.4193511	0.7179619	0.2625398	0.4821431	0.9254572	1.0000000
400	0.8336957	0.5263815	0.6119695	0.0645732	0.4191862	0.7179722	0.2625535	0.4821288	0.9254572	1.0000000
450	0.8347289	0.5267290	0.6115823	0.0644976	0.4191399	0.7179729	0.2625739	0.4821287	0.9254572	1.0000000
500	0.8353651	0.5268622	0.6114407	0.0644723	0.4191268	0.7179675	0.2625887	0.4821345	0.9254572	1.0000000
550	0.8481501	0.5594286	0.3128190	0.5383063	0.4341747	0.8536499	0.2626208	0.4821415	0.9254572	1.0000000
600	0.8649372	0.6059452	0.3130079	0.6974207	0.4649550	0.8876568	0.2627030	0.4821570	0.9254572	1.0000000
650	0.8842165	0.6153608	0.3436722	0.7428931	0.4854437	0.8961495	0.2628340	0.4821896	0.9254572	1.0000000
