"Time"	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W

0	0.3015845	0.4509210	0.5996681	0.4983217	0.7021244	0.3900487	0.7783836	0.4933694	0.3624891	0.7908855
50	0.3555297	0.4588427	0.7686663	0.5893082	0.4831782	0.4719640	0.7176438	0.6041142	0.3670932	0.5323183
100	0.3582475	0.4742712	0.5739360	0.6514834	0.4741809	0.4058376	0.7566803	0.5216802	0.3610448	0.4501222
150	0.3341549	0.4552661	0.6137083	0.5354930	0.4151313	0.4037826	0.6625221	0.5820055	0.3635502	0.6022036
200	0.3251817	0.4627678	0.7474427	0.6058340	0.3650265	0.3945647	0.7788723	0.5491631	0.3307976	0.4729674
250	0.3415584	0.4651276	0.6295634	0.5899673	0.4478044	0.4395393	0.8462863	0.4571993	0.3048345	0.4964774
300	0.4100408	0.4366113	0.5985604	0.6125716	0.4118331	0.3986435	0.7365547	0.5309509	0.3301843	0.4184241
350	0.2908699	0.3642281	0.7125164	0.5392652	0.3760843	0.4068191	0.7626440	0.4334829	0.3470026	0.5354707
400	0.3747233	0.5006047	0.6981399	0.6165347	0.4722098	0.4779839	0.7885716	0.6123532	0.4117505	0.4711214
450	0.3786949	0.5112236	0.7277350	0.6293578	0.3663194	0.3960495	0.6722910	0.5848798	0.2956896	0.4426960
500	0.4262090	0.4923909	0.7404528	0.5337867	0.3511384	0.3846108	0.6519580	0.5102452	0.3741235	0.5469593
550	0.4126103	0.3661232	0.6612040	0.5484128	0.4530661	0.5174884	0.6055686	0.5121307	0.2801469	0.4534256
600	0.3366828	0.4599175	0.5381200	0.5299348	0.6786422	0.4617001	0.7324857	0.5330416	0.3430358	0.4814149
650	0.3258525	0.4548747	0.7087529	0.6672195	0.5845515	0.3728572	0.7020338	0.4156232	0.3572987	0.4479063
700	0.2981147	0.3744221	0.6175225	0.6594286	0.7485130	0.5043343	0.5992650	0.4519386	0.3715565	0.5840715
750	0.3565607	0.4512611	0.6613181	0.5586021	0.6307883	0.5101270	0.8607510	0.3791312	0.3120260	0.6510612
800	0.2130543	0.4565175	0.7498168	0.5687510	0.5983948	0.4236699	0.7369231	0.4759809	0.3995237	0.6941548
850	0.3042514	0.5332760	0.6946407	0.6450450	0.6037973	0.4661836	0.7876431	0.4875096	0.3397498	0.5943078
900	0.3691746	0.4432471	0.7035674	0.6419443	0.6768961	0.4030898	0.8812157	0.4739489	0.2751328	0.5469630
950	0.2730467	0.4733700	0.5688587	0.6004238	0.6192109	0.4878590	0.7037221	0.4784279	0.3233116	0.6365386
1000	0.2879115	0.4324842	0.6796600	0.6235652	0.6208002	0.4693965	0.7937340	0.5677401	0.3575694	0.6725369

0	0.3350379	0.4631860	0.6980448	0.6412273	0.6014950	0.4131078	0.8000611	0.4285405	0.4223595	0.7260634
50	0.3192022	0.3970734	0.5998442	0.5977654	0.6829381	0.5098123	0.7287202	0.5831611	0.3381875	0.5113609
100	0.3087900	0.4327601	0.5170017	0.5815002	0.5993582	0.5576553	0.7229712	0.5120266	0.3275198	0.6680399
150	0.2977496	0.3677938	0.6554255	0.5899038	0.6488415	0.5452444	0.6640895	0.5511052	0.4022116	0.5857790
200	0.2529238	0.3909099	0.6384500	0.5257856	0.5875449	0.4175498	0.6299971	0.4948761	0.2777148	0.5245641
250	0.2894319	0.4351010	0.6137050	0.5610486	0.7022884	0.6086603	0.6836242	0.4237112	0.3784773	0.4959812
300	0.2749219	0.4802045	0.6332350	0.5012653	0.7194554	0.4945350	0.5376637	0.5709427	0.3244482	0.5514658
350	0.2626856	0.4459516	0.6413612	0.4020507	0.7596442	0.4474678	0.6385210	0.4977857	0.3567170	0.5079955
400	0.3024116	0.4940311	0.5904181	0.6072408	0.7178247	0.4875904	0.7724828	0.5246927	0.3886583	0.6071530
450	0.3002954	0.4547157	0.6648612	0.4282208	0.5970958	0.5798376	0.7157183	0.5150984	0.2957886	0.4899525
500	0.3909329	0.4901577	0.5829948	0.6116679	0.6084757	0.4450820	0.7912937	0.5448348	0.4310477	0.5863406
550	0.3433759	0.4434236	0.6435310	0.4486721	0.6255192	0.4378128	0.7581399	0.4204403	0.3496575	0.6021114
600	0.2925028	0.4106025	0.6478958	0.5612515	0.5800146	0.4207375	0.9177864	0.4130763	0.3087717	0.4503151
650	0.3002819	0.4711883	0.5929307	0.7367721	0.6372784	0.4380481	0.5937986	0.5900873	0.4083676	0.5518758
700	0.2737191	0.4063347	0.6319888	0.6411369	0.6657518	0.4934879	0.6464321	0.3922879	0.3472506	0.6989526
750	0.2481169	0.3797965	0.5978725	0.5596746	0.6340981	0.3645520	0.7270077	0.3918032	0.3122954	0.6671810
800	0.3422661	0.3375826	0.7919832	0.6978732	0.6284235	0.4290406	0.7852283	0.4148245	0.3797367	0.5449662
850	0.2610192	0.4505860	0.6494980	0.5216551	0.6960846	0.4167678	0.6997210	0.5827816	0.3041439	0.5450733
900	0.3100392	0.5055782	0.7600124	0.6415547	0.5838303	0.4259470	0.9044872	0.3812868	0.4191468	0.5956013
950	0.2626042	0.3569950	0.7087356	0.5122998	0.6224307	0.4043071	0.8951186	0.5735755	0.2316440	0.5550012
1000	0.3290263	0.4518235	0.6260281	0.5664977	0.6354108	0.4208340	0.7527508	0.4838802	0.3305327	0.7590581

0	0.3621031	0.3941584	0.7818079	0.6916191	0.8045353	0.3684256	0.8506796	0.5085140	0.3351883	0.6288924
50	0.4220871	0.3863433	0.5658688	0.4947668	0.2051195	0.1446050	0.6279385	0.6035460	0.5261156	0.2635654
100	0.3714817	0.4230821	0.6308957	0.5836734	0.0903988	0.1103629	0.7356448	0.6609592	0.5369419	0.1832840
150	0.3966641	0.4213476	0.7637999	0.6415237	0.0526438	0.0537196	0.7112959	0.7097194	0.4678969	0.1846139
200	0.2974472	0.4192025	0.6018360	0.6534042	0.0237736	0.0868257	0.7907815	0.7521616	0.4931593	0.1577962
