YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.5024162	0.3555858	0.0396209	0.3517224	0.3309470	0.2799966	0.8106517	0.0278529	0.7977169	0.0935483
0.2838730	0.5173790	0.4993727	0.0182926	0.0862954	0.3677592	0.7357637	0.4657775	0.6002854	0.2416644
0.2936694	0.5706988	0.4768249	0.0778082	0.0916597	0.3563606	0.8106012	0.4132284	0.5157292	0.3979210
0.4568005	0.1850395	0.7488218	0.0679805	0.1756964	0.4584973	0.4631174	0.2150694	0.6987680	0.3185175
0.4368331	0.3039609	0.7325195	0.0324474	0.0893266	0.4486356	0.4203188	0.4211005	0.3017017	0.2768163
0.2399809	0.6562958	0.0472103	0.3501355	0.2902319	0.3301823	0.9122817	0.0440056	0.5986175	0.0763566
0.0533926	0.7649309	0.0179177	0.6597588	0.5271181	0.4076608	0.3395989	0.0523889	0.5694572	0.2616304
0.1305887	0.8156080	0.0906848	0.3133481	0.2158060	0.3211467	0.8465104	0.1242862	0.6670215	0.2807735
0.2444723	0.5844799	0.0566517	0.3014390	0.1961546	0.5098213	0.5294608	0.2102184	0.7416310	0.3214696
0.0795350	0.6956608	0.1025682	0.4069980	0.2342293	0.2138668	0.8258798	0.0672571	0.7461084	0.3564793
