YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.0000000	0.0477568	0.6711469	1.0062254	1.0220031	0.9719693	0.9423721	1.0356170	0.9703348	0.9688117
1.0416704	0.0017928	0.5824666	1.0594068	0.9994930	0.9015785	1.0334834	0.9511629	1.0827217	1.0969239
0.9537421	0.0506846	0.0000000	1.0411768	1.0910435	0.9353351	1.0522441	1.0580207	0.9537174	1.0081032
0.9669659	0.0374923	0.0068380	0.0000000	0.9378740	1.0030520	1.0771853	1.0196513	0.9886756	0.9527029
0.6492655	0.5619824	0.5256423	1.0678702	0.0000000	1.0928057	0.9549500	0.9950485	1.0188642	1.1130302
0.5538797	0.7270637	0.5675803	0.9168197	0.9150195	0.0000000	1.1227310	1.0992567	1.0294107	1.0466095
0.5616027	0.6659167	0.6052350	1.0238680	1.0784691	0.0003992	0.0000000	1.0159772	0.9982852	1.0298600
0.4645357	0.7225917	0.5597907	1.0476523	0.8715440	0.9771174	0.9735693	0.0000000	1.0714703	0.9309199
0.4924880	0.6536220	0.6182407	1.0039620	1.0426470	1.1446823	0.8583541	1.1352833	0.0000000	1.0218184
0.7493875	0.6238703	0.5479607	1.1299446	0.9949945	1.0531709	1.1254674	1.0330612	1.0425431	0.0000000
