YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.5659335	0.0161464	0.1602386	0.4429106	0.1270930	0.7567003	0.5914002	0.4994580	0.8262333	0.7064002
0.7623953	0.6982057	0.7967503	0.0859728	0.2187898	0.5400318	0.7498539	0.5058279	0.7803969	0.7833741
0.4713357	0.0148321	0.1687565	0.5367688	0.2278574	0.3807727	0.6676942	0.5734010	0.6367018	0.7470496
0.5999000	0.0244874	0.2210985	0.5297264	0.0949949	0.7629751	0.8185951	0.5065186	0.7758250	0.8275167
0.7646180	0.3588752	0.2075364	0.4789541	0.1267815	0.7659774	0.6841458	0.5055006	0.6479332	0.7056667
0.6056746	0.0009985	0.1205548	0.8770976	0.1520080	0.7154954	0.6187301	0.6043357	0.8652676	0.7938589
0.7681679	0.0249806	0.2434662	0.5836924	0.0940922	0.8193354	0.7605401	0.6485518	0.7709811	0.8140227
0.8243626	0.2559725	0.0899205	0.7213113	0.2857148	0.3935444	0.8495182	0.6192248	0.7361799	0.5644227
0.6647733	0.5258241	0.3202406	0.3020389	0.1465706	0.6018667	0.7069080	0.3505062	0.7864407	0.5212137
0.3414266	0.5612931	0.4072006	0.2026363	0.1420674	0.8968139	0.6166979	0.0981245	0.3296241	0.5869794
