YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0686165	0.7051594	0.0026553	0.6247288	0.4590118	0.6129201	0.5442380	0.5673728	0.5172697	0.3999024
0.0286119	0.5055625	0.0182671	0.6145975	0.4183839	0.5740609	0.4990133	0.6648484	0.3762101	0.7530131
0.1515879	0.5315396	0.0000314	0.6187775	0.4866272	0.5697208	0.6072491	0.6995227	0.5965547	0.7454119
0.0012926	0.6608364	0.0272542	0.7343247	0.6308083	0.5364500	0.5207099	0.7242112	0.7307953	0.6309725
0.0698174	0.7796966	0.0250441	0.7694981	0.7641685	0.5919434	0.6125234	0.6944302	0.3982069	0.6398614
0.0318461	0.7026348	0.0002198	0.6513898	0.6048599	0.5670668	0.5948887	0.6649743	0.4453829	0.7623634
0.0076436	0.3933461	0.0000728	0.7770370	0.5530238	0.6740122	0.5907097	0.6568580	0.7318520	0.7382887
0.0435337	0.7475014	0.0009074	0.7274797	0.7120340	0.5107333	0.3058656	0.4489467	0.5372768	0.7964524
0.0019706	0.6426707	0.0222094	0.6459468	0.3972306	0.5872649	0.6060574	0.7621720	0.5248245	0.4788204
0.0920435	0.7271678	0.0010396	0.7872658	0.6556996	0.4573491	0.4837383	0.6703970	0.5775573	0.6935763
