"Time"	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C

0	0.6220673	0.7095231	0.1006803	0.0837497	0.0912813	0.1774156	0.6458908	0.6370480	0.1710710	0.6921607
50	0.7803587	0.7703357	0.1104372	0.0983991	0.2145477	0.0724377	0.7479287	0.7245662	0.1252966	0.8156415
100	0.7251684	0.5215750	0.2226093	0.1521033	0.3366149	0.0481711	0.8631716	0.8717227	0.1286197	0.8520601
150	0.6264839	0.3726486	0.4285706	0.1392574	0.4084911	0.0401507	0.7848382	0.8928081	0.1313111	0.8295819
200	0.5574469	0.3388667	0.3482515	0.2767262	0.4896883	0.0395848	0.8374248	0.8093636	0.1284615	0.7811644
250	0.5178128	0.2613094	0.4739640	0.3629561	0.4251323	0.0479270	0.8910507	0.8584413	0.1507300	0.7410925
300	0.4639502	0.1697228	0.4863267	0.3306290	0.6271691	0.0074018	0.8990588	0.7805720	0.2379074	0.6999206
350	0.3359178	0.2800999	0.3814518	0.3845756	0.4068460	0.0326204	0.8300969	0.7352585	0.1097571	0.5781725
400	0.3712487	0.2753592	0.3701612	0.3715400	0.4662801	0.0390055	0.8494836	0.6582467	0.1240714	0.5709579
450	0.4773859	0.3265648	0.3297972	0.3855662	0.5754618	0.0482710	0.6909133	0.7224526	0.1737964	0.6265945
500	0.5187672	0.2543377	0.4100917	0.3933763	0.5543096	0.0222462	0.7062406	0.6162148	0.1708593	0.6810233
550	0.6179681	0.3009859	0.4329203	0.3362837	0.4141406	0.1035295	0.8210873	0.9153559	0.1530729	0.6329661
600	0.4779949	0.2641650	0.3779689	0.2881992	0.2270197	0.2342470	0.6303394	0.7910495	0.2148677	0.5530079
650	0.5467869	0.2771762	0.1499785	0.2031182	0.1739234	0.2133873	0.7333505	0.6844856	0.2054151	0.6976978
700	0.6657407	0.3662976	0.0897041	0.1644504	0.1287495	0.2018653	0.8797410	0.7454453	0.2006205	0.7467322
750	0.6116175	0.5955601	0.0980367	0.1581908	0.1083127	0.2712536	0.8751211	0.5479152	0.2536612	0.6040402
800	0.6952201	0.6527045	0.1270400	0.1002684	0.1317961	0.1772184	0.9019190	0.6757103	0.2095891	0.6294241
850	0.7775822	0.6517109	0.0903951	0.0490223	0.1137397	0.2099129	0.8104218	0.6001462	0.1623908	0.6558092
900	0.6760920	0.6660516	0.1225039	0.0292621	0.1104838	0.1242390	0.7988485	0.6226396	0.2414306	0.7839955
950	0.6001638	0.7156623	0.1046608	0.0560410	0.1317026	0.1514240	0.7759769	0.7000447	0.2453571	0.7813177
1000	0.8326719	0.6333688	0.0933712	0.0664558	0.1001807	0.2716086	0.6376699	0.8690581	0.1674653	0.7072882

0	0.7958239	0.6703598	0.0794873	0.0912553	0.0933005	0.1627134	0.8358962	0.6948708	0.2039302	0.7144979
50	0.7518590	0.7509645	0.1215027	0.0493570	0.0677084	0.0686639	0.8825235	0.7071970	0.1664533	0.5095213
100	0.6854383	0.5521762	0.0222170	0.0692457	0.0859697	0.0285514	0.8248390	0.7088069	0.1865547	0.2707465
150	0.6728993	0.9104129	0.0532187	0.0888177	0.0680176	0.0119062	0.7959048	0.6281284	0.4291159	0.0797896
200	0.7884907	0.9545458	0.0206491	0.0561019	0.0714983	0.0146163	0.6934334	0.5794159	0.5126991	0.0589881
250	0.7758225	0.9368087	0.0140900	0.0535355	0.0958504	0.0091813	0.8125940	0.6737707	0.5966062	0.0659953
300	0.8873692	0.7542578	0.0232755	0.0667283	0.0332587	0.0087620	0.8194463	0.5078384	0.6144019	0.0327448
350	0.7850205	0.8742015	0.0327646	0.0592791	0.0827569	0.0235632	0.8020713	0.5054877	0.6910908	0.0283166
400	0.8290435	0.7289982	0.0199494	0.0672898	0.0638077	0.0125322	0.6965289	0.4678657	0.8085400	0.0571987
450	0.7438523	0.7645598	0.0358459	0.0408015	0.0468953	0.0300363	0.6629733	0.3321831	0.7206816	0.0757040
500	0.8405864	0.7615443	0.0191521	0.0732644	0.0457901	0.0065514	0.7612499	0.3501811	0.6433803	0.0316221
550	0.7396391	0.6978829	0.0343529	0.0450704	0.0375794	0.1150245	0.9062082	0.3271720	0.5025626	0.3544957
600	0.6439046	0.8480267	0.0225426	0.0535761	0.0770311	0.2621754	0.8289442	0.4463415	0.3480771	0.4605581
650	0.6962220	0.6650618	0.0127223	0.0590323	0.0556911	0.1714054	0.7161706	0.5538320	0.3465677	0.6458852
700	0.8269695	0.6751524	0.0389495	0.0717510	0.0848883	0.2172244	0.6592156	0.7134637	0.2413473	0.8324351
750	0.9160420	0.6573758	0.0761775	0.1268924	0.1425973	0.2686912	0.6972978	0.6355574	0.1911001	0.7599138
800	0.6392621	0.5772070	0.0967835	0.0744786	0.1275306	0.2320201	0.7539568	0.8809483	0.1540149	0.6702017
850	0.7860435	0.5497346	0.1137445	0.0861020	0.1642546	0.2197953	0.8593088	0.8066134	0.1983503	0.7331971
900	1.0108476	0.6148171	0.0915849	0.0747368	0.0841288	0.2067420	0.9444228	0.6888029	0.1985616	0.7297106
950	0.7421489	0.6774989	0.0951724	0.0912581	0.1456847	0.1916356	0.7316292	0.7139088	0.2401659	0.7430660
1000	0.6960989	0.7071043	0.1247879	0.0652209	0.1059654	0.1598092	0.7866096	0.7280391	0.1647980	0.8136555

0	0.7145221	0.6441925	0.0594846	0.0479648	0.1003798	0.1693706	0.7497199	0.6189686	0.1618350	0.7635521
50	0.7836197	0.7528989	0.1514231	0.0444208	0.1129011	0.1869338	0.8960218	0.6443979	0.1370958	0.8050365
100	0.6894447	0.6068137	0.1320286	0.0716189	0.0661009	0.2297196	0.7674439	0.7256604	0.1913117	0.7121675
150	0.7303468	0.5300064	0.1747988	0.0657720	0.1450589	0.1588130	0.7673149	0.7940339	0.1770959	0.8015576
200	0.7403430	0.4726244	0.1857435	0.0467841	0.1952566	0.2874455	0.8198602	0.7516936	0.1083515	0.7667667
250	0.6423269	0.4704869	0.1323747	0.0600582	0.0663579	0.2248886	0.6417157	0.6634534	0.2311302	0.6041013
300	0.8265253	0.4456329	0.1771288	0.0581963	0.1107217	0.1525333	0.7124641	0.6717202	0.1884061	0.8404722
350	0.6069066	0.4416108	0.3131895	0.0626918	0.0987963	0.2603421	0.8878505	0.6844921	0.1250581	0.7619750
400	0.8760283	0.5029817	0.2800572	0.0882269	0.0751007	0.1809349	0.6887942	0.6244615	0.2540407	0.8022441
450	0.7642404	0.4665784	0.1637270	0.0832154	0.1241080	0.1999833	0.5918576	0.5910855	0.1895625	0.6577543
500	0.6913701	0.5084012	0.2348738	0.0428156	0.1179681	0.1832062	0.7642293	0.6603826	0.2072643	0.8493981
550	0.7812850	0.3981847	0.1569043	0.0514072	0.1690141	0.2733882	0.7253777	0.6483928	0.1983364	0.7142775
600	0.9693037	0.5432603	0.0731318	0.0720321	0.1459314	0.2103712	0.6900232	0.7097444	0.1909747	0.7482249
650	0.6783139	0.5571428	0.0980305	0.0694784	0.1016781	0.1968522	0.7290590	0.7301352	0.1904193	0.7328256
700	0.6183821	0.5376768	0.0616686	0.0988260	0.1203824	0.1704943	0.6945984	0.6295222	0.1923327	0.8230910
750	0.6560907	0.6006710	0.1479184	0.0566789	0.1059224	0.1876799	0.9207539	0.6682591	0.1522391	0.8463742
800	0.7210710	0.5184077	0.1452764	0.1391470	0.0977241	0.3391118	0.7771505	0.5559978	0.2606321	0.8022604
850	0.7520225	0.6225208	0.1286365	0.0659750	0.1031373	0.1919714	0.8684249	0.7535654	0.1896088	0.8707559
900	0.8754401	0.6044453	0.1430367	0.0696259	0.1434002	0.2612497	0.7870995	0.6202192	0.2592662	0.6904273
950	0.8229454	0.7375652	0.1232544	0.1255173	0.0993280	0.2350728	0.7995733	0.7169049	0.1900808	0.6745316
1000	0.6814667	0.5180792	0.1377047	0.0800731	0.1657206	0.1383932	0.8555583	0.6478859	0.1592756	0.8538381

0	0.7895876	0.5939309	0.0738498	0.0808608	0.0804222	0.1279505	0.7937500	0.5569309	0.2058131	0.6878782
50	0.7888440	0.6818855	0.1366901	0.0857996	0.2432680	0.1393201	1.0087025	0.7428468	0.1866991	0.7122258
100	0.8790566	0.6517025	0.2983735	0.1270526	0.3171904	0.0399145	0.6813537	0.7022251	0.0538215	0.7567822
150	0.6019180	0.4325977	0.4183265	0.1658610	0.3889910	0.0325573	0.7823113	0.7871656	0.0282857	0.8506863
200	0.6947347	0.2753952	0.3932309	0.1495964	0.4121456	0.0518615	0.5707032	0.6962367	0.0118416	0.6832899
250	0.6314293	0.2924332	0.4625708	0.1457491	0.3937620	0.0904198	0.6993514	0.6822547	0.0010225	0.6016403
300	0.5268265	0.2711988	0.2929142	0.2344730	0.3596791	0.0339907	0.7467490	0.7730335	0.0010053	0.6211850
350	0.5138068	0.3018717	0.4266688	0.2728161	0.4287300	0.0201735	0.9094613	0.7934325	0.0005537	0.7245854
400	0.3609607	0.3154004	0.2453250	0.2790215	0.4896964	0.0348683	0.6623256	0.8224846	0.0005867	0.5855888
450	0.5279563	0.3219833	0.2905849	0.2600296	0.3566568	0.0387479	0.8182462	0.8863183	0.0004512	0.6516277
500	0.4606572	0.3356012	0.3063379	0.2893304	0.3768159	0.0563442	0.8116598	0.9300173	0.0000000	0.5811381
550	0.5673658	0.3047460	0.3409355	0.2585773	0.3131251	0.1189885	0.7093301	0.6491834	0.0826910	0.6874778
600	0.4337682	0.2983799	0.2869286	0.2313093	0.2836858	0.1520965	0.8635877	0.6892873	0.0929558	0.8104561
650	0.5948715	0.3163114	0.2695434	0.1929439	0.1332834	0.1875322	0.8541207	0.6896782	0.1213715	0.6461768
700	0.5964247	0.5120561	0.1091924	0.0882305	0.1663290	0.1497196	0.7650709	0.7837003	0.1453989	0.8508231
750	0.6844455	0.4317609	0.1200824	0.1050350	0.1232102	0.1631739	0.8873199	0.7111066	0.2426396	0.8684798
800	0.7783106	0.5725337	0.1171176	0.0661502	0.0872114	0.3251093	0.7206303	0.6830218	0.1937065	0.7672149
850	0.6775674	0.6887925	0.1195457	0.0481387	0.1205015	0.2131994	0.6920865	0.6940517	0.2048040	0.8644386
900	0.7126646	0.5419053	0.0807001	0.0636810	0.1071740	0.1794883	0.5964297	0.6964540	0.2045348	0.6419221
950	0.8038697	0.6200242	0.1836358	0.0584828	0.1242857	0.2421431	0.7831212	0.8185898	0.1441069	0.7228650
1000	0.7635973	0.5922980	0.1623697	0.0703129	0.0914539	0.1962606	0.6475610	0.6439470	0.2244667	0.7017889

0	0.8019857	0.6741746	0.0781494	0.0536893	0.1282351	0.1918807	0.6880828	0.5769882	0.1720527	0.7254821
50	0.8239965	0.5959041	0.1270989	0.0774194	0.0822502	0.2288716	0.8675885	0.6356713	0.1570582	0.5764078
100	0.7842144	0.4190674	0.0725639	0.0757007	0.0555074	0.1941284	0.8387084	0.6554664	0.2179911	0.4167375
150	0.7614158	0.4830328	0.0363843	0.0789579	0.0313844	0.1954287	0.8109949	0.5958833	0.2258533	0.3323200
200	0.7205685	0.4412507	0.0201489	0.0551497	0.0388263	0.2025033	0.6158587	0.6193185	0.2757474	0.3405249
