YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0000000	0.8745463	0.8158149	1.0540828	0.0366071	0.2932455	1.0434709	0.1497559	1.0344711	0.8091873
0.0211436	0.0000000	0.8870447	1.1121168	0.0192974	0.2454457	0.8641190	0.1374278	1.0185534	0.7725526
0.0299953	0.0551520	0.0000000	0.8338820	0.0192166	0.2859139	0.9568554	0.7189880	1.0372434	1.0085621
0.0728917	0.0488334	0.0174392	0.0000000	0.0040761	0.2806402	0.9236969	0.6693773	0.9657799	1.0103545
0.9792827	0.9602129	0.8605313	0.9748712	0.0000000	0.2990196	1.1174572	0.1189709	1.0408391	0.7813805
0.9666868	0.9102093	0.8139647	0.9703203	0.0061817	0.0000000	1.0195612	0.1380264	1.0543471	0.8003488
0.2249890	0.1672311	0.3107881	0.3805173	0.9516289	1.0052413	0.0000000	0.1429177	1.0283445	0.9317544
1.0183556	0.9901127	0.8266628	0.9651035	0.0163235	0.2581777	1.0496366	0.0000000	0.9115252	0.2477795
1.0205112	0.8991479	0.7822815	1.0240709	0.0127116	0.2385234	1.1094128	0.1132049	0.0000000	0.9120538
0.9787801	0.9929148	0.7970548	0.9048603	0.0239564	0.3159750	0.9133640	0.3875455	0.0121486	0.0000000
