YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.5269195	0.3364336	0.8071106	0.3722806	0.1097049	0.2294078	0.3712355	0.8271384	0.1038574	0.0731726
0.5390314	0.4066454	0.8817700	0.3568893	0.1416403	0.1847349	0.4846327	0.6559315	0.0549125	0.0407506
0.5410164	0.3082183	0.7426927	0.4602383	0.2765838	0.2830281	0.3768325	0.5791557	0.2618762	0.0174189
0.4529080	0.2659434	0.7703895	0.4171620	0.2145821	0.2110654	0.5138662	0.7114250	0.1853832	0.0014350
0.6110532	0.2843791	0.6946739	0.2420237	0.0449849	0.2466119	0.5309123	0.6866712	0.2829410	0.0528413
0.4050095	0.2920723	0.6174382	0.4268078	0.1319378	0.2401391	0.5546999	0.7213913	0.0007424	0.0238543
0.4671058	0.2916242	0.7274003	0.2644609	0.0890711	0.3003530	0.4455650	0.4706543	0.1076718	0.0633862
0.4889321	0.2867357	0.7731310	0.0672243	0.4438931	0.2244562	0.4281938	0.6619478	0.0022681	0.0688368
0.6203691	0.1994247	0.6274459	0.4116901	0.2578745	0.3087903	0.6267193	0.8363689	0.0002640	0.0657073
0.5082183	0.2329612	0.4656776	0.3600208	0.0512921	0.3682407	0.5365236	0.7167969	0.0984352	0.0968700
