YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.0000000	0.7310819	0.2415824	0.7158613	0.6235206	0.5422717	0.5446157	0.9274403	0.6774398	0.2884220
1.1558847	0.0000000	0.1013492	0.9913833	0.5549830	0.5250275	0.3136880	0.0197646	0.7433922	0.2339144
1.0272279	0.0058552	0.0000000	0.9761788	0.4769400	0.6085983	0.4381378	0.0301236	0.5778982	0.3180042
0.3019906	0.9127986	0.4351516	0.0000000	0.5357205	0.5636576	0.3806636	0.0446687	0.7400288	0.3104777
0.7014384	0.3159553	0.1380153	1.0673910	0.0000000	0.2916168	0.9947918	0.0459377	0.9417297	0.1591217
0.3746846	0.7842990	0.3281400	1.0600103	0.4240801	0.0000000	0.4792023	0.0343338	1.0546207	0.0975721
0.8356023	0.1669817	0.0621532	1.0230252	0.0043336	1.1520614	0.0000000	0.0176566	0.2689721	0.5895314
0.8488702	0.2632279	0.1141158	1.0011784	0.4950443	0.4888400	0.4218123	0.0000000	0.7679890	0.2601456
0.8331976	0.2928324	0.1351200	0.9649751	0.4532456	0.6024976	0.4480750	0.0486998	0.0000000	0.3808488
0.2564418	0.9326899	0.6490864	1.1171696	0.4517618	0.6466566	0.3975237	0.0301413	1.0316154	0.0000000
