YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.0000000	0.6620760	0.2379531	0.7548856	0.5274104	0.5545221	0.5162849	0.8145812	0.6489353	0.3559513
1.0460879	0.0000000	0.0957571	0.9998299	0.4712849	0.5196560	0.3573773	0.0293303	0.8538639	0.2728150
1.0487795	0.0031852	0.0000000	1.0321155	0.5250913	0.5262234	0.5202294	0.0183420	0.5039271	0.3152005
0.2844367	0.9416710	0.4691453	0.0000000	0.4980128	0.5557893	0.3423504	0.0457469	0.6911088	0.2908757
0.6496044	0.3156903	0.1183119	1.0384932	0.0000000	0.2881945	1.0393419	0.0330998	0.9439810	0.1748000
0.3486253	0.7419877	0.3153182	1.0436554	0.4440659	0.0000000	0.5266214	0.0439505	0.9865415	0.0808691
0.8439175	0.1893329	0.0826008	1.0239891	0.0023345	1.0369075	0.0000000	0.0299266	0.3230479	0.6487671
0.8255779	0.3042866	0.1029277	1.0264719	0.4339059	0.5823522	0.3935371	0.0000000	0.7270081	0.3364683
0.8356677	0.2962138	0.1377473	0.9928490	0.4848316	0.5224935	0.4355800	0.0435792	0.0000000	0.4215180
0.2892351	1.0264107	0.6393043	1.0199590	0.4361528	0.6108969	0.4426864	0.0428710	1.0178535	0.0000000
