YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.5254671	0.3739751	0.0319536	0.2820981	0.1896384	0.3776328	0.7921135	0.0289302	0.7940822	0.0959166
0.2516936	0.2916383	0.6734784	0.0059655	0.0713390	0.3476486	0.5126895	0.5195526	0.6090038	0.3548473
0.1480606	0.5277881	0.5285191	0.0958488	0.0944448	0.4338502	0.6046396	0.3733982	0.5004227	0.3779822
0.4725285	0.1922758	0.7036261	0.0535896	0.1334355	0.3604096	0.4653308	0.1651721	0.6391942	0.3110688
0.5810024	0.2614655	0.7380576	0.0160984	0.1382852	0.5786864	0.3680699	0.4110058	0.3597413	0.2445393
0.2178287	0.4948444	0.0209613	0.3717795	0.2561869	0.3336269	0.7161718	0.0166606	0.6248905	0.0539891
0.0672965	0.7636006	0.0251819	0.6397935	0.3982698	0.5770721	0.5754554	0.0951853	0.6084474	0.2617558
0.1436612	0.7290096	0.0473494	0.2757600	0.2165514	0.2964466	0.8371547	0.1473795	0.5697298	0.2850254
0.2118494	0.6428726	0.0326603	0.2369981	0.1597196	0.3836334	0.6134597	0.1570871	0.7078458	0.3071280
0.0683710	0.8917346	0.0373483	0.4581166	0.2366344	0.2095678	0.9587514	0.0843469	0.6027722	0.2748772
