YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.2795619	0.4370414	0.5317228	0.8393226	0.7780980	0.8423616	0.6632050	0.7211814	0.6785425	0.7643195
0.6513456	0.2748459	0.3912560	0.6709188	0.7729465	0.7082448	0.8763069	0.7197970	0.7775951	0.7820415
0.7231223	0.1596445	0.2435546	0.6980950	0.7684774	0.7068420	0.6696672	0.8565706	0.6398451	0.7039323
0.5273028	0.2370579	0.3242202	0.5075906	0.6758397	0.7074823	0.6780509	0.6046279	0.6131357	0.6253375
0.3485061	0.4970123	0.3312857	0.7088692	0.3597496	0.7348218	0.6998922	0.6930719	0.9265241	0.7335987
0.3854466	0.3888048	0.4715581	0.6907977	0.6556008	0.2669515	0.7512761	0.7044421	0.6683002	0.6791538
0.5515432	0.4461902	0.4060461	0.6022643	0.8319858	0.8175866	0.3708675	0.7831496	0.7717073	0.8338341
0.4531069	0.4974885	0.6771794	0.8837816	0.7315277	0.7824174	0.7808687	0.4068099	0.6916491	0.6661415
0.4782844	0.4552964	0.4281227	0.7722715	0.6992009	0.8620044	0.6459593	0.8665999	0.4223952	0.7782625
0.4020430	0.5268846	0.4379526	0.7171908	0.7300884	0.7697502	0.6329342	0.6783830	0.7028955	0.3411605
