"Time"	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C

0	0.2208516	0.9322966	0.5861262	0.0810304	0.7425954	0.8746361	0.6921094	0.7259306	0.6181723	0.6822812
50	0.2662713	0.8903723	0.7514261	0.0806671	0.7495573	0.5668322	0.7893865	0.7779773	0.6922458	0.8302791
100	0.2311524	0.7363132	0.5540301	0.1012927	0.7157164	0.6500788	0.7310056	0.8282444	0.7581884	0.5156418
150	0.2181118	0.6701415	0.7068705	0.1218752	0.7361665	0.5655485	0.6279287	0.7507147	0.7095601	0.5515731
200	0.2657864	0.7490472	0.6680206	0.1089454	0.6456117	0.5707028	0.6025214	0.6656584	0.8734329	0.6578172
250	0.2685646	0.8161649	0.6671531	0.1394778	0.7005602	0.6470610	0.6936896	0.7031749	0.8270546	0.7008635
300	0.2543350	0.7622048	0.6781821	0.0842269	0.7978229	0.4835919	0.6678866	0.7621485	0.6798173	0.7024697
350	0.2802260	0.6550173	0.6965865	0.1446523	0.7253336	0.6188075	0.6753908	0.8048024	0.7082550	0.6296039
400	0.1869161	0.9105031	0.6525355	0.0788924	0.7095340	0.4172682	0.7683078	0.6711836	0.7620789	0.5238329
450	0.2303979	0.8563626	0.7688885	0.1158201	0.8162421	0.6118684	0.7602032	0.7192102	0.7279268	0.6499276
500	0.2744072	0.7823733	0.6739516	0.0784232	0.8819078	0.4166423	0.5911221	0.7076975	0.7999199	0.6409947
550	0.2054289	0.6802916	0.5621384	0.1041692	0.7005189	0.5490785	0.6784279	0.7168870	0.7724760	0.7961224
600	0.1895660	0.8216864	0.6255219	0.0946284	0.7214705	0.6998442	0.8350358	0.8488573	0.7329759	0.7554521
650	0.2374653	0.8124291	0.6500630	0.0760730	0.7591867	0.6875073	0.6826870	0.8133874	0.8099250	0.6200570
700	0.2685464	0.8841918	0.5994593	0.1038940	0.6530103	0.6596157	0.5942591	0.7648580	0.8496909	0.7460522
750	0.3462100	0.8090488	0.7643637	0.1105823	0.6966193	0.7177560	0.6567996	0.7851504	0.8283955	0.6929704
800	0.2993264	0.8757522	0.8383279	0.1249796	0.8518636	0.7557958	0.8550874	0.7881104	0.7839751	0.8091747
850	0.2476716	0.6384255	0.6946447	0.0719884	0.8128334	0.7301603	0.7605043	0.6459954	0.8023118	0.7113913
900	0.2973948	0.8919837	0.5766090	0.0952272	0.7628636	0.9581709	0.7109342	0.6558692	0.6985812	0.8462393
950	0.2320679	0.7613080	0.6937477	0.0753462	0.6538430	0.7689215	0.8350923	0.7700247	0.7953309	0.7128334
1000	0.2522079	0.7379399	0.7240952	0.1027670	0.7430800	0.7012229	0.7772796	0.8520507	0.6862549	0.7299480

0	0.1923328	0.7862245	0.7459180	0.0662627	0.7039948	0.8189112	0.6875723	0.7014184	0.7120598	0.7306375
50	0.5132917	0.7154253	0.6992123	0.0791835	0.7526266	0.8073707	0.6908296	0.3581582	0.6393337	0.7928059
100	0.4865725	0.7122411	0.5500505	0.0783575	0.8403966	0.6502035	0.5752928	0.2243188	0.6507581	0.6862688
150	0.4897758	0.7972025	0.7169578	0.0933066	0.7493240	0.7235138	0.8158477	0.2173366	0.6933753	0.6754948
200	0.4003972	0.6803646	0.8022506	0.0890313	0.6462504	0.7898330	0.7141226	0.1499553	0.7339940	0.7146657
250	0.4597376	0.6641441	0.7874876	0.0687485	0.7793696	0.7638440	0.6511128	0.1574595	0.7632646	0.7267294
300	0.4865184	0.6366756	0.6585168	0.0755968	0.7112896	0.7189983	0.7184498	0.2154216	0.5785590	0.7598484
350	0.6768037	0.7381288	0.6945737	0.1009322	0.8065187	0.6634606	0.6485112	0.2098544	0.7176989	0.7285728
400	0.6814054	0.7713831	0.7381679	0.0607860	0.8804902	0.7001028	0.5875031	0.1708977	0.7531940	0.8179252
450	0.6372677	0.8263403	0.7534118	0.0763991	0.7428499	0.7741387	0.6861268	0.2183579	0.6835207	0.6511572
500	0.4584750	0.7504597	0.6310194	0.1130204	0.6652024	0.7262989	0.6394570	0.1469865	0.7006249	0.6953176
550	0.3186541	0.7747707	0.7649560	0.0920096	0.7344258	0.8091075	0.7241001	0.4872738	0.5921113	0.7480906
600	0.2635232	0.6701525	0.8019887	0.1155503	0.7845970	0.6842346	0.6417051	0.5752858	0.9408691	0.6467684
650	0.3664071	0.6529554	0.6184702	0.1626379	0.6546502	0.7339457	0.7713359	0.7980005	0.7254704	0.7336914
700	0.3891565	0.7761948	0.6481974	0.1613468	0.7906833	0.7744513	0.8071120	0.6932878	0.8508191	0.8179915
750	0.3403658	0.6709262	0.7059429	0.1126277	0.6412918	0.7241443	0.6645333	0.7459717	0.6263791	0.8049527
