YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.5524930	0.5914388	0.8435050	0.1595025	0.2372729	0.8577708	0.2989879	0.3319826	0.1531797	0.9645837
0.2692808	0.2135744	0.6486685	0.1473222	0.2753112	0.9648783	0.3904937	0.3351904	0.2261698	1.1226960
0.8761110	0.4792095	0.5208460	0.3897736	0.5781527	0.9172505	0.1892496	0.4374792	0.2012922	1.0358714
0.9883085	0.6452041	0.7701685	0.0930084	0.1990369	0.8909383	0.3637542	0.3420333	0.1985919	1.0167564
0.9127013	0.5974475	0.6301551	0.1261667	0.2148451	0.8651154	0.2374428	0.4174034	0.1718899	1.0216974
0.1266165	0.0436290	0.8945020	0.2718231	0.4921887	0.3781189	0.2099386	0.3365950	0.2072599	0.9322113
0.1333479	0.1733720	0.4628511	0.1021338	0.3141479	0.6365962	0.1471388	0.3284147	0.2090229	1.0050730
1.0423757	0.6847518	0.8417303	0.2083856	0.2060653	0.9706544	0.7772304	0.2145738	0.1820515	1.0263804
0.9406993	0.4785091	0.5804144	0.1148479	0.2914380	0.8215940	0.1804993	0.4179729	0.1008623	0.9278427
0.9936487	0.6750926	0.7247801	0.1200844	0.2663401	0.9100449	0.2811298	0.3299421	0.3848174	0.5086278
