YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.4997430	0.6945389	0.1254019	0.4560209	0.2246361	0.4157448	0.5654476	0.5624899	0.8614222	1.1112692
0.3372728	0.9047078	0.2793075	0.1712139	0.1703520	0.1141528	0.5623794	0.7366026	0.9336463	0.9012605
0.3416196	0.6319949	0.6202674	0.4209814	0.2477400	0.1049561	0.7140538	0.7393934	0.8368683	0.7243872
0.8285379	0.4633838	0.8352003	0.7784212	0.3419119	0.4768994	0.5404070	0.7743654	0.6231969	0.7554405
0.7386022	0.5298614	0.2669445	0.4968074	0.2985632	0.3349147	0.6935324	0.6570256	0.8154726	0.8926569
0.5083314	0.7148332	0.8791836	0.8372847	0.6284105	0.2874086	0.7749897	0.7461734	0.5353266	0.9518655
0.3914483	0.6053638	0.4711591	0.4897293	0.2270380	0.2000188	0.5018609	0.7721041	0.7013780	0.9909273
0.4260649	0.6491673	0.4888102	0.4976633	0.1058948	0.2412548	0.6261727	0.9549217	0.8278150	0.8573674
0.4765983	0.6535094	0.0050253	0.0130222	0.0935806	0.3301365	0.6213096	0.9215277	1.0168292	1.0477936
0.7155548	0.5592079	0.3311304	0.0068126	0.0656866	0.5999830	0.6857897	0.8933557	0.9945080	0.9916501
