YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0106471	0.0036859	0.0117718	0.4854977	0.1763931	0.6871276	0.7465223	0.7694853	0.1568093	0.7739730
0.2108332	0.0512140	0.4311841	0.1366803	0.5564251	0.3582992	0.5564394	0.5151085	0.4744175	0.7794675
0.3472219	0.1529982	0.3610233	0.1870735	0.3622795	0.4206029	0.5652691	0.5989376	0.6198953	0.6557395
0.0005104	0.0301816	0.1984113	0.1734475	0.3270901	0.4334750	0.5079185	0.6963501	0.2457074	0.6206155
0.0014697	0.0292258	0.2715790	0.1714225	0.3524391	0.5920424	0.3942417	0.6990575	0.3564839	0.7408244
0.2728453	0.1458182	0.1255502	0.3020466	0.1501973	0.4168490	0.5399137	0.8709668	0.0596586	0.7856862
0.2114497	0.2538909	0.0762367	0.6092894	0.1819413	0.5664549	0.4485270	0.6935893	0.0796692	0.7814759
0.1527468	0.3094384	0.1685158	0.2952537	0.1671813	0.4361903	0.4750882	0.5138799	0.1321777	0.3679940
0.0014403	0.0190943	0.2558731	0.1562461	0.5644581	0.4825178	0.5624159	0.8040424	0.2313812	0.6844719
0.0306321	0.0356888	0.1732481	0.2455022	0.2656544	0.6647645	0.5513270	0.9237562	0.2050442	0.7657929
