"Time"	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W

0	0.4069625	0.0143044	0.1719572	0.3378352	0.7477955	0.2864558	0.8631955	0.6656123	0.8078154	0.0146412
50	0.3520956	0.0543382	0.1862702	0.2601206	0.6575319	0.2397265	0.5979706	0.7550986	0.8549019	0.0320797
100	0.3700033	0.0234354	0.1538694	0.3218827	0.5402633	0.3432740	0.6545525	0.7253733	0.7681316	0.0567144
150	0.2975647	0.0545244	0.1447760	0.3982814	0.3926926	0.3316744	0.8507600	0.8276706	0.7786415	0.0523025
200	0.2805411	0.0400724	0.2047378	0.3446267	0.4425923	0.4339169	0.6492086	0.6250583	0.6919141	0.0384786
250	0.3571685	0.0235740	0.1972142	0.2396377	0.4457277	0.4673235	0.6496173	0.7026712	0.7767677	0.0501232
300	0.2297848	0.0591810	0.1932179	0.4528857	0.2788823	0.4695359	0.6809949	0.6180209	0.7793914	0.0392309
350	0.2809854	0.0316050	0.1096707	0.4023674	0.2648437	0.5230729	0.6207324	0.7076524	0.8791563	0.0455910
400	0.3645582	0.0178402	0.1866383	0.4712130	0.2167002	0.6210858	0.6901274	0.6327418	0.6741433	0.0415025
450	0.3973446	0.0171234	0.1612041	0.3401475	0.1623969	0.6599095	0.8351897	0.6116115	0.7074633	0.0252551
500	0.3458473	0.0340966	0.1327841	0.4433767	0.1022686	0.6156305	0.6265583	0.6193877	0.7328781	0.1323868
550	0.3613339	0.0240153	0.1370352	0.6389071	0.2575137	0.6542580	0.7780814	0.6438289	0.8100795	0.0398424
600	0.3457619	0.0178863	0.1237784	0.5263310	0.3687718	0.6676709	0.7333045	0.7206991	0.8272725	0.0354386
650	0.3716756	0.0346147	0.2028107	0.4598657	0.2853233	0.7948838	0.7364263	0.7355412	0.7640610	0.0557519
700	0.4455530	0.0313781	0.1832874	0.4458870	0.2529103	0.7698381	0.8172744	0.5985270	0.6950375	0.0336026
750	0.3612265	0.0270107	0.1226119	0.6050660	0.2543186	0.5280707	0.6780604	0.7316196	0.6785300	0.0368966
800	0.3618142	0.0162667	0.1878450	0.5717376	0.2551085	0.5213037	0.5851255	0.6412522	0.6859385	0.0281451
850	0.3969720	0.0442144	0.1445955	0.5411638	0.3866018	0.5736555	0.6828315	0.7510360	0.7555204	0.0387190
900	0.3421388	0.0411153	0.1776020	0.4510471	0.3308589	0.6748703	0.7896975	0.7888344	0.8158919	0.0324662
950	0.4339922	0.0352196	0.1282763	0.3860614	0.2936388	0.5530122	0.6586107	0.7089500	0.8281713	0.0548421
1000	0.3267887	0.0126229	0.1175638	0.5914886	0.2846953	0.6979845	0.7426414	0.6983164	0.7146015	0.0403762

0	0.3905806	0.0426745	0.2417989	0.2851446	0.7778440	0.2614795	0.7621541	0.6395331	0.6957550	0.0156700
50	0.4761250	0.3084073	0.1720660	0.1892684	0.6595147	0.2901883	0.6615171	0.7461083	0.3467220	0.0077377
100	0.4622109	0.4574859	0.1504482	0.1083242	0.7327418	0.2606443	0.6557618	0.5944096	0.3096351	0.0020966
150	0.4420386	0.4778429	0.2342069	0.0902044	0.7385913	0.2674827	0.6735128	0.5480277	0.2524301	0.0009498
200	0.4736784	0.4561099	0.2636834	0.1365568	0.6169109	0.3222305	0.6168590	0.3975527	0.1990233	0.0003852
250	0.4008158	0.5620350	0.2436767	0.2129379	0.7238368	0.2975341	0.4341833	0.3220791	0.1956280	0.0000000
300	0.4050711	0.5927500	0.2824351	0.1459474	0.7628650	0.2728941	0.3057933	0.2841849	0.2202574	0.0003577
350	0.3617060	0.5137486	0.2348225	0.1354550	0.8151348	0.2650964	0.1917637	0.2289884	0.2064322	0.0015856
400	0.3544538	0.4608048	0.2716792	0.1497684	0.7900079	0.2348424	0.1337420	0.2454329	0.2023111	0.0000901
450	0.4514455	0.5224726	0.2004216	0.1174288	0.7073787	0.1073394	0.0903523	0.2712438	0.2507364	0.0000000
500	0.3857591	0.4984021	0.3127282	0.0768698	0.7913816	0.1508546	0.1619610	0.4276575	0.2406751	0.0000027
550	0.3663413	0.2898043	0.2531549	0.3265563	0.7461691	0.1047882	0.1946182	0.3933150	0.5559329	0.0077410
600	0.4399226	0.1224736	0.1483143	0.2471835	0.7382995	0.0733101	0.4014363	0.6301146	0.8014699	0.0286352
650	0.3676502	0.0966163	0.1297880	0.2338681	0.6736307	0.1345944	0.5599776	0.8809776	0.8308812	0.0301399
700	0.3870876	0.0425325	0.1046987	0.2422952	0.6289985	0.3235639	0.6515282	0.7125620	0.7770995	0.0332802
750	0.3028321	0.0645596	0.1939669	0.2947926	0.5871653	0.3080727	0.6323025	0.7270757	0.7849865	0.0758033
800	0.4511943	0.0584830	0.1763133	0.2184666	0.6352365	0.3137794	0.5660131	0.6839221	0.6498392	0.0279561
850	0.3752050	0.0290743	0.1998561	0.3658446	0.8263549	0.3151834	0.6583556	0.7978049	0.6796751	0.0321290
900	0.3647978	0.0242545	0.2394074	0.2814080	0.7441260	0.2380870	0.7520233	0.7360724	0.6685483	0.0788703
950	0.3846594	0.0343025	0.1550089	0.2870575	0.7041728	0.2110889	0.5997990	0.6397919	0.7981087	0.0514277
1000	0.3300330	0.0421557	0.1677873	0.3006850	0.8021249	0.1784798	0.6966896	0.6381341	0.9195017	0.0252818

0	0.4148833	0.0384675	0.1284938	0.3154191	0.8228877	0.2059772	0.8057290	0.6786578	0.7307046	0.0206783
50	0.3857590	0.0328570	0.1268227	0.1952733	0.6595483	0.2669757	0.7018012	0.7837394	0.8022723	0.0076081
100	0.4345795	0.0192932	0.1550311	0.1163618	0.5309218	0.3259921	0.6924109	0.8039654	0.5638028	0.0050278
150	0.3457976	0.0341759	0.1707991	0.1693989	0.4707475	0.4316037	0.6330601	0.7107665	0.7395643	0.0012332
200	0.4492429	0.0155247	0.1540444	0.1388559	0.4876545	0.3634140	0.6999803	0.6149345	0.6692847	0.0039183
250	0.3841852	0.0397737	0.2520851	0.1995952	0.4416604	0.2810826	0.6688304	0.7126735	0.5675725	0.0006184
300	0.3237988	0.0371678	0.2384078	0.2370665	0.4707894	0.3913199	0.6667075	0.8531120	0.7614041	0.0001355
350	0.3422859	0.0579477	0.2007425	0.2228340	0.4922524	0.3663665	0.6547179	0.6856573	0.6558380	0.0001059
400	0.3772843	0.0491108	0.2151002	0.1916143	0.4652191	0.4165102	0.6639036	0.7836012	0.8003477	0.0008743
450	0.4009983	0.0352574	0.2478078	0.2002480	0.4125235	0.4782873	0.5970849	0.8550577	0.6987386	0.0000990
500	0.3791624	0.0335151	0.1726196	0.2723136	0.4868054	0.3824516	0.6110284	0.5260346	0.7189760	0.0001783
550	0.3596558	0.0253041	0.1754425	0.2873311	0.5346527	0.4564371	0.7326241	0.8617286	0.7772517	0.0138168
600	0.3564232	0.0304505	0.1653426	0.3632991	0.5862801	0.3855196	0.7366628	0.7682369	0.7636422	0.0160323
650	0.4355433	0.0134600	0.1860770	0.3963719	0.6656118	0.3249945	0.7751580	0.7003292	0.6884546	0.0205303
700	0.4669339	0.0240205	0.1578274	0.3404592	0.6586754	0.2488262	0.7007852	0.8004834	0.8100381	0.0115448
750	0.3721453	0.0134041	0.1172558	0.3347303	0.6866259	0.3728774	0.6311769	0.5838902	0.7034077	0.0497652
800	0.3910448	0.0369248	0.1547261	0.2688136	0.7284176	0.3235507	0.6128242	0.6792349	0.7481642	0.0179922
850	0.3666124	0.0202008	0.1717293	0.2130829	0.6556504	0.2690129	0.7644451	0.7062989	0.7097540	0.0469428
900	0.3448201	0.0508656	0.1311695	0.2888510	0.7016367	0.2923377	0.7340687	0.6133883	0.7574638	0.0407074
950	0.4393616	0.0376099	0.2274593	0.3850006	0.7279015	0.2469037	0.5855160	0.7728079	0.7654723	0.0155939
1000	0.4660141	0.0330476	0.1808120	0.3436979	0.6888772	0.2430370	0.6458042	0.7526195	0.8636729	0.0437567

0	0.4654469	0.0202105	0.1487649	0.2802851	0.7617950	0.2428575	0.7727814	0.6422100	0.7395223	0.0110105
50	0.4012297	0.0275942	0.1682911	0.0649288	0.7490784	0.1944814	0.7526740	0.6389884	0.6477233	0.0166513
100	0.3660761	0.0432397	0.3539773	0.0238406	0.7585699	0.2538291	0.7163483	0.6133010	0.6599188	0.0169360
150	0.3797072	0.0427076	0.5213862	0.0218535	0.6694858	0.2498653	0.5630104	0.7851216	0.6535339	0.0158822
200	0.3697295	0.0698818	0.6455021	0.0463979	0.6097079	0.2308478	0.8297914	0.7696493	0.8169433	0.0058934
250	0.3557368	0.2676107	0.6669753	0.0570557	0.6269280	0.1981931	0.6693786	0.7998889	0.7002500	0.0001794
300	0.4205748	0.2743673	0.5708587	0.0323000	0.6912721	0.2141351	0.7987425	0.6758163	0.8452150	0.0001828
350	0.4137894	0.2955470	0.4803319	0.0509667	0.6955991	0.2070374	0.7283968	0.6475780	0.6653013	0.0005607
400	0.4225035	0.2994142	0.5164874	0.0387393	0.6909977	0.2761077	0.7025047	0.8173601	0.8307038	0.0000021
450	0.3613432	0.3269855	0.7604586	0.0596055	0.5747701	0.3621184	0.7063673	0.6823176	0.7420478	0.0004352
500	0.4628107	0.4096005	0.7526024	0.0223945	0.6353446	0.3312357	0.6996651	0.8989883	0.7901273	0.0048949
550	0.3816277	0.3241879	0.4702392	0.2778786	0.5830991	0.1866675	0.7021161	0.7111951	0.7967955	0.0222720
600	0.4516115	0.2525336	0.3066918	0.2827110	0.7098246	0.3007198	0.7562444	0.7917888	0.6347780	0.0327839
650	0.4148027	0.1272877	0.2008247	0.3675452	0.7288570	0.3518773	0.8105460	0.7106395	0.7924612	0.0264376
700	0.3907840	0.0664612	0.1728156	0.3634274	0.7107931	0.2386737	0.6006700	0.7640122	0.7922128	0.0462969
750	0.3344994	0.0517156	0.1713442	0.3281213	0.8125382	0.2512333	0.7306787	0.6824928	0.7176036	0.0119026
800	0.5148691	0.0397943	0.1778866	0.2619954	0.7696812	0.2383123	0.5806061	0.6793809	0.6696084	0.0350975
850	0.3929476	0.0276219	0.2081230	0.2300109	0.7850461	0.2251028	0.7848035	0.6352355	0.8123513	0.0306929
900	0.4451041	0.0388427	0.1094378	0.2744631	0.8356396	0.1996695	0.8377472	0.8428133	0.8002739	0.0333652
950	0.3826434	0.0194384	0.2262581	0.3172136	0.6590844	0.2240221	0.8259327	0.6015855	0.6312259	0.0275702
1000	0.3035930	0.0198469	0.1755595	0.3214467	0.7642299	0.2364498	0.6494922	0.7162799	0.7557969	0.0533381

0	0.4569199	0.0223865	0.1848707	0.2859054	0.6745141	0.2474062	0.7252928	0.7555145	0.7105234	0.0200429
50	0.3650482	0.0251760	0.1819719	0.2799456	0.7277764	0.4381491	0.7781533	0.8200880	0.7258067	0.0245025
100	0.4230795	0.0336304	0.1870996	0.3049191	0.5304467	0.6368963	0.6192283	0.6824497	0.7827521	0.0188609
150	0.3478232	0.0367288	0.2020647	0.4433319	0.3866646	0.6497646	0.7341935	0.7023051	0.6698271	0.0294827
200	0.4130635	0.0361121	0.2099378	0.4929645	0.3760759	0.6789429	0.7780783	0.7613953	0.8578273	0.0418540
250	0.3262241	0.0292811	0.0916709	0.5095918	0.2599445	0.6417929	0.8252569	0.6404927	0.8110360	0.0178294
300	0.3651249	0.0437050	0.2058137	0.4938293	0.1943444	0.6286540	0.7148598	0.6203231	0.7207230	0.0304184
350	0.3736025	0.0195082	0.1506947	0.5968932	0.1454168	0.6995452	0.7402868	0.7383515	0.6664328	0.0344260
400	0.3875223	0.0188865	0.1616478	0.6087030	0.1505533	0.7885043	0.5777912	0.6555830	0.7213172	0.0227689
450	0.3164972	0.0324224	0.0935078	0.7365530	0.1558174	0.7216433	0.6765176	0.8761294	0.7184676	0.0490271
500	0.3511337	0.0115368	0.1869198	0.7458911	0.2289990	0.9303467	0.8077862	0.6795330	0.6941330	0.0338896
550	0.4028855	0.0437624	0.1572249	0.5826875	0.2407788	0.5954332	0.7068616	0.6701763	0.5882446	0.0450073
600	0.3542773	0.0119479	0.1777959	0.5823464	0.2730032	0.6480595	0.7841327	0.8048352	0.7997064	0.0620393
650	0.3688220	0.0174566	0.1862664	0.4379223	0.3453589	0.6594103	0.7598054	0.6550393	0.8111102	0.0432477
700	0.4501705	0.0258588	0.1875414	0.5011433	0.2448471	0.4311543	0.6384845	0.7998362	0.8639272	0.0713491
750	0.3127729	0.0244746	0.2223917	0.4553754	0.2364254	0.4642039	0.5706865	0.7134774	0.7922532	0.0186502
800	0.3104711	0.0229247	0.1848912	0.5397265	0.3216658	0.6220625	0.7015985	0.7152658	0.8800145	0.0317507
850	0.3535065	0.0313564	0.1278611	0.5213849	0.3963725	0.5767213	0.7070545	0.8391591	0.6565840	0.0307897
900	0.3812475	0.0361845	0.1819552	0.6571715	0.2997547	0.6238406	0.6847004	0.7298542	0.8399248	0.0435038
950	0.3747689	0.0164879	0.1443524	0.4356228	0.3219280	0.5863002	0.7520391	0.7348772	0.8162622	0.0369719
1000	0.4761437	0.0398866	0.1805467	0.4294006	0.3077664	0.6879555	0.7419181	0.7151600	0.7661833	0.0513430

0	0.4628763	0.0172665	0.1577287	0.3231119	0.7978824	0.2053890	0.6984100	0.5746104	0.6600608	0.0161764
50	0.3644153	0.0192924	0.1503616	0.2185749	0.7342156	0.2241266	0.7468604	0.7155445	0.6877481	0.0298591
100	0.3680106	0.0818857	0.1739031	0.1610775	0.8156296	0.2546881	0.7898017	0.6325671	0.4636916	0.0596307
150	0.3814094	0.0664734	0.2950516	0.1758169	0.7260303	0.1670625	0.7204800	0.5727222	0.6974068	0.0111907
200	0.4129364	0.0736823	0.1987356	0.2091580	0.7948521	0.1712235	0.6300905	0.6012495	0.6495538	0.0145446
250	0.4066570	0.0696841	0.2243138	0.1311479	0.7152649	0.2482735	0.7506451	0.6179748	0.6084574	0.0417465
300	0.3584005	0.0685249	0.3022281	0.1493373	0.8193258	0.1808145	0.6010783	0.8017172	0.6155329	0.0209679
350	0.2905271	0.0393258	0.2421743	0.1576428	0.8328987	0.2266466	0.5257061	0.6550471	0.6640985	0.0187263
400	0.3395950	0.0497253	0.1967298	0.2102572	0.8070750	0.1956196	0.6924766	0.6268553	0.6419310	0.0155105
450	0.3824587	0.0466738	0.2704430	0.1741883	0.7358521	0.2371203	0.6518674	0.7036901	0.7420654	0.0239642
500	0.3988173	0.0338589	0.2369182	0.2192490	0.7831481	0.1843992	0.6371606	0.6681511	0.5657064	0.0648288
550	0.3091126	0.0393044	0.2344438	0.2426257	0.7449611	0.2453687	0.6551278	0.7498108	0.7543815	0.0467394
600	0.3766804	0.0292311	0.1961583	0.2526124	0.7737565	0.2500684	0.7690673	0.7188215	0.6900719	0.0341552
650	0.4416675	0.0349046	0.1573021	0.3657298	0.6891035	0.2475669	0.6809077	0.7869671	0.7116883	0.0622567
700	0.3169631	0.0616054	0.1881567	0.3035679	0.5674424	0.2751495	0.7074651	0.6632502	0.6219810	0.0251609
750	0.3503108	0.0369767	0.1962078	0.3547866	0.7969889	0.2823437	0.6928511	0.7076265	0.7065952	0.0466834
800	0.3147649	0.0432900	0.1773578	0.2675068	0.8104830	0.2071878	0.5605272	0.7367155	0.7558517	0.0219166
850	0.4095186	0.0275467	0.1346413	0.3318372	0.7700602	0.1740724	0.6035244	0.5457185	0.8403215	0.0205737
900	0.4099030	0.0952980	0.1293282	0.2568274	0.7275131	0.2117677	0.6628041	0.6647610	0.6839953	0.0410695
950	0.3442055	0.0535602	0.2076904	0.2831931	0.7493291	0.2789371	0.7087250	0.6986490	0.6819479	0.0138115
1000	0.4169617	0.0182070	0.1710267	0.2242811	0.7080544	0.2973122	0.6812758	0.8667386	0.6598844	0.0483693

0	0.3630903	0.0398557	0.1444818	0.3441609	0.7490489	0.2342233	0.7616127	0.7292220	0.6605514	0.0246702
50	0.4455639	0.0156613	0.1692702	0.2720664	0.8149005	0.2024920	0.6419627	0.6056479	0.2504727	0.0523214
100	0.3964400	0.0243359	0.1910437	0.2820082	0.8043253	0.2222046	0.7448164	0.4841101	0.1215235	0.0381797
