"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W

0	0.4452978	0.2411534	0.7944320	0.6091293	0.1447803	0.6814369	0.6982989	0.7383844	0.8635425	0.0416999
50	0.3122731	0.2090396	0.6582405	0.8068093	0.1362885	0.6680404	0.5274314	0.6405878	0.7577689	0.2974428
100	0.2837311	0.2554863	0.8462008	0.8084346	0.1052860	0.6406876	0.6526292	0.6644901	0.4250677	0.4081510
150	0.2940118	0.1926868	0.9070211	0.8562397	0.1499122	0.5888912	0.6226797	0.9164876	0.1884827	0.3482872
200	0.3014454	0.1952789	0.6969710	0.8529959	0.1936852	0.5953878	0.7703942	0.7576577	0.1432633	0.3721583
250	0.2617722	0.1318408	0.7076652	0.6616677	0.2031176	0.5519295	0.6313627	0.7876285	0.1289203	0.3567841
300	0.2421778	0.2298617	0.6857984	0.6705947	0.2734928	0.5153274	0.5787480	0.8127111	0.0715406	0.4416209
350	0.3353546	0.2253537	0.7613004	0.5688167	0.2953570	0.5822409	0.5572903	0.6824129	0.0549408	0.5474226
400	0.3603248	0.2229855	0.7466538	0.4722670	0.2785895	0.5780579	0.7430637	0.7963812	0.0306467	0.5055912
450	0.3409450	0.2043280	0.8415321	0.5793347	0.3033423	0.4622464	0.6230635	0.7632650	0.0280626	0.5164602
500	0.3238213	0.3432775	0.7132749	0.5956291	0.2479588	0.6075737	0.6362390	0.7197114	0.0441295	0.4856331
550	0.4708011	0.2888155	0.7618189	0.6153987	0.3179422	0.5778099	0.6720009	0.6976559	0.0623649	0.4572222
600	0.3891945	0.3603727	0.7297449	0.7561443	0.1792739	0.6495568	0.6309663	0.4427559	0.0467794	0.2923059
650	0.4762707	0.2353833	0.7458511	0.6346373	0.1767957	0.9016504	0.6280943	0.5358668	0.2055835	0.1500194
700	0.3760049	0.2050455	0.7095434	0.8610803	0.1804839	0.7930010	0.6588535	0.5605054	0.4458736	0.1981129
750	0.3437216	0.2811881	0.8568716	0.5888527	0.1706970	0.6696822	0.6256275	0.6780295	0.6335633	0.1578368
800	0.5543753	0.2797266	0.7069874	0.6611160	0.1234185	0.7363860	0.7066139	0.7813427	0.7245374	0.1413501
850	0.5078131	0.4237735	0.8107161	0.7456097	0.1534874	0.7393984	0.8621090	0.7479101	0.5941014	0.1092338
900	0.4744062	0.3137597	0.7918328	0.6604305	0.1947778	0.7185931	0.7787197	0.7692504	0.6877144	0.1350407
950	0.5110565	0.2235395	0.6139412	0.6785596	0.1579216	0.7467750	0.5813262	0.7665963	0.7473130	0.1519802
1000	0.5196939	0.2784411	0.7039443	0.6214195	0.2496700	0.6446830	0.6819587	0.6076039	0.8069479	0.1272889

