YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.0000000	0.9550958	0.7244132	0.3046931	0.3036117	0.5975924	0.4312477	1.0793764	0.4675203	1.0710619
0.2564024	0.0000000	0.6637177	0.2278382	0.3379967	0.5179749	0.4374752	0.9542929	0.4668665	1.0151073
0.6993161	0.0010429	0.0000000	0.2317543	0.4425446	0.6262254	0.5191940	0.9695059	0.5342202	0.9901897
0.8558989	0.0812171	0.0784842	0.0000000	0.3773059	0.6555471	0.5335906	0.9552599	0.5074645	1.0651437
0.2556727	0.9579938	0.9899810	1.0132728	0.0000000	0.5755173	0.5091150	0.8569305	0.4578287	0.9493390
0.3900858	1.0251319	1.0140265	1.0260601	0.0372366	0.0000000	0.9157323	0.2244960	0.0479198	0.9262894
0.3918680	1.0394634	0.9640126	1.0023533	0.0417679	0.0058695	0.0000000	0.1828751	0.0449917	1.0960757
0.1562740	0.9293442	0.4699903	0.0857144	0.5712725	0.8577098	0.9971521	0.0000000	0.6547878	0.9550395
0.5686043	0.9411644	0.5248700	0.1628917	0.5301666	0.7961349	0.9716278	0.1245591	0.0000000	1.0253349
0.1985456	1.0375875	0.7519650	0.2112946	0.4273729	0.6336027	0.4986437	0.9141611	0.5395477	0.0000000
