YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.2699014	0.3188687	0.8311599	0.3207126	0.0863899	0.1940353	0.5861214	0.7489292	0.0170043	0.0474121
0.7004449	0.1308154	0.7372991	0.2944468	0.1439812	0.2650294	0.3522939	0.7762662	0.0105629	0.0895307
0.3812873	0.4558954	0.3921646	0.3845414	0.0409840	0.2986474	0.6362829	0.8707660	0.0136006	0.0412043
0.4344450	0.2979863	0.8261420	0.2373570	0.0349499	0.2631635	0.5303914	0.8761820	0.0162787	0.0735118
0.4813187	0.2908159	0.7202735	0.4157226	0.0218190	0.2436802	0.5878673	0.7895436	0.0218039	0.0391138
0.4952810	0.3179531	0.6451658	0.4304573	0.0736961	0.1569872	0.6742435	0.7533659	0.0110211	0.0544908
0.3924358	0.2558956	0.8317501	0.2980245	0.2101415	0.5667653	0.2532205	0.6508407	0.0049288	0.0952608
0.4930048	0.2734743	0.8386203	0.3364590	0.1654229	0.2731948	0.5995328	0.3495683	0.0149139	0.0428952
0.5251669	0.2946164	0.8144758	0.3581427	0.1874562	0.3685478	0.5463505	0.7344102	0.0097053	0.0557794
0.5172821	0.2575698	0.7483748	0.2879738	0.1085915	0.2292639	0.5942575	0.6709018	0.0097217	0.0216499
