YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.0000000	0.0187054	0.0000000	0.3673632	0.2367889	0.5741611	0.6528065	0.0462222	0.2927206	0.6970924
0.8250882	0.0000000	0.7495997	0.0000000	0.2536078	0.3800786	0.6354124	0.0453094	0.7514632	0.0052578
0.7508169	0.7563073	0.9036600	0.0000000	0.4899593	0.6002711	0.0000000	0.1688763	0.7148827	0.0219761
0.8065071	0.4849878	0.3352316	0.8060945	0.0000000	0.5983474	0.5986054	0.0157566	0.0000000	0.1158182
0.8673735	0.5375642	0.3242580	0.7372110	0.0859780	0.0000000	0.6748473	0.0157292	0.6446378	0.0000000
