YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0097134	0.7484895	0.5041541	0.9999199	1.0000000	0.6449975	0.4921709	0.8752165	0.5818916	0.4410306
0.1617280	0.3742473	0.5041541	0.9999199	1.0000000	0.7480625	0.5734630	0.8752164	0.5818915	0.4410307
0.0342872	0.5921055	0.2520771	0.9999199	1.0000000	0.7277379	0.5578905	0.8752164	0.5818915	0.4410307
0.0754679	0.4647120	0.1525904	0.4999600	1.0000000	0.8022874	0.6071317	0.9162005	0.8522257	0.4292313
0.0194311	0.7480885	0.5030124	0.9980578	0.5000072	0.7121592	0.5462770	0.8753203	0.5823902	0.4410046
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.3911508	0.3019151	0.8752164	0.5818916	0.4410306
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.7833903	0.2999776	0.8752165	0.5818916	0.4410306
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.4974487	0.8271440	0.4256416	0.4881430	0.6278733
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.6222379	0.5249941	0.7503775	0.2792905	0.4809247
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.6487475	0.4870119	0.9065558	0.7696270	0.2160388
