YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1668307	0.3692723	0.0462789	0.6157452	0.0170238	0.2353438	0.7570920	0.8174886	0.6357801	0.2682291
0.2233608	0.3711556	0.0350419	0.4433861	0.0092156	0.1982663	0.6683793	0.6830967	0.7551879	0.0509434
0.3284638	0.7093395	0.0014284	0.6548961	0.0448927	0.1443247	0.7723255	0.2134146	0.3170697	0.3536786
0.5198132	0.7712996	0.0049287	0.6864470	0.0537564	0.1752080	0.6411568	0.1936318	0.0911494	0.6842564
0.4669856	0.4496256	0.0305157	0.6980703	0.0146696	0.1882451	0.6825648	0.8410278	0.5068162	0.1326424
0.2679176	0.2167761	0.0007992	0.7559780	0.0105009	0.1995379	0.8526996	0.6916899	0.5461770	0.0485779
0.3489801	0.6769609	0.0000705	0.7308606	0.0246555	0.2646656	0.7462337	0.1778223	0.2639372	0.5333966
0.3001639	0.4147234	0.0702956	0.5962809	0.0915085	0.2831278	0.8028864	0.3390885	0.3239237	0.6130910
0.3456593	0.5612456	0.0216507	0.6589786	0.0124042	0.2570906	0.9402484	0.6378281	0.6069484	0.1615095
0.3597536	0.4757983	0.0404106	0.6367706	0.0836348	0.2275709	0.7153797	0.6783753	0.7534163	0.0972388
