"Time"	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C

0	0.0562652	0.2746041	0.8164625	0.5971284	0.9142820	0.5751559	0.8534816	0.9655654	0.0884120	0.9276495
50	0.0575852	0.3058838	0.8704341	0.5474337	0.9488178	0.4464157	0.6260400	0.9123598	0.1183058	1.0085611
100	0.0497583	0.3894228	0.8198242	0.4679256	0.8975006	0.3535710	0.4606825	1.0369166	0.0731996	0.9508441
150	0.0574938	0.3643361	0.8168837	0.4808119	0.9908000	0.2273077	0.3577234	0.9589276	0.0961233	0.9361484
200	0.0608332	0.3797583	0.9704393	0.4819976	0.9849887	0.1111551	0.2884212	0.9718938	0.1044134	1.0011319
250	0.1134182	0.4153048	0.8658286	0.5258279	0.9371524	0.0820782	0.2938975	0.9729426	0.0959383	1.0528720
300	0.1112097	0.4215503	0.8734218	0.5011362	0.7084192	0.0548248	0.3607068	0.9178702	0.0842223	0.9643631
350	0.1107037	0.4036345	0.8562347	0.4479261	0.5472312	0.0445080	0.2809884	1.0179479	0.0999473	0.9953949
400	0.1088934	0.4268708	0.9279494	0.2885543	0.3720117	0.0472517	0.2390917	1.0272644	0.0924810	1.0411551
450	0.1774148	0.5084073	0.8637325	0.1802562	0.3836353	0.0346930	0.2738875	0.9331845	0.0906275	1.0643386
500	0.2326900	0.6211058	0.9626178	0.1558960	0.2731640	0.0370663	0.2386719	0.9865232	0.0589325	1.0305336
550	0.3141359	0.5874210	0.9316943	0.1285418	0.1752776	0.0280804	0.4333055	0.9812423	0.1014894	1.0386242
600	0.2984806	0.5833546	1.0248583	0.0837027	0.2365491	0.0802550	0.6827791	0.9416335	0.1038169	1.0177070
650	0.4118278	0.6032462	0.8821025	0.0892305	0.5026750	0.1830334	0.8496446	1.0125365	0.1002366	0.9278729
700	0.3214446	0.6716268	0.9926859	0.1522570	0.7848955	0.4242117	0.9565550	1.0456716	0.1061360	0.9102889
750	0.2541460	0.6536862	1.0474991	0.3193125	0.9355837	0.4515828	0.9141307	0.9196965	0.1201061	0.9257683
800	0.2000390	0.5991069	0.9307093	0.3645661	0.9917819	0.5425473	0.9505973	0.9532153	0.1269133	0.9134030
850	0.1983632	0.4926627	0.8858508	0.4753976	1.0333574	0.5639249	0.9004339	0.9642311	0.1281221	0.9552711
900	0.1949752	0.4304601	0.9059088	0.5283643	1.1100746	0.6302999	0.8962774	0.9788875	0.0865969	1.0512241
950	0.1581221	0.3796165	0.8666042	0.5793388	1.0260269	0.6332530	0.7974248	1.0189888	0.0917378	1.0674595
1000	0.1215821	0.3300354	0.8312771	0.6683709	0.9519799	0.5365092	0.6704895	0.9629654	0.0992164	1.1033665

0	0.0562652	0.2746041	0.8164625	0.5971284	0.9142820	0.5751559	0.8534816	0.9655654	0.0884120	0.9276495
50	0.0513821	0.2943771	0.8452507	0.6130952	1.1255170	0.6311823	0.9462659	0.9885386	0.0763720	0.9587160
100	0.0288385	0.2818784	0.7650241	0.5855034	1.1424000	0.7151969	0.7963555	1.0240166	0.0358881	1.0358829
150	0.0281579	0.2670646	0.8022950	0.4929679	1.0378474	0.6665309	0.8247899	0.9114798	0.0434704	1.0468890
200	0.0178863	0.2933637	0.8106895	0.5611052	0.9955103	0.5320886	0.8122602	0.8266978	0.0478591	1.0540792
250	0.0314479	0.2603994	0.7949994	0.5757122	0.9524625	0.4516800	0.7489925	0.9755234	0.0366006	1.0143155
300	0.0176769	0.2562899	0.7512811	0.5229237	1.0179851	0.4260525	0.8168598	0.9024966	0.0356440	0.9670551
350	0.0469088	0.3169150	0.8404729	0.5463707	0.9689971	0.3947268	0.8326362	0.8714931	0.0271861	1.0088426
400	0.0489352	0.2938129	0.8185329	0.5548315	0.9687359	0.4153085	0.8851797	0.7859408	0.0404388	1.0276701
450	0.0640414	0.2970096	0.8829853	0.5403762	0.9374050	0.5181621	0.9575772	0.8372532	0.0236512	0.9738151
500	0.0460933	0.3017342	0.8187491	0.4787680	0.9266881	0.5634189	0.9817650	0.8582803	0.0247336	0.9307144
550	0.0391877	0.3720196	0.8518120	0.4845346	0.9319846	0.6427908	0.9488331	0.8639157	0.0860379	1.0010935
600	0.0770118	0.3071522	0.9390701	0.5290050	1.0402509	0.6145757	0.8467204	0.9600045	0.0791490	1.0408757
650	0.1001618	0.3260205	0.8834652	0.5020451	1.0370080	0.5611173	0.8620806	0.9142110	0.1259373	1.0803742
700	0.1140189	0.2774784	0.8545635	0.4825978	1.0075829	0.4736866	0.8670311	0.9144922	0.0871677	1.0705014
750	0.0869266	0.2472314	0.9530853	0.5078680	1.0218314	0.4275742	0.8708255	1.0078520	0.0694184	1.0011425
800	0.0808047	0.2602994	0.9733790	0.4923144	1.0459117	0.5003914	0.9549398	0.9693417	0.0843546	0.9671034
850	0.0971899	0.3365086	0.9460661	0.5262714	0.9872936	0.5814301	0.9087041	0.8868774	0.0708769	1.0887617
900	0.0831946	0.3712997	0.9298902	0.4816932	0.9578540	0.6160350	0.8894641	1.0897810	0.0780922	0.9766224
950	0.0775297	0.3256965	0.9947794	0.4995669	0.9845192	0.6149614	0.9431375	1.0652825	0.0880969	0.9031594
1000	0.1084879	0.2857142	0.9363359	0.5355539	1.0616426	0.5750194	0.8057186	0.9869323	0.1038991	0.9575972

0	0.0562652	0.2746041	0.8164625	0.5971284	0.9142820	0.5751559	0.8534816	0.9655654	0.0884120	0.9276495
50	0.0736750	0.3217253	0.8928154	0.5657463	1.0432242	0.6103420	0.6674992	0.8531359	0.0912977	1.0164288
100	0.0607558	0.2971890	0.7774960	0.5748546	1.0459356	0.4535506	0.3961824	0.7090129	0.1009235	0.9337814
150	0.0613615	0.3720963	0.8072569	0.5249283	0.9089079	0.2529880	0.2994688	0.7278155	0.0813662	0.9825386
200	0.0829490	0.3037069	0.8237495	0.4754430	0.8538458	0.0988188	0.1943188	0.7585794	0.0832579	1.0307386
250	0.0626796	0.3183041	0.8423182	0.4507135	0.7950946	0.0477401	0.1704231	0.7476005	0.0836995	1.0353062
300	0.0859320	0.3828722	0.9577421	0.3810565	0.5640522	0.0506765	0.1540374	0.7934244	0.0813370	1.0529259
350	0.0929254	0.3126206	0.9937190	0.3005442	0.4256222	0.0572044	0.1712637	0.7444567	0.0781377	1.0335660
400	0.0939522	0.3689231	0.9666009	0.2119872	0.3085145	0.0349642	0.1692036	0.8095829	0.0917799	1.1251664
450	0.1327945	0.4253398	0.9616255	0.1989494	0.2195016	0.0228067	0.1583219	0.8435634	0.0813834	1.1263235
500	0.1757208	0.4731468	0.9532177	0.1338752	0.1076999	0.0301754	0.1730688	0.8243694	0.0859106	1.0552128
550	0.1918480	0.4796868	1.0114432	0.0766824	0.0773030	0.0366973	0.3815673	0.8742065	0.0782611	1.0375116
600	0.2042578	0.4934098	1.0458837	0.0391480	0.1505094	0.0549779	0.6176772	0.8160379	0.0856688	0.9351309
650	0.2548416	0.5985203	1.1477829	0.0517454	0.3618536	0.1340973	0.8219872	1.0603549	0.0916659	0.8380171
700	0.2695716	0.5645268	1.1085640	0.1096200	0.7288653	0.2783097	0.8828722	1.1035303	0.0759132	1.0053983
750	0.2428602	0.4785740	1.0388257	0.2120049	0.9841425	0.4743747	0.8957037	1.0359190	0.0881955	1.0106009
800	0.2112850	0.4392549	1.0352375	0.3671678	0.9260035	0.5282425	1.0046337	0.9974047	0.0591910	1.0071606
850	0.1514842	0.4382662	0.9879741	0.4582761	1.0809729	0.5373450	0.9440768	0.9978609	0.0889360	0.9915366
900	0.1403831	0.4160733	0.9365001	0.4883938	0.9961467	0.6600526	0.8924831	0.8898189	0.1087598	1.0494241
950	0.1353319	0.3275023	0.8947280	0.5227714	0.9113411	0.5611009	0.8766355	0.9327099	0.1181283	1.0831142
1000	0.1165822	0.2962718	0.7570252	0.5247737	0.9587751	0.5923132	0.8792583	0.9505427	0.1251090	0.9973718

0	0.0562652	0.2746041	0.8164625	0.5971284	0.9142820	0.5751559	0.8534816	0.9655654	0.0884120	0.9276495
50	0.2176269	0.2568593	0.7656005	0.5360533	1.0222439	0.6053667	0.8263562	0.9847580	0.0672811	1.0809522
100	0.3540118	0.2541272	0.8060390	0.5683503	1.0141245	0.5212454	0.8881149	1.0660645	0.0538690	1.0514251
150	0.4570249	0.2655211	0.7860750	0.5231678	0.9811957	0.5153878	0.8862132	1.0730791	0.0531372	1.0577227
200	0.4682750	0.2975722	0.8117676	0.5758682	1.0127118	0.6005653	0.9618364	1.0259692	0.0364747	1.0238247
250	0.4303844	0.3025160	0.7599044	0.5612438	1.0041458	0.5494300	0.8365090	0.9197001	0.0365827	1.0317911
300	0.4664449	0.2948742	0.8301523	0.5002983	1.0545149	0.5517641	0.8412015	0.9297894	0.0267671	0.9522000
350	0.4771885	0.2837128	0.8703350	0.4725868	0.9993020	0.5152925	0.8533097	0.9953090	0.0380446	0.9327145
400	0.4182201	0.2600925	0.8780990	0.4884902	0.9647346	0.5317645	0.9025522	0.9985507	0.0382695	1.0595297
450	0.4565529	0.2654153	0.8680557	0.5098852	0.9709687	0.4683446	0.7832104	0.9434846	0.0232319	1.0923891
500	0.4140768	0.2786583	0.8699004	0.4330581	1.0688897	0.3911718	0.8478852	1.0051427	0.0236430	1.0690592
550	0.3093879	0.3331522	0.9327689	0.4865258	1.1348179	0.4775367	0.9047944	0.9846436	0.0321522	0.9546079
600	0.1754824	0.3859243	0.9232812	0.6289454	1.0845538	0.5154483	0.9632540	0.9507986	0.0626848	0.8933102
650	0.1193101	0.3350108	0.9105105	0.5636963	1.0510569	0.5280782	0.9280021	1.1162673	0.1081642	0.8762372
700	0.1097328	0.3015145	0.9598853	0.5234609	0.9508323	0.4809117	0.9624077	1.0342710	0.1434643	0.9888024
750	0.0748864	0.2636851	0.8720686	0.5912177	0.9523047	0.5053740	0.8290637	0.9671603	0.1217608	0.9642400
800	0.0758426	0.2396528	0.7522701	0.5709115	0.9935656	0.5476833	0.8298597	0.9190434	0.1312044	0.9020426
850	0.0591165	0.2151287	0.8084923	0.5928909	0.9657706	0.4780679	0.8281733	1.1144369	0.1507354	0.9320129
900	0.0479059	0.1894176	0.8338226	0.5387938	0.9027193	0.4679206	0.8443231	0.9681896	0.1208649	1.0511790
950	0.0617697	0.2123141	0.8646705	0.5262936	1.0027193	0.4098328	0.8735957	1.0401922	0.1011929	0.9823425
1000	0.0604483	0.3035348	0.8931640	0.5080536	0.9385525	0.4796002	0.8866927	0.9762129	0.0884248	1.0207991

0	0.0562652	0.2746041	0.8164625	0.5971284	0.9142820	0.5751559	0.8534816	0.9655654	0.0884120	0.9276495
50	0.0798197	0.2529618	0.5192776	0.6057127	1.0958408	0.4789538	0.8462396	1.0139520	0.1422283	1.0373060
100	0.0767993	0.2039794	0.2681114	0.6436997	0.9848463	0.5975185	0.8811125	0.9339398	0.1007720	1.0334331
150	0.0472850	0.1743560	0.1200512	0.5600009	1.0824423	0.7032914	0.9072300	1.0077029	0.1085291	0.9865193
200	0.0399529	0.1145016	0.0844172	0.6071844	0.9162865	0.6700036	0.7959704	1.0015200	0.1199693	1.0485990
250	0.0326297	0.1000787	0.0623506	0.4870444	1.0145775	0.5698350	0.7925221	0.9553192	0.1128262	0.9816136
300	0.0662998	0.0545327	0.0532269	0.5288766	1.0394410	0.5783628	0.7575312	0.9357612	0.1096719	0.9557196
350	0.0439175	0.0525424	0.0375857	0.5742944	1.0415545	0.5736212	0.8473414	0.8968451	0.0887979	0.9220213
400	0.0394741	0.0550422	0.0627994	0.4631972	1.0649039	0.5530287	0.8582064	0.8539127	0.0667469	0.9920561
450	0.0540216	0.0379469	0.0953991	0.5362922	1.0276212	0.6050140	0.8079571	0.9052695	0.0604444	1.0187943
500	0.0480586	0.0385682	0.0915884	0.5791101	0.9892208	0.5276280	0.7934913	0.9051044	0.0725961	1.0021124
550	0.0100429	0.0764875	0.3670287	0.5159437	0.9861032	0.4929935	0.8041732	0.9133684	0.1033616	0.9771936
600	0.0291652	0.1459079	0.7020064	0.5395845	1.0129567	0.4324673	0.8152072	0.8927368	0.1201544	0.9526238
650	0.0441745	0.2218833	0.8414998	0.5818997	1.0036915	0.5397954	0.8919229	1.0182611	0.1369246	1.0598808
700	0.0300064	0.2129255	0.8001886	0.5376142	0.8585867	0.5847086	0.8973217	0.9753781	0.1029141	0.9819326
750	0.0636253	0.2917730	0.7766975	0.6440036	0.9662732	0.5980425	0.9282008	0.9685548	0.0995062	1.0069079
800	0.0580442	0.2850208	0.7689456	0.5436179	0.9972587	0.5370042	0.9009201	1.0500777	0.1214685	1.0337369
850	0.0457388	0.2812855	0.9369490	0.5407619	0.8858626	0.5818796	0.9282070	1.0227461	0.1264155	0.9823606
900	0.0380673	0.2503400	0.9280021	0.4524479	0.9370741	0.5791865	0.9104628	0.9061462	0.1207712	1.0194710
950	0.0620943	0.3207482	0.8353330	0.5100824	0.9608953	0.5286011	0.9305934	0.8354879	0.1150432	1.0306310
1000	0.0453231	0.2999132	0.9358718	0.5216702	0.9269788	0.5401180	0.9106925	0.9210186	0.0725290	1.0012951

0	0.0562652	0.2746041	0.8164625	0.5971284	0.9142820	0.5751559	0.8534816	0.9655654	0.0884120	0.9276495
50	0.0356569	0.2167137	0.8611090	0.6709250	0.8761460	0.5569616	0.8677747	0.9710639	0.1065508	1.0125641
100	0.0309556	0.1023583	0.7333545	0.7620828	0.9424541	0.5364390	0.8659022	1.0342185	0.1260062	0.9660092
150	0.0516153	0.0509931	0.6243317	0.8045073	1.0375165	0.5529101	0.8919104	0.9869726	0.1463593	0.9828706
200	0.0354705	0.0326935	0.5968909	0.9151149	1.0210481	0.5932478	0.9006944	0.9215939	0.1536315	0.9702390
250	0.0294780	0.0201399	0.5599007	0.7956165	1.0048521	0.5993515	0.9336019	0.9376764	0.1053586	0.9890895
300	0.0439600	0.0149992	0.5838189	0.8715332	0.9524908	0.6464706	0.8810426	0.8427826	0.0729991	0.9618971
350	0.0302971	0.0130227	0.5524190	0.8510330	1.0101116	0.5937593	0.9625154	1.0051173	0.1259110	1.0054949
400	0.0396240	0.0071375	0.5502759	0.8798459	0.9933672	0.5512656	0.9066232	1.0655603	0.1162927	0.9582871
450	0.0543791	0.0061992	0.5231059	0.9908181	0.8832700	0.5886254	0.8274164	0.9760262	0.0900828	0.9360842
