YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0277697	0.0061122	0.0333817	0.4329418	0.2067312	0.9090909	0.7611439	0.8398182	0.1711840	0.6355798
0.2107638	0.0722859	0.4563444	0.1649388	0.5859280	0.3668699	0.3600133	0.5058472	0.4994279	0.6497355
0.2355328	0.1348296	0.3101228	0.2401393	0.3726340	0.4797086	0.4745734	0.7233751	0.6442518	0.5719952
0.0001025	0.0283587	0.1601965	0.3110929	0.2826078	0.6365211	0.4559149	0.6967460	0.2906194	0.4354986
0.0008706	0.0048089	0.2140701	0.2292770	0.4104739	0.5551000	0.4133316	0.8296307	0.3864937	0.8059670
0.3054607	0.1205199	0.1606089	0.1899434	0.2281452	0.5637916	0.6124096	0.8911605	0.0648176	0.9319859
0.1194305	0.2135156	0.0515267	0.4806309	0.2038258	0.6238333	0.5389673	0.7736024	0.0556141	0.8106531
0.1607404	0.1332933	0.1613312	0.3856153	0.2454633	0.3421706	0.3459888	0.5984426	0.1189694	0.3987709
0.0001990	0.0144963	0.1398358	0.1656496	0.5587640	0.5124479	0.4792428	0.7875975	0.2719451	0.7386210
0.0353501	0.0704893	0.3046104	0.2474444	0.2519014	0.6006461	0.6646324	0.6797355	0.2326550	0.7605447
