"Time"	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W

0	0.9307782	0.1927378	0.1015406	1.1298790	0.4505727	0.6192521	0.3421495	0.0244950	0.6149145	0.3665054
50	0.8623089	0.2294675	0.0867282	1.0170598	0.4777657	0.4022536	0.2757161	0.0306547	0.5938177	0.3753309
100	0.7809167	0.2712061	0.1129957	1.0209584	0.3993535	0.3006952	0.1784926	0.0200577	0.5308780	0.3134852
150	0.7120169	0.3481458	0.1147709	0.9642921	0.3247819	0.2787886	0.1054020	0.0114094	0.6682782	0.3228155
200	0.7419615	0.3608561	0.1351658	1.0234710	0.2178550	0.2962964	0.1797049	0.0043020	0.6532265	0.2335061
250	0.6207191	0.4622666	0.1215251	0.9031580	0.2146309	0.3280095	0.2107193	0.0034716	0.7251026	0.1638533
300	0.6359919	0.4256063	0.1422588	1.0591640	0.2806288	0.2766253	0.2041007	0.0017312	0.8470972	0.2139385
350	0.5743648	0.4826385	0.1315606	0.9592243	0.2718952	0.2722047	0.2008982	0.0024487	0.8692610	0.2172518
400	0.5718260	0.5079844	0.1468654	0.9833459	0.3133027	0.2677923	0.1658650	0.0037089	0.8760051	0.1716562
450	0.4736595	0.4983907	0.1587134	0.9341966	0.2433067	0.3114454	0.2382203	0.0004729	0.8267251	0.1623605
500	0.5023527	0.5019795	0.2373736	0.9984767	0.2181068	0.2583741	0.2261093	0.0072487	0.8522711	0.1669813
550	0.5117661	0.5679101	0.2002314	1.0594911	0.2756792	0.3579828	0.4494837	0.0302811	0.8883180	0.1820894
600	0.5303830	0.5622520	0.1706678	1.1164733	0.4119604	0.4635975	0.6264693	0.0165407	0.8190841	0.2528383
650	0.4743813	0.4655052	0.1201286	1.0763905	0.4815143	0.4344176	0.5449512	0.0464616	0.7446665	0.2510047
700	0.5228362	0.3221604	0.0909332	0.9675627	0.4958606	0.4304053	0.4711735	0.0362136	0.7753746	0.2160135
750	0.6590849	0.2219823	0.0823407	1.0242089	0.5326537	0.4694571	0.4184628	0.0368544	0.7785052	0.2166172
800	0.8428261	0.1743502	0.0885206	0.9634970	0.4693816	0.5002499	0.4092224	0.0511773	0.8201577	0.1943402
850	0.9664978	0.1479390	0.1421487	0.9222377	0.4030607	0.5606933	0.4180067	0.0333262	0.9377257	0.2430377
900	0.7971843	0.1943918	0.1561232	0.9589984	0.4438192	0.5690627	0.4427004	0.0112655	0.8180231	0.2544141
950	0.7886835	0.3207764	0.1495966	0.9998761	0.4638284	0.5885665	0.3958388	0.0491194	0.8176595	0.2839885
1000	0.6752666	0.4017124	0.1223427	1.0237810	0.4341889	0.5578790	0.4495886	0.0327145	0.6662079	0.3615610

0	0.9307782	0.1927378	0.1015406	1.1298790	0.4505727	0.6192521	0.3421495	0.0244950	0.6149145	0.3665054
50	0.8432453	0.1883019	0.1249126	0.7103761	0.5177846	0.5314084	0.3888543	0.0303611	0.5725973	0.3214477
100	0.7976816	0.2653130	0.2122686	0.4196384	0.4836454	0.3349760	0.3054264	0.0344745	0.6212861	0.2947970
150	0.7458895	0.4162548	0.4108424	0.2170103	0.4715118	0.2915850	0.3015754	0.0305276	0.7216479	0.1946095
200	0.6324337	0.7513416	0.4118291	0.1465622	0.3638993	0.2971309	0.4124980	0.0154699	0.7556387	0.1279783
250	0.4635320	0.9031000	0.4307207	0.0982245	0.4145815	0.2539546	0.5213047	0.0370664	0.9145443	0.1239353
300	0.3358055	0.8807230	0.5033606	0.0734184	0.5144803	0.1861837	0.5288521	0.0366370	0.8943544	0.1056531
350	0.2942749	0.9082116	0.4897436	0.0328754	0.5497129	0.1837841	0.4023053	0.0387406	0.9928049	0.1134898
400	0.2714258	0.9336472	0.4550801	0.0300052	0.4968598	0.1887736	0.3660587	0.0305172	0.9477693	0.1351426
450	0.2800619	0.9282400	0.4502433	0.0496917	0.4881192	0.2888498	0.3825522	0.0406497	0.8809569	0.1474605
500	0.2789716	0.8488787	0.3776385	0.0413562	0.5441090	0.2714739	0.3493214	0.0362063	0.9176455	0.1607753
550	0.2638902	0.8002559	0.4056051	0.3283268	0.5241106	0.3159151	0.4154552	0.0355285	0.8136942	0.1754541
600	0.2819857	0.8853205	0.3762880	0.6570467	0.4306464	0.4367257	0.3779236	0.0251866	0.8847831	0.1872061
650	0.3183763	0.8440348	0.2407073	0.8997615	0.4404431	0.5436227	0.4280099	0.0285702	0.8312883	0.2072988
700	0.3028647	0.7724475	0.2433307	0.9471515	0.4444229	0.5801225	0.3647778	0.0247717	0.7055734	0.2854435
750	0.3723501	0.6941207	0.1767484	0.9731425	0.3902563	0.5580624	0.4203398	0.0256833	0.7164913	0.2480777
800	0.3921836	0.5350913	0.1389564	0.9348176	0.4752676	0.5641135	0.4905354	0.0358863	0.7117582	0.2900678
850	0.4060812	0.4003850	0.1069028	0.9239360	0.4528087	0.4870439	0.3836331	0.0195057	0.6693607	0.3186134
900	0.4407013	0.2663585	0.1013332	1.0461308	0.4803776	0.5106036	0.4152407	0.0342981	0.6349353	0.2801747
950	0.6625801	0.2213252	0.1032853	0.9957239	0.3818110	0.5250055	0.4761133	0.0364201	0.6637354	0.2382050
1000	0.6347468	0.1936957	0.1338472	1.0085080	0.4513657	0.5507924	0.4702420	0.0364067	0.6427779	0.2786375

0	0.9307782	0.1927378	0.1015406	1.1298790	0.4505727	0.6192521	0.3421495	0.0244950	0.6149145	0.3665054
50	0.9650633	0.1131254	0.0946485	0.8519218	0.4120671	0.5346227	0.5418686	0.0276376	0.5284809	0.4059285
100	0.8837516	0.1599361	0.1642179	0.6808095	0.5020076	0.5294447	0.5672638	0.0310440	0.5229906	0.3787347
150	0.8370588	0.2855950	0.2231329	0.5657507	0.4943847	0.5250956	0.3875066	0.0369662	0.5404975	0.3984521
200	0.7193118	0.5081861	0.3480671	0.5963729	0.4754768	0.5893880	0.3603492	0.0253684	0.4941604	0.4133256
250	0.4597813	0.7146867	0.3299413	0.5510039	0.4603063	0.5946655	0.3882448	0.0290982	0.5395357	0.4375445
300	0.4259371	0.8615146	0.3177391	0.5984056	0.4617595	0.5875571	0.4074324	0.0210525	0.4697245	0.3815551
350	0.3748904	0.7923955	0.3204238	0.5683974	0.4678633	0.5997848	0.4290194	0.0254546	0.5156621	0.4501717
400	0.4015161	0.8283303	0.3933667	0.5366145	0.4692805	0.5108409	0.4032116	0.0270034	0.4407845	0.3496634
450	0.3428322	0.8085293	0.3936157	0.5608657	0.4769104	0.5396993	0.3986952	0.0356990	0.5045246	0.4045589
500	0.2969783	0.8420418	0.3252108	0.6213772	0.4423484	0.4930035	0.3966811	0.0215691	0.4076594	0.3577969
550	0.2741432	0.8533379	0.3001568	0.7351186	0.5086123	0.5216597	0.4505878	0.0186092	0.5561098	0.3108080
600	0.3215297	0.7579754	0.2591201	0.9399132	0.4410815	0.5680337	0.4423639	0.0349916	0.6115328	0.3035603
650	0.4084753	0.6967023	0.2008184	1.0200216	0.4972412	0.6176170	0.4654852	0.0568283	0.6561372	0.3181949
700	0.4365484	0.6073966	0.1387188	1.0019101	0.5255709	0.5710648	0.3467270	0.0282693	0.6464247	0.3374255
750	0.4637002	0.5297141	0.1575226	1.0708926	0.4688355	0.5440919	0.3604578	0.0330650	0.5746588	0.3218964
800	0.4380872	0.4112155	0.1165530	1.0923594	0.4702283	0.5659024	0.5001936	0.0189484	0.5709656	0.3101775
850	0.6129868	0.3234605	0.1147434	1.0295257	0.4465555	0.6114828	0.4139285	0.0165187	0.5594227	0.3758796
900	0.6902303	0.2110519	0.0929587	1.0089455	0.4449378	0.6173053	0.4408905	0.0394655	0.5638784	0.3951772
950	0.7341562	0.1614050	0.0877136	0.9993057	0.4455467	0.5852965	0.4615901	0.0334608	0.5214199	0.3332978
1000	0.8623264	0.1756617	0.1264360	1.0819074	0.5202576	0.4551595	0.4728906	0.0358048	0.5628578	0.3276672

0	0.9307782	0.1927378	0.1015406	1.1298790	0.4505727	0.6192521	0.3421495	0.0244950	0.6149145	0.3665054
50	0.7026407	0.1113175	0.1004844	0.9537923	0.4272453	0.5454003	0.4357298	0.0090085	0.4021218	0.3330197
100	0.4501143	0.1329551	0.1131205	0.9253898	0.4520997	0.5112453	0.4694520	0.0078809	0.2472481	0.2606114
150	0.3352568	0.1754786	0.1772779	0.8911297	0.4168815	0.5637354	0.4347789	0.0037546	0.1968786	0.2583789
200	0.3257077	0.2911273	0.2104389	0.8640703	0.4540916	0.4491033	0.4415546	0.0006493	0.1824636	0.3286324
250	0.2871681	0.4073123	0.1658593	1.0187536	0.4675859	0.4801099	0.4829498	0.0068866	0.1572658	0.2526308
300	0.2531684	0.3820098	0.1346073	0.9918253	0.4852940	0.5418766	0.4781229	0.0027809	0.1623949	0.3245772
350	0.2871728	0.3206515	0.1263923	1.1016901	0.4989653	0.5619176	0.4967760	0.0063586	0.1565518	0.3386019
400	0.2867990	0.2559031	0.0903654	0.9682800	0.5402452	0.5678980	0.4441475	0.0049517	0.1371697	0.3577853
450	0.3087002	0.2540245	0.1085808	1.0162395	0.5287452	0.6224456	0.3448460	0.0015959	0.1264147	0.2985298
500	0.2751697	0.2458095	0.1314483	1.0300836	0.4531517	0.6659971	0.3572656	0.0104353	0.1316724	0.3826436
550	0.5420588	0.1586880	0.1117418	1.0074849	0.4752756	0.6044276	0.3801920	0.0170729	0.3187635	0.3554051
600	0.7363361	0.1229058	0.0916064	1.0528364	0.5276368	0.6287781	0.4109331	0.0316548	0.5047868	0.3068847
650	1.0465109	0.1158322	0.1082325	1.0785041	0.4797487	0.6160613	0.3724488	0.0293535	0.5644924	0.3212338
700	1.0011519	0.1901321	0.1167899	1.1174673	0.4791866	0.6559076	0.4269654	0.0349811	0.6565731	0.3506085
750	0.9122040	0.2183549	0.0787422	0.9678024	0.5272183	0.6298182	0.3940481	0.0357119	0.6599989	0.3563824
800	0.8091895	0.1883666	0.1042712	1.0064013	0.4418877	0.5418275	0.4355464	0.0223946	0.5598155	0.3671846
850	0.8503415	0.1952400	0.0815002	1.0974014	0.4159884	0.5025751	0.4658574	0.0279776	0.5223775	0.3442438
900	0.7670462	0.1754198	0.1047722	1.1762494	0.4320785	0.5372710	0.5057883	0.0270268	0.5273990	0.2752853
950	0.8419740	0.1258694	0.0635172	1.1007852	0.4875063	0.5639734	0.5193673	0.0174695	0.5539124	0.2948395
1000	0.9558509	0.0884643	0.0866024	0.9462546	0.4789389	0.5613740	0.4557553	0.0313382	0.6054127	0.3028877

0	0.9307782	0.1927378	0.1015406	1.1298790	0.4505727	0.6192521	0.3421495	0.0244950	0.6149145	0.3665054
50	0.8215728	0.4093786	0.0779737	0.9744953	0.4992735	0.6178476	0.4526365	0.0247092	0.4086824	0.4118328
100	0.6654128	0.6161719	0.0866879	1.1065815	0.4826716	0.5843621	0.4095121	0.0389473	0.3207325	0.4090872
150	0.5075653	0.8209652	0.0731814	1.1743672	0.5239384	0.4966299	0.3775163	0.0559606	0.2297885	0.3967810
200	0.3480915	0.8861876	0.0717034	1.0924686	0.4665557	0.5619295	0.4172427	0.0652866	0.2510285	0.3715382
250	0.2931204	0.9017988	0.0768198	1.0203710	0.4553460	0.5686813	0.4802140	0.0662133	0.2714575	0.3423662
300	0.2801409	0.9070864	0.1363544	1.0393318	0.5518590	0.4888823	0.4220569	0.0496837	0.2785929	0.3686346
350	0.2844907	0.8938695	0.1255206	1.0084753	0.5742236	0.4820179	0.3433966	0.0459959	0.2807317	0.2778166
400	0.3336732	0.9234476	0.0807508	0.9867575	0.4335909	0.5475862	0.2595076	0.0355023	0.2924292	0.2823500
450	0.3490553	0.9075837	0.1009748	0.9361759	0.3799393	0.6849551	0.3735039	0.0680878	0.3115814	0.2952649
500	0.2946327	0.8474712	0.1524380	0.9965659	0.4022509	0.6216313	0.5489969	0.0448163	0.2746544	0.3905478
550	0.3535836	0.7097155	0.1403164	0.9473802	0.4768979	0.5307543	0.4718484	0.0462165	0.3668336	0.3838721
600	0.3675213	0.5540176	0.1327455	0.9067718	0.5715008	0.5104853	0.3862447	0.0264004	0.4735282	0.3406639
650	0.4999376	0.3988058	0.1143576	0.8741075	0.5149662	0.5613819	0.2986398	0.0486366	0.5489807	0.2826950
700	0.6041820	0.2864888	0.1317880	0.8905268	0.4393705	0.5989900	0.4307283	0.0723530	0.5661331	0.3507722
750	0.6925048	0.3669367	0.1573337	0.9252256	0.4161815	0.5798483	0.4812227	0.0597916	0.5708954	0.3617109
800	0.7028037	0.3504483	0.1619340	0.9892977	0.4057346	0.6310322	0.4659843	0.0297688	0.5906724	0.3637380
850	0.7355299	0.3495608	0.0901863	1.0200497	0.4804566	0.5615277	0.4743876	0.0273847	0.5021507	0.3287533
900	0.7915200	0.2171147	0.1084588	0.9711283	0.4390460	0.5286988	0.4711882	0.0289065	0.5083837	0.3403670
950	0.8797818	0.2412465	0.1169995	1.0045462	0.4492483	0.5151173	0.4730501	0.0438300	0.5774340	0.3360654
1000	0.8433300	0.2755670	0.1233711	1.0494068	0.4621593	0.4966915	0.4056928	0.0258190	0.6218969	0.3055016

0	0.9307782	0.1927378	0.1015406	1.1298790	0.4505727	0.6192521	0.3421495	0.0244950	0.6149145	0.3665054
50	0.8629051	0.1323440	0.1180856	0.9727209	0.4329447	0.4676921	0.4464490	0.0356908	0.5087796	0.3696250
100	0.8591607	0.1779018	0.1417947	1.0311935	0.5181676	0.3367524	0.4797507	0.0240518	0.5678383	0.2976412
150	0.8108399	0.2802608	0.1155147	1.0419464	0.5534383	0.2567760	0.4160668	0.0247375	0.6046167	0.2250758
200	0.7940111	0.2845148	0.1317042	1.0852241	0.5712905	0.2315327	0.3709847	0.0104084	0.7606793	0.1662220
250	0.7687380	0.2644214	0.1328294	1.0075542	0.5224277	0.2899590	0.3034721	0.0226583	0.9065922	0.1194047
300	0.7639932	0.2221617	0.1074947	0.9804034	0.4824542	0.2835899	0.3395674	0.0393795	0.9901277	0.1428062
350	0.8386515	0.2053298	0.1500024	1.0552213	0.4064369	0.2478316	0.3201624	0.0328119	0.9945354	0.1632006
400	0.8776456	0.2574234	0.1485389	1.0065982	0.3961549	0.2797328	0.4060947	0.0193069	0.9059820	0.1504408
450	0.7346233	0.3441316	0.1524942	0.9873835	0.4167285	0.2292847	0.4838763	0.0249652	0.8758857	0.1040303
500	0.7226624	0.4944890	0.2219095	0.9475572	0.4662689	0.2358973	0.5188925	0.0287804	0.8949943	0.0983151
550	0.5846223	0.5150157	0.2940571	1.0300819	0.4535853	0.2805282	0.6090421	0.0163566	1.0187184	0.1162144
600	0.4461284	0.6225079	0.2279653	1.1292560	0.5017109	0.3623468	0.4422983	0.0269168	0.9466827	0.1070054
650	0.5644447	0.5132547	0.1897125	1.0885039	0.5441616	0.5257719	0.3796050	0.0204630	0.8817515	0.2134134
700	0.5112922	0.4889547	0.1523122	1.0393518	0.4815847	0.6318113	0.3657144	0.0166766	0.7944677	0.3178604
750	0.4718204	0.4107393	0.1127558	1.0626311	0.4474590	0.6364902	0.3776723	0.0249548	0.7702676	0.3000815
800	0.6618380	0.2411493	0.0943971	1.0035725	0.3989782	0.5949337	0.4750392	0.0185861	0.6561319	0.3541244
850	0.7389215	0.1922520	0.1333739	0.9829593	0.4592373	0.5888968	0.4540387	0.0263518	0.5839547	0.3340096
900	0.8161811	0.2411174	0.1150040	0.9816406	0.4911053	0.6354282	0.3901437	0.0194940	0.5636610	0.4121527
950	0.8662565	0.2377543	0.1143424	0.9161858	0.4856885	0.6455705	0.3535039	0.0283926	0.5155408	0.3598875
1000	0.8132527	0.2500610	0.1252141	0.9547945	0.4793503	0.5784163	0.3956472	0.0299666	0.5153798	0.3455138

0	0.9307782	0.1927378	0.1015406	1.1298790	0.4505727	0.6192521	0.3421495	0.0244950	0.6149145	0.3665054
50	0.6424881	0.1387030	0.0375692	1.0457222	0.4651208	0.3975892	0.4712469	0.0063667	0.5805911	0.3110771
100	0.4573468	0.0836173	0.0153438	1.0881775	0.5402678	0.2170767	0.4295927	0.0015718	0.5949709	0.2695974
150	0.3034671	0.0293948	0.0040223	0.9914681	0.4675685	0.0988111	0.3620318	0.0001305	0.7679948	0.1752094
200	0.2905222	0.0228767	0.0008136	1.0344629	0.4391966	0.0489361	0.4409476	0.0015804	0.8429395	0.1086548
250	0.3229960	0.0151522	0.0008576	1.1054693	0.4956529	0.0340003	0.5365208	0.0054887	0.8961068	0.1079277
300	0.2851040	0.0062289	0.0026730	1.0126175	0.4569074	0.0216051	0.4766396	0.0061408	0.9245845	0.1095497
350	0.3362641	0.0153909	0.0066448	0.9888402	0.4721188	0.0383537	0.4730433	0.0037008	0.9505930	0.0787790
400	0.3812910	0.0148150	0.0046869	1.0149387	0.5421325	0.0174786	0.4741975	0.0010892	0.9943331	0.0804099
450	0.2901329	0.0077502	0.0060352	1.0332675	0.5450037	0.0153462	0.3462461	0.0011929	0.9921419	0.0899992
500	0.2342627	0.0052711	0.0144617	0.9632024	0.5033272	0.0249395	0.2779619	0.0036288	0.9881578	0.0757589
550	0.6074597	0.0545330	0.1821790	0.9702885	0.4714340	0.2296163	0.3173676	0.0038217	0.9978579	0.0819166
600	0.8957554	0.3227968	0.2304956	0.9806275	0.4432148	0.4606334	0.4145395	0.0204404	0.9436463	0.1352200
650	0.7724361	0.5100934	0.2119480	1.0703774	0.4382596	0.4485429	0.4484933	0.0211939	0.9314143	0.2001586
700	0.6516067	0.4904048	0.1298098	1.0546082	0.4103582	0.5275758	0.4416196	0.0133652	0.8746015	0.2307706
750	0.5746892	0.5047147	0.1232927	0.8999923	0.3930398	0.5710513	0.4652351	0.0374524	0.7814514	0.2531680
800	0.5723680	0.3404044	0.1526863	0.8683761	0.5352785	0.5559744	0.4511826	0.0430542	0.7251789	0.3355282
850	0.6272851	0.3148677	0.1557847	0.9275317	0.4879142	0.6012932	0.3925330	0.0284977	0.6648774	0.3651272
900	0.6561407	0.3712783	0.1649371	0.9761612	0.4797569	0.5338217	0.3606073	0.0573773	0.5641675	0.3499640
950	0.6617122	0.4041541	0.1715998	0.8862265	0.4582031	0.6398379	0.4156310	0.0337133	0.5807021	0.3768612
1000	0.5739366	0.3089922	0.1469816	0.9723121	0.3986814	0.5201095	0.4414180	0.0420853	0.5511061	0.3475720

