YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.0555744	0.9016230	0.2112958	0.3023829	0.4857279	0.6350398	0.1521014	0.3480126	0.7707605	0.6092606
0.1764853	0.7900809	0.5918534	0.3882246	0.4338814	0.6984701	0.1357622	0.3993878	0.7336467	0.6520735
0.1537201	0.7540389	0.4753514	0.3072927	0.5015425	0.7045592	0.1948841	0.3410204	0.8199462	0.6891501
0.2007586	0.6649212	0.4701798	0.4101531	0.3708023	0.7108047	0.5230812	0.1215852	0.7264103	0.6752947
0.1629710	0.7011387	0.5593389	0.2678295	0.3706041	0.7756025	0.2459858	0.2672143	0.7365923	0.3707515
0.1051591	0.7112157	0.6243869	0.3426318	0.3035882	0.5408688	0.2270525	0.2856189	0.6596841	0.6479008
0.0160755	0.6991405	0.4989560	0.3153372	0.5354228	0.8538256	0.0898954	0.3835419	0.5815497	0.7770314
0.1272990	0.7740137	0.3523854	0.2658481	0.4865774	0.7647464	0.0981783	0.3406349	0.8016272	0.5363442
0.1953614	0.6625182	0.6156267	0.3766705	0.3675136	0.4187256	0.2099531	0.3012062	0.6924155	0.7372036
0.1167708	0.7433958	0.5066177	0.3522694	0.5156672	0.7992023	0.3218884	0.2323386	0.7772455	0.5264651
