"Time"	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
400	0.4592949	0.7314260	0.2441447	0.0823586	0.2412699	0.4237716	0.9437266	0.3212398	0.6370208	0.4066426
450	0.3328031	0.7965693	0.3166019	0.0747349	0.2456935	0.3920327	0.8784319	0.3046058	0.7049913	0.3896604
500	0.2974265	0.7285292	0.4292547	0.0795443	0.1828409	0.3690112	0.9194563	0.2995565	0.6640845	0.5056509
550	0.3007536	0.6625809	0.7162428	0.0668253	0.1719555	0.3960701	0.8754302	0.3608573	0.6350844	0.5370721
600	0.2824290	0.5254458	0.7679139	0.1197861	0.2023726	0.4103333	0.9240350	0.3036682	0.5421404	0.5940482
650	0.3858152	0.4683427	0.5996359	0.1247941	0.1991092	0.4892619	0.8093973	0.3413364	0.4066220	0.6563106
700	0.4785584	0.4597391	0.6241658	0.1502069	0.2222431	0.4437664	0.7472168	0.3116512	0.4639482	0.5801872
750	0.5100067	0.4553199	0.6356965	0.0909387	0.2140202	0.4490831	0.8760450	0.2679478	0.4583481	0.4651025
800	0.5523620	0.4427313	0.5418283	0.1475279	0.2434082	0.4715723	1.0188083	0.2422591	0.5027459	0.3699110
850	0.5476258	0.4837350	0.4706097	0.1540814	0.1857109	0.4056499	1.0334985	0.2022936	0.6364610	0.3633564
900	0.5328272	0.5045257	0.4507754	0.1294845	0.2345230	0.4037439	0.9693877	0.1818643	0.6866850	0.3298018
950	0.4833159	0.5371316	0.4053296	0.1184292	0.1925595	0.4584358	1.0300351	0.2962479	0.7516111	0.3346714
1000	0.3909344	0.6213092	0.3564823	0.1270756	0.1870442	0.4130137	0.9695777	0.2268200	0.8174174	0.4043865

0	0.6591946	0.4809636	0.4495238	0.1336238	0.2294961	0.4177404	1.0892630	0.2647102	0.7321969	0.3759237
50	0.4184581	0.5545246	0.6184305	0.0697558	0.1847639	0.3492186	0.6008306	0.4104806	0.7188917	0.3862093
100	0.4564699	0.4658619	0.6636281	0.0498577	0.1906680	0.3282530	0.5253102	0.3415637	0.7405214	0.4292291
150	0.5470878	0.4345860	0.7780176	0.0549126	0.1844153	0.4064654	0.4993274	0.3836293	0.7689020	0.4391453
200	0.6351444	0.3568870	0.8568418	0.0716343	0.1856773	0.4773619	0.4772705	0.3742060	0.7367742	0.3967883
250	0.6629031	0.3230237	0.7905430	0.0833144	0.2519682	0.4741026	0.5390328	0.3227714	0.7284532	0.4146149
300	0.7266659	0.2834668	0.6327128	0.1955835	0.2557240	0.4787831	0.5436073	0.2614067	0.7424065	0.3092461
350	0.7006415	0.3567271	0.4455620	0.1427678	0.1950570	0.4814318	0.5825951	0.2903567	0.7842944	0.3311753
400	0.6541239	0.4790662	0.4973137	0.1036693	0.1959323	0.5415197	0.5672678	0.2866620	0.8861406	0.3233632
450	0.6466910	0.4380850	0.5759628	0.1565897	0.2106422	0.4543797	0.5941752	0.2423822	0.8522669	0.3280564
500	0.5317503	0.4886070	0.4556031	0.1415367	0.2077333	0.5181697	0.6028490	0.2734518	0.9302855	0.3758032
550	0.5771854	0.5921969	0.4661246	0.1016068	0.2370954	0.5513028	0.8950648	0.2690765	0.8959158	0.3554579
600	0.4906922	0.5405708	0.4810559	0.1202728	0.2069316	0.5252565	0.9055899	0.2809880	0.8497986	0.3157482
650	0.4501206	0.5518734	0.5679255	0.2127643	0.2732405	0.4891227	0.8991752	0.2065033	0.8992835	0.4817249
700	0.3859484	0.5041561	0.3532784	0.3578930	0.2789703	0.4873202	0.8934160	0.1656157	0.8351733	0.4330406
750	0.4616046	0.5914132	0.1978024	0.3862671	0.2311647	0.4572622	0.9552772	0.1438602	0.7338451	0.4355195
800	0.4654670	0.7465096	0.1796771	0.2769475	0.2584195	0.4702791	0.9337858	0.1443071	0.7466703	0.3946424
850	0.3836761	0.8390401	0.1307588	0.2631051	0.2468086	0.5665270	0.8114648	0.1622545	0.7426836	0.4473609
900	0.2500422	0.9288267	0.1845519	0.1828535	0.2055778	0.4566093	0.8661384	0.1772520	0.7660888	0.4606066
950	0.1898098	0.9226127	0.3329491	0.1186567	0.2021786	0.4645104	0.8914912	0.2258425	0.7039407	0.5451166
1000	0.2523525	0.8346967	0.4707742	0.1072172	0.1941646	0.4321111	0.9373100	0.2372878	0.5278287	0.6593705

0	0.6591946	0.4809636	0.4495238	0.1336238	0.2294961	0.4177404	1.0892630	0.2647102	0.7321969	0.3759237
50	0.3739748	0.6217567	0.5292107	0.1270759	0.1745525	0.3657733	0.9016139	0.2918059	0.7969740	0.4225040
100	0.4376299	0.5761313	0.5611122	0.0855290	0.1837918	0.3789156	0.9914419	0.3028372	0.8077703	0.4062926
150	0.4360658	0.5787325	0.7660006	0.0538281	0.1983053	0.4194931	0.8919672	0.3871147	0.7850586	0.4791802
200	0.4062964	0.4283590	0.8540497	0.0953358	0.1959445	0.4317568	0.7925362	0.3527981	0.7646756	0.4600884
250	0.5071662	0.3523922	0.7849836	0.0907875	0.1747900	0.4925518	0.8575117	0.3391935	0.7034269	0.4895990
300	0.6088608	0.3685521	0.6779782	0.1316619	0.1891016	0.5194672	0.9126199	0.2721309	0.6443484	0.4940946
350	0.6573563	0.4068501	0.5734056	0.1158725	0.2208153	0.4375255	0.9590165	0.2820641	0.6122454	0.4364482
400	0.7454077	0.4272177	0.4822459	0.1409759	0.2298063	0.4367310	0.9068790	0.2607778	0.7277628	0.3688946
450	0.6274257	0.4971095	0.4604988	0.0815899	0.1932815	0.3803571	0.9056960	0.2847585	0.7496848	0.3156875
500	0.5591117	0.5467868	0.4925755	0.0906133	0.1931463	0.3955024	0.9486872	0.2693638	0.8096106	0.3275561
550	0.5183043	0.5582924	0.5797388	0.0871610	0.2153566	0.4334173	0.8202533	0.2888045	0.8567323	0.3314115
600	0.4323084	0.4885082	0.6251451	0.1021690	0.2138993	0.4467728	0.8484121	0.2506845	0.9228621	0.3766486
650	0.4725760	0.4521140	0.6884566	0.0787716	0.2099801	0.4488964	0.9444803	0.2674765	0.7218752	0.4627059
700	0.6125084	0.4359877	0.7514643	0.0988285	0.1846086	0.4265034	0.8868512	0.2881333	0.7061117	0.4589751
750	0.6867981	0.3413285	0.7002859	0.1442042	0.1871117	0.4519284	0.8874899	0.2642447	0.6494028	0.3965554
800	0.6703222	0.3744118	0.5116221	0.0871988	0.1822244	0.4649189	0.8914059	0.3600900	0.7308640	0.2862135
850	0.6315364	0.4404597	0.5496750	0.0739113	0.1932080	0.3844010	0.9065767	0.4098257	0.8196815	0.2902595
900	0.6479623	0.4550976	0.7074520	0.0898582	0.2037820	0.4312048	0.7969642	0.3365449	0.8878465	0.2919748
950	0.6247855	0.4339298	0.7066949	0.0844063	0.1837322	0.4180097	0.8464392	0.3043279	0.9257706	0.3432293
1000	0.5978053	0.4142643	0.6876502	0.0924798	0.2173430	0.4060121	0.8297688	0.3063389	0.8940286	0.2963756

0	0.6591946	0.4809636	0.4495238	0.1336238	0.2294961	0.4177404	1.0892630	0.2647102	0.7321969	0.3759237
50	0.3381103	0.5287507	0.2082691	0.3615793	0.1564667	0.4802302	0.8245454	0.3726433	0.8059292	0.3686609
100	0.2608376	0.6682710	0.0677195	0.4342683	0.2365328	0.4890850	0.7151843	0.3443005	0.7790307	0.4686215
150	0.2268025	0.8241188	0.0346570	0.5454359	0.2405167	0.5501983	0.7483602	0.3221817	0.7502412	0.5246120
200	0.1281703	0.9500476	0.0216618	0.5092602	0.2441354	0.5589921	0.6799702	0.2164037	0.5617881	0.4323145
250	0.0796843	0.9526134	0.0087935	0.6042164	0.2472260	0.5416202	0.7297535	0.2564443	0.5981093	0.3439375
300	0.0477987	1.0354427	0.0037550	0.6454504	0.2618515	0.4786034	0.7452378	0.1885450	0.7784537	0.2273821
350	0.0483067	1.1129611	0.0018697	0.6279915	0.2275917	0.4912318	0.8803371	0.1801302	0.8150006	0.1622246
400	0.0427383	1.0150223	0.0098045	0.6263649	0.2384460	0.4899060	0.9399413	0.1869750	0.9359535	0.1604808
450	0.0391966	1.0109392	0.0047739	0.5845391	0.2508201	0.4517429	0.8616705	0.1844332	0.9553272	0.1454453
500	0.0324830	1.1229314	0.0029647	0.6258743	0.2532471	0.4557908	0.7942743	0.2047068	1.0225141	0.1400348
550	0.1077368	1.0257615	0.0435497	0.2886252	0.2389245	0.4813600	0.8203760	0.2041197	0.9500794	0.1062780
600	0.1755544	0.9671396	0.0735318	0.1564781	0.2414208	0.4856066	0.9362364	0.1697724	1.0487128	0.2267697
650	0.1990053	0.9871667	0.1806479	0.1992345	0.2551055	0.5056731	0.9475496	0.1658741	0.9123353	0.4186955
700	0.1802821	0.9690771	0.1805556	0.2122865	0.1944234	0.3724875	0.9794987	0.1820039	0.8126882	0.6029059
750	0.1765056	0.9643171	0.2884299	0.1509062	0.2111405	0.4109688	1.0398019	0.1947780	0.6240459	0.5961435
800	0.1741601	0.9479652	0.3326382	0.1249138	0.2153612	0.4606437	0.9989987	0.2252872	0.5073219	0.6310896
850	0.2403778	0.8594932	0.3292722	0.2122894	0.2335406	0.4525561	1.0227979	0.1754077	0.4163237	0.6364972
900	0.2535334	0.8437323	0.2837316	0.1465817	0.2550037	0.4457794	1.0372885	0.2286206	0.3818233	0.6387239
950	0.1981371	0.8397014	0.3401685	0.1850070	0.1952956	0.4070874	0.9302900	0.2305708	0.3024515	0.6919955
1000	0.2442631	0.7335529	0.3585282	0.1592544	0.1818987	0.3623226	1.0091528	0.2394227	0.2614615	0.7687354

0	0.6591946	0.4809636	0.4495238	0.1336238	0.2294961	0.4177404	1.0892630	0.2647102	0.7321969	0.3759237
