YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.2555173	0.1339635	0.3003158	0.4988500	0.0710500	0.1817723	0.6302964	0.5463856	0.1343442	0.6822285
0.5502562	0.3397517	0.4870812	0.0909182	0.2027962	0.3114092	0.5428910	0.1856715	0.2540806	0.4812519
0.4227008	0.4766817	0.7424640	0.0113648	0.3262448	0.2613784	0.7622538	0.2237164	0.2781123	0.7954150
0.6776224	0.4848108	0.5041607	0.0734708	0.3447566	0.1426071	0.7776188	0.1209256	0.4829712	0.7188250
0.3151253	0.1477357	0.3284028	0.4512400	0.0947535	0.2214356	0.6689035	0.6103103	0.2532610	0.7036412
0.6246193	0.4030470	0.6294788	0.0217839	0.4742997	0.2973313	0.7515479	0.0019352	0.2168107	0.7873963
0.6497279	0.5346568	0.5457547	0.1785494	0.1676835	0.2371365	0.7509331	0.3365020	0.4047058	0.8078502
0.4428243	0.3827818	0.4583246	0.1355717	0.2739814	0.3765177	0.6255714	0.2105518	0.5396072	0.8058961
0.5459512	0.5074424	0.6477807	0.1053684	0.2613337	0.2104302	0.5981606	0.0614656	0.1425466	0.7008926
0.5390820	0.4746009	0.6465791	0.0118758	0.5555819	0.4296391	0.3548321	0.0038837	0.2379659	0.4125305
