YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.1689132	0.4633044	0.8773036	0.9175680	0.0901386	0.0817165	0.9274998	0.3474240	0.3978069	0.9816174
0.6045254	0.2733382	0.6625876	0.9876202	0.0011665	0.0100380	1.0522676	0.1318936	0.1562624	1.0121046
0.3545991	0.5419804	0.6803451	1.1621948	0.0628197	0.2320945	1.1036977	0.1758678	0.3718033	0.5314548
0.2561108	0.3779083	0.9182571	0.9524434	0.1160761	0.0309833	0.9072810	0.4256624	0.1039581	0.9459979
0.4678948	0.3912520	0.7092050	0.9910744	0.1227767	0.2772276	0.6890956	0.1430274	0.0408184	0.8745805
0.4159165	0.3729450	0.7865965	0.9665652	0.0048536	0.1137883	0.9297549	0.2121293	0.0875812	0.6714918
0.6413364	0.2395789	0.8849013	0.6338174	0.0008286	0.0423726	0.9027337	0.0778975	0.1179310	0.5950528
0.2853366	0.4300482	0.6959627	0.9302774	0.0038393	0.0104844	0.9738763	0.2967887	0.4713813	0.5297980
0.3395698	0.5087409	0.7082765	0.7723350	0.0616306	0.2736247	0.6708596	0.2367835	0.3217723	1.0785461
0.2027139	0.3287819	0.6155279	0.9841075	0.3182374	0.1440072	0.9897882	0.0020119	0.3623289	0.9742755
