YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.6041010	0.7003804	0.3666986	0.1277095	0.0113799	0.7014075	0.5962412	0.1998781	0.5042478	0.4387422
0.6511392	0.4278424	0.7319178	0.4391129	0.0075506	0.7159922	0.5329592	0.2653868	0.6091525	0.1764308
0.6426810	0.4847786	0.6887111	0.0973069	0.0176557	0.7276097	0.5141537	0.3111891	0.5229290	0.2737666
0.7213948	0.6052111	0.6191551	0.1223790	0.0822784	0.6271445	0.1965035	0.3472862	0.2657777	0.3808660
0.6449583	0.3273248	0.4906414	0.3032752	0.0124687	0.6411237	0.6569447	0.2767731	0.6058203	0.3612982
0.5539662	0.6712194	0.5697278	0.1796962	0.0533630	0.5892157	0.2673373	0.2674858	0.4754071	0.4529137
0.6653376	0.6366395	0.7638613	0.0863150	0.0623983	0.6638837	0.5752481	0.2862617	0.2662993	0.4676078
0.6141051	0.6036630	0.4958414	0.1340230	0.0097416	0.6277725	0.4243574	0.2194607	0.6166416	0.4245564
0.6946202	0.4675262	0.5400320	0.1165547	0.0812863	0.6368395	0.5560355	0.3831400	0.2840481	0.5842260
0.6945608	0.3956171	0.8162110	0.0964048	0.0103103	0.6562262	0.5492052	0.3814897	0.4840831	0.4513666
