YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.4995601	0.1257218	0.0216744	0.3905812	0.9869223	0.2996931	0.9102752	0.8990433	0.7611455	0.0408159
0.5274238	0.3022495	0.2293685	0.3938387	0.9765921	0.3401071	0.9516672	0.9013053	1.0000000	0.0001926
0.5260981	0.3552719	0.2123090	0.3226876	0.9868702	0.2999621	0.9276355	0.9602763	0.8494256	0.0436708
0.3949018	0.4104091	0.0407599	0.4032432	0.9475049	0.4067881	0.9487758	0.8825786	1.0000000	0.0436979
0.5252149	0.0511671	0.0860587	0.3947820	0.9736135	0.3491675	0.9298976	0.9686654	1.0000000	0.0436795
0.1899608	0.1947758	0.2274649	0.4075642	0.9346487	0.3264069	0.9246304	0.9496503	0.8430389	0.0001620
0.5327666	0.0000137	0.1594397	0.5479021	0.2895983	0.9265894	0.9326812	0.9502975	0.8703483	0.0075612
0.5327673	0.0000463	0.1888739	0.4116403	0.9226601	0.3324983	0.9015942	0.8825786	1.0000000	0.0437177
0.5327426	0.0013952	0.3116192	0.2143305	0.9142689	0.4552739	0.9015941	0.8825786	1.0000000	0.0437245
0.4771024	0.0000024	0.0206842	0.3990972	0.9602497	0.3131323	0.9266936	0.8771111	0.9575387	0.0001589
