YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.2805388	0.8916520	0.1133652	0.3979301	0.4170796	0.3459226	0.2485719	0.0002177	0.0482390	1.0000000
0.1817641	0.7566014	0.1916487	0.4643565	0.5387155	0.0899703	0.4016303	0.0007030	0.0714659	0.9598944
0.5050468	0.9999732	0.0012239	0.1249132	0.6120509	0.3043717	0.0005848	0.1860543	0.0573614	1.0000000
0.1462305	0.8184442	0.0940063	0.3775220	0.8063282	0.0696529	0.3087840	0.0006821	0.0707493	0.9060571
0.4105459	0.4644014	0.3841063	0.2498171	0.5501726	0.2986822	0.2025471	0.1132422	0.0896250	0.7829718
0.3803782	0.9708263	0.0534509	0.3125857	0.3295618	0.6946729	0.2042705	0.3622826	0.5726874	0.3112616
0.2958279	0.7725954	0.1825708	0.3414181	0.3880555	0.2830925	0.5465750	0.0404323	0.0650262	1.0000000
0.3514390	0.8149566	0.0834576	0.3654677	0.2738271	0.8386770	0.0135231	0.5120591	0.0711307	0.9618557
0.2541283	0.6752228	0.1236350	0.4078171	0.8577260	0.1181501	0.6380080	0.0018322	0.0985605	0.8338350
0.3250619	0.6990283	0.0903582	0.3142787	0.8540658	0.0407667	0.1401353	0.0508868	0.1402941	0.6810008
