YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.1052875	0.9978010	0.2469176	0.3942163	0.0590935	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.6005133	0.4989005	0.2469176	0.3942163	0.2115019	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.2202631	0.9690335	0.1234588	0.3942163	0.0691027	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.2098883	0.9998962	0.5459343	0.1971088	0.0676854	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.2105633	0.9978011	0.2469176	0.3942163	0.0338880	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.2098922	0.9998790	0.5242455	0.2060441	0.0405806	0.1946879	0.2357250	0.6036785	0.9537433	1.0000000
0.2188006	0.9731936	0.1282864	0.6614853	0.3121573	0.8490385	0.1178625	0.6036785	0.9537433	1.0000000
0.2101443	0.9991210	0.3137118	0.3270758	0.0521932	0.3144647	0.2850139	0.3018393	0.9537433	1.0000000
0.2106738	0.9974215	0.2366170	0.4073516	0.0720673	0.4051187	0.2286758	0.9913558	0.4768717	1.0000000
0.2106429	0.9975163	0.2388045	0.4045719	0.0711210	0.4017864	0.2301092	0.8386991	0.7793582	0.5000000
