YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.0000000	1.0421624	1.0007923	0.1919446	0.0787533	0.9773292	0.7331302	0.4946029	0.4909653	0.7413874
0.0061796	0.0000000	1.0952963	0.2795789	0.0567360	0.9477107	0.6823007	0.6061693	0.5280487	0.6491709
0.9936102	0.9953235	0.0000000	0.1783719	0.2151257	0.9277806	0.5487936	0.6462212	0.2826259	0.7878289
0.9997860	1.0604380	1.0525272	0.0000000	0.0195630	1.0191872	0.8854456	0.4116557	1.0313075	0.2157218
1.0792901	1.0357355	0.9961327	0.2706074	0.0000000	1.0958249	0.6933048	0.5358010	0.4933236	0.6784572
0.9729623	0.9380227	1.0192449	0.2307146	0.0659208	0.0000000	0.6722665	0.5739387	0.4453244	0.6758908
0.9439326	0.9905325	1.0032127	0.2332031	0.0558289	1.0258695	0.0000000	0.5320871	0.5756450	0.6422543
1.0774352	0.9647030	1.1247357	0.2002788	0.1176083	1.0460649	1.0529655	0.0000000	0.4040751	0.7520986
0.9873488	0.9496441	1.0287390	0.2590921	1.0094071	0.0028100	0.2490780	0.9801044	0.0000000	0.7128419
0.9512430	0.9958902	1.0464491	1.0958981	0.0233669	1.0594836	0.8248804	0.3885026	1.0469983	0.0000000
