YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0824630	0.7084297	0.9769317	1.0335281	0.8395650	0.6754066	0.0871364	0.7912596	0.7817709	1.0780389
0.0956553	0.8596780	1.0065257	1.0056965	0.9220295	0.9396000	0.0274714	0.9100619	0.9229326	1.0164483
0.1840246	0.7202757	1.0224579	0.9381244	0.5180636	0.9421721	0.2346724	0.4538694	0.9445702	1.0697745
0.1296935	0.8788938	0.9797718	0.9438159	0.7010504	0.9353833	0.1406445	0.6050315	0.5521205	0.8680328
0.1559628	0.6620100	0.9190737	1.0391601	0.9383012	1.0148377	0.0101090	0.9746818	0.8905889	1.0386641
0.1319139	0.6955186	0.9427794	0.9715851	0.9805130	0.7905470	0.0770233	0.8138134	0.5514442	0.8491519
0.1164474	0.8614833	1.1031033	1.0440297	1.0407686	0.6208876	0.0209459	0.9969990	1.0064786	0.7695820
0.0801303	0.6630079	1.0273354	0.9514311	1.0381477	1.0235563	0.0597544	1.0637610	0.6919342	1.0434867
0.1534280	0.6978244	1.0451181	1.0254564	1.0356521	0.9736629	0.0398140	1.0173602	0.6154224	0.5722676
0.1802095	0.6746612	0.9906312	0.9949506	0.9450826	0.9245212	0.0379624	0.9911310	0.9392469	1.0199210
