YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.3597659	0.4094640	0.7960087	0.2981801	0.2898146	0.4415282	0.4440991	0.1167667	0.6784020	0.0260461
0.8222816	0.3280079	0.7372205	0.3143229	0.1868931	0.4739570	0.4481144	0.0645392	0.5463919	0.0231307
0.7526555	0.5169727	0.2557375	0.3078097	0.2675652	0.5251308	0.5046391	0.0339107	0.7733663	0.0932167
0.6670382	0.7648161	0.6210036	0.1295388	0.2611007	0.4016994	0.3920192	0.1087517	0.7841478	0.0120098
0.7910931	0.5593400	0.4208002	0.6992833	0.1911483	0.5991129	0.5767875	0.0450881	0.6427750	0.0603989
0.7100484	0.5116509	0.2933265	0.7632105	0.0770236	0.1995455	0.5044315	0.0215418	0.8189686	0.0673909
0.6637995	0.7050015	0.7079048	0.0469899	0.6813630	0.6399103	0.1320719	0.1146233	0.8037423	0.0090423
0.8182716	0.5378616	0.5925091	0.4444558	0.3149234	0.5284206	0.6793414	0.0482897	0.7029300	0.0141758
0.7192669	0.5426983	0.6940136	0.3779248	0.1842326	0.4528056	0.5845792	0.0519659	0.3802758	0.0228411
0.7060386	0.6561715	0.7341387	0.2868843	0.2707367	0.5565235	0.4342789	0.0821937	0.7671474	0.0020170
